"","site","ROI","time_var","error_var","ICC","ICC2"
"1","site01","lh_bankssts",0.0345603238244631,0.00118416989863396,0.966871263926483,0.983160846043129
"2","site01","lh_caudalanteriorcingulate",0.0243234858513727,0.000734813016572997,0.97067586189927,0.985119914291475
"3","site01","lh_caudalmiddlefrontal",0.152672459576159,0.00825243058329366,0.948718743414293,0.973685421432269
"4","site01","lh_cuneus",0.0599185075289293,0.00163286683781848,0.973471480456485,0.986557690503479
"5","site01","lh_entorhinal",0.00813641749109175,0.00176078112985074,0.822092978297422,0.902362843585197
"6","site01","lh_fusiform",0.149291557098644,0.0040250690323233,0.973746689228049,0.986700026015906
"7","site01","lh_inferiorparietal",0.499847742464627,0.00874349942535027,0.982808395612833,0.991329763631517
"8","site01","lh_inferiortemporal",0.254068651547524,0.00791756534568769,0.969778695079539,0.984657608762716
"9","site01","lh_isthmuscingulate",0.0205397897144427,0.0141216411529924,0.592583433528709,0.744180324909703
"10","site01","lh_lateraloccipital",0.407402871339786,0.00768674753739257,0.981481715784208,0.990654616392998
"11","site01","lh_lateralorbitofrontal",0.090407699050898,0.0111794318205396,0.889952283083105,0.941774066184202
"12","site01","lh_lingual",0.175389773097342,0.0041304314396675,0.976991829692262,0.988362526706439
"13","site01","lh_medialorbitofrontal",0.048208894394912,0.00809587589256685,0.856213321691373,0.922538616526754
"14","site01","lh_middletemporal",0.221890907680822,0.00481052973169181,0.978780329817943,0.989277408204895
"15","site01","lh_parahippocampal",0.00535443977965456,0.00071332137729157,0.882440762112894,0.937554521194323
"16","site01","lh_paracentral",0.0341804843420764,0.00119715081469715,0.966160801608359,0.982790429399187
"17","site01","lh_parsopercularis",0.0788037236786184,0.00333390090828698,0.959410794686915,0.979286191863097
"18","site01","lh_parsorbitalis",0.0102437993374565,0.000805315828737688,0.927114903173276,0.962180007311047
"19","site01","lh_parstriangularis",0.0545906302397584,0.00223100365438773,0.960736721183627,0.979976511252485
"20","site01","lh_pericalcarine",0.0712608684744255,0.00133500991402718,0.98161038968516,0.990720411258384
"21","site01","lh_postcentral",0.303797103962702,0.0079108749033508,0.97462087774548,0.987147386267887
"22","site01","lh_posteriorcingulate",0.0360280584322352,0.013734553418128,0.723998542129823,0.839907970689867
"23","site01","lh_precentral",0.300171553903682,0.00963019182703555,0.968914985277694,0.984212623426814
"24","site01","lh_precuneus",0.289637544850878,0.00730972282708146,0.975383768019685,0.987538572489192
"25","site01","lh_rostralanteriorcingulate",0.023204617578391,0.00333755419008562,0.874254668412268,0.932909901682474
"26","site01","lh_rostralmiddlefrontal",0.587948956004335,0.0675111831795166,0.89700184779569,0.945704811017487
"27","site01","lh_superiorfrontal",0.993824435911678,0.0367224882699733,0.964366020208993,0.981859829030206
