"","ROI","model","npar","fmin","chisq","df","pvalue","baseline.chisq","baseline.df","baseline.pvalue","cfi","tli","nnfi","rfi","nfi","pnfi","ifi","rni","logl","unrestricted.logl","aic","bic","ntotal","bic2","rmsea","rmsea.ci.lower","rmsea.ci.upper","rmsea.pvalue","rmr","rmr_nomean","srmr","srmr_bentler","srmr_bentler_nomean","crmr","crmr_nomean","srmr_mplus","srmr_mplus_nomean","cn_05","cn_01","gfi","agfi","pgfi","mfi"
"1","lh_bankssts","constrained","44","0.0761171820916604","1181.9476035193","61","0","10771.3707212986","21","0","0.895729400168639","0.964103563992482","0.964103563992482",NA,NA,"2.58602100715834","0.895339980969081","0.895729400168639","12149.7745579845","12740.7483597441","-24211.5491159689","-23905.4299864202","7764","-24045.2530220514","0.222943401470926","0.211938467094505","0.234135714244875","0","0.00196079038514331","0.00253136950235455","0.0858120287747409","0.0858120287747409","0.110782852782948","0.910595735441616","0.0569101346766215","0.709781546719003","0.109592897024981","528.030137243829","589.509335400784","0.999553642644098","0.999231679961152","0.580693068583714","0.930355233127395"
"2","lh_caudalanteriorcingulate","constrained","44","0.0267525569867545","415.413704890324","61","0","10357.075701905","21","0","0.965710999501967","0.988195589992481","0.988195589992481",NA,NA,"2.78825431715593","0.965577787581267","0.965710999501967","9178.49607542654","9386.2029278717","-18268.9921508531","-17962.8730213044","7764","-18102.6960569356","0.125359491026706","0.114095021321893","0.136911917614346","0","0.00208416977727278","0.0026906516126821","0.0613026169688226","0.0613026169688226","0.0791413381997274","0.455547236243776","0.0352345734324167","0.356408809879519","0.0709312758178836","1500.52204360291","1675.44451263191","0.999720283942577","0.999518521540502","0.580789879242831","0.977434331375723"
"3","lh_caudalmiddlefrontal","constrained","44","0.191631434060222","2975.65290808713","61","0","7346.0682099036","21","0","0.602098871359794","0.863017644238618","0.863017644238618",NA,NA,"1.72813748987386","0.59991412240659","0.602098871359794","12518.1866585555","14006.0131125991","-24948.373317111","-24642.2541875623","7764","-24782.0772231935","0.359497097699236","0.348548259141265","0.370566545895738","0","0.00277338125836485","0.00358041980877695","0.168212616709239","0.168212616709239","0.217161554378951","2.27153503216077","0.144941436942911","1.76676702572919","0.226940649082704","210.339606109582","234.759521056791","0.999261541414938","0.998728882763417","0.580523371679154","0.828860803699324"
"4","lh_cuneus","constrained","44","0.0321380613039285","499.039815927402","61","0","10740.1222400982","21","0","0.959134730800179","0.985931628636127","0.985931628636127",NA,NA,"2.76979213310947","0.958981664777407","0.959134730800179","14646.5825929514","14896.1025009151","-29205.1651859028","-28899.0460563541","7764","-29038.8690919853","0.139366617750748","0.128179235746298","0.150824511807463","0","0.00113929214832541","0.00147081983897639","0.0664664987653818","0.0664664987653818","0.0858078809330131","0.597269070672192","0.0327442063477017","0.466389868198572","0.0797350173266055","1249.2410978374","1394.85110451164","0.999752923999152","0.999574705244442","0.580808841561412","0.972184503737726"
"5","lh_entorhinal","constrained","44","0.0379186852580314","588.801344686711","61","0","4497.81136343051","21","0","0.882103286951482","0.959412606983297","0.959412606983297",NA,NA,"2.52450413552232","0.881040391070713","0.882103286951482","801.99331849626","1096.39399083962","-1515.98663699252","-1209.86750744381","7764","-1349.690543075","0.152980900383589","0.141847398255902","0.164368335722175","0","0.00637502168225452","0.00823011760236098","0.0921368515910378","0.0921368515910378","0.118948163928025","0.662288738819854","0.0677940796594777","0.519859419956723","0.118934132381084","1058.94936325976","1182.36143013702","0.999506617441317","0.999150734939972","0.580665749180194","0.966580882525146"
"6","lh_fusiform","constrained","44","0.0442578177417291","687.23539389357","61","0","7124.70459259452","21","0","0.911843829408896","0.969651154386669","0.969651154386669",NA,NA,"2.62457412071525","0.911344622968788","0.911843829408896","15675.6350762462","16019.2527731929","-31263.2701524923","-30957.1510229436","7764","-31096.9740585748","0.166636744079769","0.155543337926934","0.177968524497452","0","0.00109603934235999","0.00141498070658279","0.0915851286167722","0.0915851286167722","0.118235892631008","1.44020743165799","0.0511505240096523","1.11889364899137","0.115774236816975","907.417238158522","1013.15275698303","0.999872799342187","0.999781048048027","0.580878483427366","0.960472978115861"
"7","lh_inferiorparietal","constrained","44","0.195523892849129","3036.09500816127","61","0","7011.99442641023","21","0","0.574438938626227","0.853495372313947","0.853495372313947",NA,NA,"1.64704083674052","0.571990016729487","0.574438938626227","14410.1261292704","15928.173633351","-28732.2522585407","-28426.133128992","7764","-28565.9561646232","0.363205474692406","0.352257188949225","0.374273194631584","0","0.00225570783981625","0.00291210629917261","0.177615130338882","0.177615130338882","0.229300147278983","2.69994909820153","0.15215490820608","2.09871613616234","0.244271111898366","206.172106282356","230.105873418289","0.9993696165553","0.998914913742729","0.58058615818927","0.825640768172603"
"8","lh_inferiortemporal","constrained","44","0.0962378617909986","1494.38151789063","61","0","7246.36808766904","21","0","0.801618201246125","0.931704626658502","0.931704626658502",NA,NA,"2.30572767798344","0.800513835839463","0.801618201246125","12694.0238971692","13441.2146561145","-25300.0477943384","-24993.9286647897","7764","-25133.7517004209","0.252105817075356","0.241122784333781","0.263256787279812","0","0.00235943043682576","0.00304601159612035","0.135694494308247","0.135694494308247","0.175180838875959","1.8894571796623","0.0839196141411579","1.469334245255","0.176632478496497","417.842687252363","466.468282562502","0.999653843546924","0.999404156925034","0.580751280536785","0.911822920059653"
"9","lh_isthmuscingulate","constrained","44","0.0197549028426013","306.754131339913","61","0","11664.6306028879","21","0","0.978893685335658","0.992733891672931","0.992733891672931",NA,NA,"2.82837305498351","0.978820927712164","0.978893685335658","14363.1384947154","14516.5155603853","-28638.2769894308","-28332.1578598821","7764","-28471.9808955133","0.104388433452958","0.0929379833948609","0.116148649974241","3.50830475781549e-14","0.00120378805779261","0.00155408370006472","0.0626521123463442","0.0626521123463442","0.0808835292407023","0.588880689102747","0.0241949507445136","0.459107460428071","0.0699663938981967","2031.68824200296","2268.57238961165","0.999874095105292","0.999783278459928","0.580879236204027","0.984298065786974"
"10","lh_lateraloccipital","constrained","44","0.0724889866506479","1125.60898471126","61","0","8813.39478670106","21","0","0.878917062923342","0.958315710186724","0.958315710186724",NA,NA,"2.53377817175352","0.878363692377211","0.878917062923342","16350.1527101306","16912.9572024862","-32612.3054202612","-32306.1862907125","7764","-32446.0093263437","0.217268632067237","0.206258168407617","0.228470740633925","0","0.00122857855434741","0.00158608809349837","0.10827147218794","0.10827147218794","0.139777869551084","1.29263453504856","0.0725032878502538","1.005897850529","0.134354942300723","554.40888013397","618.965215339966","0.999698462959779","0.999480960832407","0.580777202290919","0.933736874661344"
"11","lh_lateralorbitofrontal","constrained","44","0.0275414145481731","427.663085104031","61","0","5073.41960500319","21","0","0.927428219789793","0.97501627238665","0.97501627238665",NA,NA,"2.65990546977315","0.926849084075475","0.927428219789793","14022.5348986189","14236.3664411709","-27957.0697972378","-27650.9506676891","7764","-27790.7737033203","0.12750745005547","0.116256639185776","0.139043573954123","0","0.00105526971002887","0.00136234733756631","0.0793800251461882","0.0793800251461882","0.102479171804238","1.21680877015611","0.0502922644741347","0.945502358658853","0.102466878074665","1457.57184216932","1627.48407789625","0.99991956549619","0.999861547165572","0.580905652335882","0.976663578959532"
"12","lh_lingual","constrained","44","0.0345639181572404","536.70852114563","61","0","10320.5985462298","21","0","0.953812906492383","0.984099525185902","0.984099525185902",NA,NA,"2.75370376029465","0.953632832805096","0.953812906492383","16000.1583077237","16268.5125682965","-31912.3166154473","-31606.1974858986","7764","-31746.0205215298","0.145235382187007","0.134073289200762","0.156660738772392","0","0.0012273643869101","0.00158452061007696","0.0887290751401655","0.0887290751401655","0.114548743447416","0.909358101239267","0.0317419041038737","0.708676356689825","0.103315543353463","1161.63372045619","1297.02413828074","0.999793898677643","0.99964523542873","0.58083264589844","0.969828981531638"
"13","lh_medialorbitofrontal","constrained","44","0.018647566224622","289.55940833593","61","0","4302.96112999044","21","0","0.946622726970798","0.98162421748175","0.98162421748175",NA,NA,"2.70929159650433","0.946119400595157","0.946622726970798","12471.7787280184","12616.5584321864","-24855.5574560368","-24549.4383264881","7764","-24689.2613621193","0.100670335986799","0.089173021359602","0.112479583155567","1.84929849211812e-12","0.00105150671513677","0.00135748933204999","0.0673977367498083","0.0673977367498083","0.0870101040013596","0.841220246535919","0.0467794879707472","0.654494341232158","0.0872634260178981","2152.27531610064","2403.22620505811","0.999919702969054","0.999861783799191","0.580905732201069","0.985388618771417"
"14","lh_middletemporal","constrained","44","0.290478686024333","4510.55303658584","61","0","8895.10390321042","21","0","0.498591284808362","0.827383884934026","0.827383884934026",NA,NA,"1.43180748257085","0.496320952828185","0.498591284808362","10330.1020849426","12585.3786032355","-20572.2041698852","-20266.0850403365","7764","-20405.9080759677","0.444181187018985","0.433240605003361","0.455220148020192","0","0.00585094817534689","0.00755354161421373","0.258971384403506","0.258971384403506","0.334330619646353","3.2005824181077","0.142025179077813","2.49183560062208","0.334612555577886","139.103244246364","155.213284487217","0.998686037503669","0.997738261276807","0.580189031311655","0.750849310915744"
