"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_G_and_S_frontomargin",0,0,0.655003695000157,0.652227252790918
"2","lh_G_and_S_occipital_inf",0,0,0.445800349857834,0.456164150808675
"3","lh_G_and_S_paracentral",0.815728053160826,0.887069079678237,0.956294787597855,0.942039232664148
"4","lh_G_and_S_subcentral",0,0,0,0
"5","lh_G_and_S_transv_frontopol",0,0,0,0
"6","lh_G_and_S_cingul-Ant",0,0,0,0
"7","lh_G_and_S_cingul-Mid-Ant",0.630147070555677,0.653673767671355,0.819608936856052,0.829074478031668
"8","lh_G_and_S_cingul-Mid-Post",0,0,0,0
"9","lh_G_cingul-Post-dorsal",0,0,0,0
"10","lh_G_cingul-Post-ventral",0,0,0,0
"11","lh_G_cuneus",0.0559098905672714,0.153171814730414,0.341436719960891,0.32979235580082
"12","lh_G_front_inf-Opercular",0,0,0,0
"13","lh_G_front_inf-Orbital",0.678399000058376,0.699900434827695,0.868419659275987,0.860370865311371
"14","lh_G_front_inf-Triangul",0.501068531628023,0.587640091849542,0.951114648918193,0.940800079771423
"15","lh_G_front_middle",0.63091840358632,0.649117497120285,0.888467691380695,0.889518662288198
"16","lh_G_front_sup",0,0,0,0
"17","lh_G_Ins_lg_and_S_cent_ins",0,0.135196801007568,0.645822896038693,0.643055453190934
"18","lh_G_insular_short",0,0,0,0
"19","lh_G_occipital_middle",0,0.170002097237981,0.616085185349321,0.621311964366681
"20","lh_G_occipital_sup",0,0,0.37525508764345,0.355785455832194
"21","lh_G_oc-temp_lat-fusifor",0.218387245080793,0.388642711018705,0.859771691526641,0.852253247862757
"22","lh_G_oc-temp_med-Lingual",0,0,0,0
"23","lh_G_oc-temp_med-Parahip",0,0,0,0
"24","lh_G_orbital",0.326987847410339,0.436154082589572,0.854276280331944,0.846384970248401
"25","lh_G_pariet_inf-Angular",0.314951967552763,0.436021967209754,0.883261781136853,0.886972029910378
"26","lh_G_pariet_inf-Supramar",0,0.173324078753972,0.824305200964648,0.799112344740026
"27","lh_G_parietal_sup",0,0,0.285569402204541,0.285856164641813
"28","lh_G_postcentral",0,0,0.715700490386374,0.762521038620351
"29","lh_G_precentral",0,0,0,0
"30","lh_G_precuneus",0,0,0,0
"31","lh_G_rectus",0,0,0,0
"32","lh_G_subcallosal",0,0,0,0
"33","lh_G_temp_sup-G_T_transv",0.889357088825632,0.927718416593445,0.968872122261572,0.959078062784583
"34","lh_G_temp_sup-Lateral",0.262778877587516,0.311957586257938,0.342159932422808,0.341954741043006
"35","lh_G_temp_sup-Plan_polar",0,0,0,0
"36","lh_G_temp_sup-Plan_tempo",0.783265469716611,0.791938384334669,0.864933684823556,0.825346578141546
"37","lh_G_temporal_inf",0.346683664417329,0.401163333310668,0.55246373547861,0.53608964411206
"38","lh_G_temporal_middle",0,0,0,0
"39","lh_Lat_Fis-ant-Horizont",0,0,0,0
"40","lh_Lat_Fis-ant-Vertical",0,0,0,0
"41","lh_Lat_Fis-post",0,0,0,0
"42","lh_Pole_occipital",0,0,0,0
"43","lh_Pole_temporal",0,0,0,0
"44","lh_S_calcarine",0.508273602740869,0.607586939786322,0.768947375477062,0.778399119125505
"45","lh_S_central",0,0,0,0
"46","lh_S_cingul-Marginalis",0,0,0,0
"47","lh_S_circular_insula_ant",0.301340341297446,0.358482916141444,0.438199790583552,0.438987450731191
"48","lh_S_circular_insula_inf",0,0,0,0
"49","lh_S_circular_insula_sup",0,0,0,0
"50","lh_S_collat_transv_ant",0,0,0.702140057598889,0
"51","lh_S_collat_transv_post",0,0,0,0
"52","lh_S_front_inf",0,0,0,0
"53","lh_S_front_middle",0.227894230672811,0.314953539811513,0.843860692485339,0.859069179180825
"54","lh_S_front_sup",0,0,0,0
"55","lh_S_interm_prim-Jensen",0,0,0,0
"56","lh_S_intrapariet_and_P_trans",0,0,0,0
"57","lh_S_oc_middle_and_Lunatus",0,0,0.670843313749718,0.68991652574123
"58","lh_S_oc_sup_and_transversal",0,0,0,0
"59","lh_S_occipital_ant",0.539729544645033,0.588269855482131,0.619976373571069,0.619058246518663
"60","lh_S_oc-temp_lat",0,0,0.286727729548589,0.283398097994193
"61","lh_S_oc-temp_med_and_Lingual",0,0,0,0
"62","lh_S_orbital_lateral",0,0,0,0
"63","lh_S_orbital_med-olfact",0,0,0,0
"64","lh_S_orbital-H_Shaped",0,0,0,0
"65","lh_S_parieto_occipital",0,0,0,0
"66","lh_S_pericallosal",0,0,0,0
"67","lh_S_postcentral",0.544669570150509,0.555861266757884,0.64061370326573,0.621253515292325
"68","lh_S_precentral-inf-part",0.66621070463376,0.733434500656289,0.88541700998225,0.906466999488234
"69","lh_S_precentral-sup-part",0,0,0,0
"70","lh_S_suborbital",0,0,0,0
"71","lh_S_subparietal",0,0,0,0
"72","lh_S_temporal_inf",0.842481519898393,0.861543746914393,0.90154398004395,0.908458340056835
"73","lh_S_temporal_sup",0,0,0,0
"74","lh_S_temporal_transverse",0,0,0,0
"75","rh_G_and_S_frontomargin",0,0,0,0
"76","rh_G_and_S_occipital_inf",0,0,0,0
"77","rh_G_and_S_paracentral",0.47019302995891,0.647556943808117,0.76546445682053,0.801213245286082
"78","rh_G_and_S_subcentral",0,0,0,0
"79","rh_G_and_S_transv_frontopol",0,0,0,0
"80","rh_G_and_S_cingul-Ant",0,0.0961937478119,0.259400222497546,0.277628892680197
"81","rh_G_and_S_cingul-Mid-Ant",0.759522084799624,0.810824748995515,0.935560440611332,0.928852424627739
"82","rh_G_and_S_cingul-Mid-Post",0,0,0,0
"83","rh_G_cingul-Post-dorsal",0,0,0,0
"84","rh_G_cingul-Post-ventral",0,0,0,0
"85","rh_G_cuneus",0,0,0,0
"86","rh_G_front_inf-Opercular",0,0,0,0
"87","rh_G_front_inf-Orbital",0.175524551332252,0.364791413063969,0.662557191162478,0.667142575463264
"88","rh_G_front_inf-Triangul",0.168861815133847,0.28574955714962,0.859429327631317,0.847391421292154
"89","rh_G_front_middle",0.550689999339765,0.611510042929033,0.923532370402087,0.93053468391482
"90","rh_G_front_sup",0,0,0,0
"91","rh_G_Ins_lg_and_S_cent_ins",0.521380284768763,0.628113909403902,0.735729584854505,0.810441338247902
"92","rh_G_insular_short",0,0,0,0
"93","rh_G_occipital_middle",0.0538517595100516,0.192976611260321,0.565899734625856,0.548049642722353
"94","rh_G_occipital_sup",0,0,0.24927113993805,0.263237123583941
"95","rh_G_oc-temp_lat-fusifor",0.350158570136231,0.486172840193312,0.911365053696771,0.922102461451285
"96","rh_G_oc-temp_med-Lingual",0,0,0,0
"97","rh_G_oc-temp_med-Parahip",0,0,0,0
"98","rh_G_orbital",0.21488184520859,0.348876133126455,0.889775135716623,0.895978479781936
"99","rh_G_pariet_inf-Angular",0.0121188867388838,0.246824655825256,0.640324457101116,0.657625619296042
"100","rh_G_pariet_inf-Supramar",0,0,0.554484095359931,0.536684064326798
"101","rh_G_parietal_sup",0,0,0.153239017607213,0.171085722074266
"102","rh_G_postcentral",0,0,0.471575212521707,0.655183373668242
"103","rh_G_precentral",0,0,0,0
"104","rh_G_precuneus",0,0,0,0
"105","rh_G_rectus",0,0,0,0
"106","rh_G_subcallosal",0,0,0,0
"107","rh_G_temp_sup-G_T_transv",0.745351893367778,0.801678235684101,0.949346780278753,0.948420502038514
"108","rh_G_temp_sup-Lateral",0.0818059103727719,0.0793169741906499,0.0986822111144797,0.10561416131229
"109","rh_G_temp_sup-Plan_polar",0,0,0,0
"110","rh_G_temp_sup-Plan_tempo",0.733493903717622,0.714988995558055,0.978417866426948,0.963911629489376
"111","rh_G_temporal_inf",0.741917386527513,0.792622562735099,0.936254471038026,0.957309527011432
"112","rh_G_temporal_middle",0,0,0,0
"113","rh_Lat_Fis-ant-Horizont",0,0,0,0
"114","rh_Lat_Fis-ant-Vertical",0,0,0,0
"115","rh_Lat_Fis-post",0,0,0.17758540481037,0.133696558762345
"116","rh_Pole_occipital",0,0,0,0
"117","rh_Pole_temporal",0,0,0,0
"118","rh_S_calcarine",0.202006989776623,0.326100124381215,0.471156263054266,0.526152717050163
"119","rh_S_central",0,0,0,0
"120","rh_S_cingul-Marginalis",0,0,0,0
"121","rh_S_circular_insula_ant",0,0,0.71251437879266,0.618473876744162
"122","rh_S_circular_insula_inf",0,0,0,0
"123","rh_S_circular_insula_sup",0,0,0,0
"124","rh_S_collat_transv_ant",0,0,0,0
"125","rh_S_collat_transv_post",0,0,0,0
"126","rh_S_front_inf",0,0,0.267035595543989,0.276885564012473
"127","rh_S_front_middle",0.547771366086495,0.620225371323379,0.964162481668268,0.967363373644963
"128","rh_S_front_sup",0,0,0,0
"129","rh_S_interm_prim-Jensen",0,0,0,0
"130","rh_S_intrapariet_and_P_trans",0,0,0,0
"131","rh_S_oc_middle_and_Lunatus",0,0.07057332499909,0.589413073802244,0.585129572816876
"132","rh_S_oc_sup_and_transversal",0,0,0,0
"133","rh_S_occipital_ant",0,0,0.156893046216282,0.141934156650383
"134","rh_S_oc-temp_lat",0,0,0.0862453596765981,0.0372868139475764
"135","rh_S_oc-temp_med_and_Lingual",0,0,0,0
"136","rh_S_orbital_lateral",0,0,0,0
"137","rh_S_orbital_med-olfact",0,0,0,0
"138","rh_S_orbital-H_Shaped",0,0,0.508121387843887,0.477291838275682
"139","rh_S_parieto_occipital",0,0,0,0
"140","rh_S_pericallosal",0,0,0,0
"141","rh_S_postcentral",0.548001325918989,0.659573514523275,0.821962220683506,0.880053078609274
"142","rh_S_precentral-inf-part",0.156093139849754,0.390812514293208,0.71033663482707,0.761377419116814
"143","rh_S_precentral-sup-part",0,0,0,0
"144","rh_S_suborbital",0,0,0,0
"145","rh_S_subparietal",0,0,0,0
"146","rh_S_temporal_inf",0.741235112829923,0.77469112090786,0.867649422543748,0.903930008870922
"147","rh_S_temporal_sup",0,0,0,0
"148","rh_S_temporal_transverse",0,0,0,0
