"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.972734659863954,0.974499369823319,0.988429815474706,0.989206702990746
"2","lh_caudalanteriorcingulate",0.995864794968318,0.994427818083145,0.998807505633897,0.997371866520507
"3","lh_caudalmiddlefrontal",0.733914055775074,0.792540148001668,0.974790291726846,0.989371507211168
"4","lh_cuneus",0.992409154285041,0.991955343253748,0.996385413442037,0.995942242377907
"5","lh_entorhinal",0.972072322585973,0.975999595643692,0.991160024926844,0.994571313682149
"6","lh_fusiform",0.992879258158548,0.992950034383323,0.996945546629232,0.996163976378475
"7","lh_inferiorparietal",0.798255951094213,0.827054259885034,0.903923877437839,0.915496943788824
"8","lh_inferiortemporal",0.964993856574474,0.974400467012874,0.986664523339746,0.990831815080381
"9","lh_isthmuscingulate",0.99343912552485,0.992879077646963,0.995683517720707,0.995155477756024
"10","lh_lateraloccipital",0.977354061708178,0.976038170924716,0.997447876399017,0.995035458453994
"11","lh_lateralorbitofrontal",0.994920446561022,0.998416362938794,0.999631450426309,1
"12","lh_lingual",0.997087896374534,0.99661972162449,0.996642534035574,0.996223247126389
"13","lh_medialorbitofrontal",0.978140421828861,0.980511190737783,0.992928655802266,0.992540990067809
"14","lh_middletemporal",0.918863776637572,0.942551624596879,0.929678595904255,0.953105810650473
"15","lh_parahippocampal",1,0.99972292591321,1,0.999877838743007
"16","lh_paracentral",0.981266136011406,0.981832869749725,0.994471120506185,0.993682573293771
"17","lh_parsopercularis",0.944889399564406,0.958195068499943,0.978535376668289,0.986843626141985
"18","lh_parsorbitalis",0.973945040502441,0.973422462461877,0.977815395345235,0.976955145175344
"19","lh_parstriangularis",0.913417904185898,0.910762585042097,0.957992803348422,0.956096202836707
"20","lh_pericalcarine",0.993392239918963,0.993816273788569,0.993766585444095,0.993991088772369
"21","lh_postcentral",0.94603245727175,0.948049179352913,0.973421529832879,0.97641329532319
"22","lh_posteriorcingulate",0.99413485444877,0.99341930993477,0.998443851087202,0.997496976732903
"23","lh_precentral",0.922640500088515,0.929546451646788,0.989626089425469,0.988280520375675
"24","lh_precuneus",0.964438132005345,0.967343146055156,1,1
"25","lh_rostralanteriorcingulate",0.992440704561442,0.990618854203999,0.999180309154259,0.996232856732659
"26","lh_rostralmiddlefrontal",0.813425996184983,0.821955650168195,0.923418048997667,0.927954550020776
"27","lh_superiorfrontal",0.822002341994568,0.846709345691425,0.964486490167281,0.973333155746681
"28","lh_superiorparietal",0.888276556056793,0.904950115654973,0.973468521034745,0.977149065252518
"29","lh_superiortemporal",0.982399040031678,0.985706433189914,0.987731267321043,0.990253496329294
