"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.994706964402969,0.994332128075489,0.99930896469329,0.999029795323779
"2","lh_caudalanteriorcingulate",0.996765387336875,0.999311362975525,0.99691122547057,0.999445474693541
"3","lh_caudalmiddlefrontal",0.974207005941555,0.97402009855512,1,1
"4","lh_cuneus",0.991632457817101,0.994028746877477,0.994576581672614,0.996993166545732
"5","lh_entorhinal",0.994928304224325,0.99481041630612,0.999894644288815,0.999688870350903
"6","lh_fusiform",0.994013948575032,0.994440218847953,0.999455872454065,0.999879039978852
"7","lh_inferiorparietal",0.99112124460741,0.991464547890313,0.999745756411565,0.999956257854212
"8","lh_inferiortemporal",0.997715805962387,0.997716033667761,1,1
"9","lh_isthmuscingulate",0.997707017376809,0.998827425243,0.998971997625309,1
"10","lh_lateraloccipital",0.978399061931604,0.97934580884889,0.999531801486598,1
"11","lh_lateralorbitofrontal",1,1,1,1
"12","lh_lingual",0.990053644718884,0.992586258084311,0.996098316102398,0.998684628573111
"13","lh_medialorbitofrontal",0.997184044514723,0.997675359756579,0.998439874926209,0.998998818858144
"14","lh_middletemporal",0.997197810159884,0.998763408848356,0.998304253650683,0.999788658798878
"15","lh_parahippocampal",0.993357965810899,0.99310197360275,0.994819411338455,0.994452278829068
"16","lh_paracentral",0.994472192523231,0.994270869500921,0.99938528489149,0.999287394836539
"17","lh_parsopercularis",0.996826501525695,0.996726376109099,1,0.999988595139664
"18","lh_parsorbitalis",0.999254668453753,0.998869445337632,1,1
"19","lh_parstriangularis",0.995675181691373,0.995396676386882,0.998231727765345,0.998021612184774
"20","lh_pericalcarine",0.993141302534557,0.993405886796428,0.997576654385591,0.997810729925633
"21","lh_postcentral",0.990028064379639,0.992124873646644,0.996890631641896,0.99903344921688
"22","lh_posteriorcingulate",0.998300365115475,0.998254912222712,0.999896729695788,0.99987251855112
"23","lh_precentral",0.979499557891333,0.980086828167889,0.997743584531844,0.998227392152854
"24","lh_precuneus",0.994557689355735,0.995469463601839,0.998664441588446,0.999508277727651
"25","lh_rostralanteriorcingulate",0.996664618476197,0.995804538847937,1,1
"26","lh_rostralmiddlefrontal",0.99185129613607,0.991243038404932,1,1
"27","lh_superiorfrontal",0.988798167780481,0.989178400219252,0.999479052878946,0.999956524067475
"28","lh_superiorparietal",0.987530818122227,0.988657516619469,0.997504074040581,0.998432891890373
"29","lh_superiortemporal",0.997492102533585,0.997019405872225,1,1
"30","lh_supramarginal",0.97994909907491,0.980860798974408,0.99752929214102,0.998112413648377
"31","lh_frontalpole",0.986691164741191,0.9851234314378,0.996239890297987,0.994344166371675
"32","lh_temporalpole",0.99077329922983,0.991965220089142,0.999650965125711,1
"33","lh_transversetemporal",0.998445749260397,0.99946413902965,0.998073142896347,0.999069752511795
"34","lh_insula",0.997920339173478,0.99887567066866,0.997683960635332,0.99881462753119
"35","rh_bankssts",0.992126832431107,0.993615788974143,0.995508813911918,0.997069118417805
"36","rh_caudalanteriorcingulate",0.988835691939036,0.989196903754411,1,1
"37","rh_caudalmiddlefrontal",0.988542959552666,0.988507507221045,1,1
"38","rh_cuneus",0.987317920702261,0.991662049394205,0.992838381003595,0.997182375491776
"39","rh_entorhinal",0.991094988953395,0.991807375303047,0.991629005404167,0.992144059769937
"40","rh_fusiform",0.984080092356968,0.983694952689244,1,1
"41","rh_inferiorparietal",0.98376321861178,0.985700754163116,0.996656102130661,0.998809426026236
"42","rh_inferiortemporal",0.991017188610453,0.990764839085305,0.998535107829221,0.998241011342468
"43","rh_isthmuscingulate",0.993914379076895,0.995114291961947,0.995131309350508,0.996277359179555
"44","rh_lateraloccipital",0.989008998935746,0.988841157516022,1,1
"45","rh_lateralorbitofrontal",0.997656646718302,0.997058985054751,1,0.999399478932128
"46","rh_lingual",0.978043742180874,0.980366658518823,0.99700703715198,0.999351188340818
"47","rh_medialorbitofrontal",0.998649066114172,0.998041986457007,1,0.999849228989905
"48","rh_middletemporal",0.988223981364444,0.990013548640691,0.998463914160735,1
"49","rh_parahippocampal",1,1,0.999927916282049,1
"50","rh_paracentral",0.988543586322796,0.988152612509021,0.998293084852422,0.997783809488099
"51","rh_parsopercularis",0.961867896105365,0.962204129846468,0.998731766069731,0.998664223631398
"52","rh_parsorbitalis",0.9906942510575,0.991361232961246,0.999781641900366,1
"53","rh_parstriangularis",0.977114509876118,0.977385664999725,1,1
"54","rh_pericalcarine",0.993192820414927,0.994905552817074,0.993173833038091,0.994840611703273
"55","rh_postcentral",0.97365130742865,0.974803443229101,0.998242181370088,0.999081726916037
"56","rh_posteriorcingulate",0.990608717591355,0.990940621696978,0.999038630474222,0.999314762046337
"57","rh_precentral",0.993171729947136,0.992836818966434,0.999499662007598,0.99927731482368
"58","rh_precuneus",0.980397200595261,0.98016285079504,0.998013554922521,0.997712207400285
"59","rh_rostralanteriorcingulate",0.99624692859849,0.995487688378325,0.999702773924641,0.998966539406809
"60","rh_rostralmiddlefrontal",0.97756859768115,0.977478399883025,0.999966876304844,0.99953571686164
"61","rh_superiorfrontal",0.990409123267597,0.989677828806657,1,1
"62","rh_superiorparietal",0.990294698446072,0.990413770867813,0.996189029605314,0.996368091257922
"63","rh_superiortemporal",0.997711490229924,0.997920940200902,0.999509408521064,0.999741283905506
"64","rh_supramarginal",0.991681411260708,0.99109547732345,0.997468072557048,0.99694795784624
"65","rh_frontalpole",0.984942599977871,0.989388523463084,0.989998894248094,0.993491328397618
"66","rh_temporalpole",0.98676257511346,0.988408566124135,0.994576736000768,0.9961075536391
"67","rh_transversetemporal",0.99984582456354,0.99942747856604,1,1
"68","rh_insula",0.997935800586314,0.997607222038324,0.998229538002161,0.997842177190197
