"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.987667591202771,0.98786569823729,0.997699634933478,0.9980344498982
"2","lh_caudalanteriorcingulate",0.993742848178321,0.993368777920532,0.996800275041592,0.996477482147077
"3","lh_caudalmiddlefrontal",1,1,1,1
"4","lh_cuneus",0.988324496858759,0.987535017538303,0.99202661050079,0.991207114007892
"5","lh_entorhinal",0.99149447248799,0.992072987595942,0.991377797052539,0.991463055633818
"6","lh_fusiform",1,0.999125716429343,1,0.999812741011943
"7","lh_inferiorparietal",0.994040877934021,0.993980457099829,0.997383303358121,0.997386825030923
"8","lh_inferiortemporal",0.993564161745667,0.993539672584636,0.999928273478836,0.999772889168122
"9","lh_isthmuscingulate",0.957409956759336,0.956903848042093,0.993760903645953,0.993712055728418
"10","lh_lateraloccipital",0.992208284130929,0.992670501148768,0.997046463309418,0.99744291059412
"11","lh_lateralorbitofrontal",0.973590123879209,0.972666312715613,0.995924707466518,0.995293967897136
"12","lh_lingual",1,1,1,1
"13","lh_medialorbitofrontal",0.97786492112616,0.978851109920793,0.999109750263471,1
"14","lh_middletemporal",0.976827097474119,0.979083417947798,0.998821032016748,1
"15","lh_parahippocampal",0.992516100439459,0.99393135176028,0.997009160483836,0.998134749322049
"16","lh_paracentral",0.998333800311951,0.998866399389288,1,1
"17","lh_parsopercularis",0.993722830558424,0.993143087615319,1,1
"18","lh_parsorbitalis",0.98184133638486,0.982567654070599,0.999777124705516,1
"19","lh_parstriangularis",0.988521572117305,0.989963945608064,0.999225687185595,1
"20","lh_pericalcarine",0.993390235426641,0.992469405961854,0.994689994807206,0.993752426767776
"21","lh_postcentral",0.986770675996577,0.985928779854288,1,1
"22","lh_posteriorcingulate",0.988874328740641,0.988550236757008,0.995069487071784,0.994840601334304
"23","lh_precentral",0.979728365922294,0.979089491668311,1,1
"24","lh_precuneus",0.983261054457798,0.98225831249354,0.998125714545311,0.997054352519915
"25","lh_rostralanteriorcingulate",0.99724224331171,0.995775195814653,1,1
"26","lh_rostralmiddlefrontal",0.987291372193142,0.986238130371467,0.999615421031984,0.998457748519819
"27","lh_superiorfrontal",0.989522858387202,0.989102572080945,0.999481474612822,0.999107757147564
"28","lh_superiorparietal",0.983875375178916,0.98293303910279,0.990452539802277,0.989651133306619
"29","lh_superiortemporal",0.990122189004813,0.989354238081931,1,1
"30","lh_supramarginal",0.976696379979356,0.977307644915503,0.991447213873119,0.992045669403697
"31","lh_frontalpole",0.93234221105849,0.930742376293435,0.978526527028846,0.975420175289987
"32","lh_temporalpole",0.977790057710676,0.986675786808484,0.989856897615362,0.995542776529268
"33","lh_transversetemporal",0.999213943148399,0.999178514674685,1,1
"34","lh_insula",0.983831698962057,0.983875604205783,0.989022492495653,0.989718819237409
"35","rh_bankssts",0.995523467776843,0.998116926961006,0.995721065090472,0.998460040129586
"36","rh_caudalanteriorcingulate",0.991500667012287,0.993343346104104,0.998701222067632,1
"37","rh_caudalmiddlefrontal",0.994551579729042,0.994320045312046,0.997581727097547,0.997214484101865
"38","rh_cuneus",0.970304313943479,0.97471660324928,0.984820267462084,0.988623287267836
"39","rh_entorhinal",0.994783572574775,0.993574964803535,0.999920247459646,0.998561199816701
"40","rh_fusiform",0.975282436754789,0.974549701298684,1,1
"41","rh_inferiorparietal",0.977454501460445,0.977978514364799,0.999864921138792,1
"42","rh_inferiortemporal",0.958112424776102,0.958376946788642,0.999915781919151,0.999724452370787
"43","rh_isthmuscingulate",0.958879853566863,0.959483754326893,0.989229378212779,0.989814064734944
"44","rh_lateraloccipital",0.996387633534025,0.996474093455306,0.999668675752633,0.99972175077178
"45","rh_lateralorbitofrontal",0.965726472643367,0.967148039544293,0.994983162335209,0.998658945783174
"46","rh_lingual",0.995841716514892,0.995323299757478,0.998313869828022,0.997815024775053
"47","rh_medialorbitofrontal",1,0.998989540859792,1,0.998986908718828
"48","rh_middletemporal",0.940753420781068,0.942651931618659,0.998279736355526,0.999565504924842
"49","rh_parahippocampal",0.997082215447106,0.995807493812159,0.997298807514055,0.995985346377935
"50","rh_paracentral",0.997427815435839,0.996234034095123,1,1
