"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.976684714228834,0.978474455343496,0.997997415879519,0.999902321329298
"2","lh_caudalanteriorcingulate",0.980624851362697,0.982889740966081,0.997772708900587,0.999978644096244
"3","lh_caudalmiddlefrontal",0.954005528194415,0.955090957233961,0.998912764397675,0.999989736591489
"4","lh_cuneus",0.972302425702331,0.97542838174144,0.996698976227016,0.999722393526812
"5","lh_entorhinal",0.98122090724897,0.984553040692907,0.996616457093731,0.999992846087204
"6","lh_fusiform",0.979358181460265,0.980715946215022,0.998696878396,1
"7","lh_inferiorparietal",0.963022420854221,0.963703173797729,0.999350046322703,1
"8","lh_inferiortemporal",0.973606817083111,0.974340093007862,0.999206792345212,0.999912076200788
"9","lh_isthmuscingulate",0.977594899574829,0.979849814354593,0.99797095271744,1
"10","lh_lateraloccipital",0.962785080424026,0.964167140853722,0.998451035460057,0.999838758555217
"11","lh_lateralorbitofrontal",0.964801170666107,0.966473236400325,0.998145869439383,0.999885508558327
"12","lh_lingual",0.97722915482129,0.979403732725061,0.997958767260221,1
"13","lh_medialorbitofrontal",0.986930071666165,0.989326425085526,0.997214211095074,0.99982393859828
"14","lh_middletemporal",0.920685278868907,0.922435095612391,0.998308818719735,1
"15","lh_parahippocampal",0.989024342241338,0.990103606367859,0.998853325186953,0.999813565343574
"16","lh_paracentral",0.981742979160248,0.982851073055627,0.998779076397036,0.999946469794339
"17","lh_parsopercularis",0.95512400646671,0.957043755136084,0.997791917982669,0.999891412675595
"18","lh_parsorbitalis",0.976430947386225,0.977943885713024,0.998517693429713,1
"19","lh_parstriangularis",0.977862959430758,0.979706324363145,0.99832830143958,1
"20","lh_pericalcarine",0.988703631000455,0.990788504959664,0.997771987034937,0.999879286758362
"21","lh_postcentral",0.977444453480067,0.979168811137949,0.998051277943606,0.999861129650087
"22","lh_posteriorcingulate",0.980877684154573,0.98271447357194,0.998235413637495,1
"23","lh_precentral",0.962942997663965,0.964080655747948,0.99880845168216,0.999951827232141
"24","lh_precuneus",0.971135499893465,0.973332007352031,0.997957828783285,1
"25","lh_rostralanteriorcingulate",0.973878593327215,0.975530696316354,0.998261645810388,1
"26","lh_rostralmiddlefrontal",0.94782119561318,0.9479570712463,0.999691238778486,0.999941223020261
"27","lh_superiorfrontal",0.973646578825213,0.974305277186531,0.999281520354482,1
"28","lh_superiorparietal",0.954860671233788,0.957291120387506,0.997768111188428,1
"29","lh_superiortemporal",0.978678623030215,0.979306100256181,0.999339426978536,0.999897566345251
"30","lh_supramarginal",0.935488434274218,0.936932638027343,0.998240648752081,0.999798446693914
"31","lh_frontalpole",0.93445175139483,0.940395742224712,0.997730429180814,1
"32","lh_temporalpole",0.976576943718759,0.979197016217567,0.997972645373602,1
"33","lh_transversetemporal",0.986505814825859,0.987848398705371,0.998201755545305,0.999593474890891
"34","lh_insula",0.982103770840809,0.984496943734109,0.997714879476229,1
"35","rh_bankssts",0.968276192849049,0.972065675024127,0.996400098649763,1
"36","rh_caudalanteriorcingulate",0.97671231834447,0.978605313034317,0.997975493879928,0.999918020338206
"37","rh_caudalmiddlefrontal",0.971881738367953,0.972868392458998,0.999061857130042,1
"38","rh_cuneus",0.979029992576236,0.983599285855111,0.996118908926112,1
"39","rh_entorhinal",0.985873110719103,0.988896065847857,0.997584794588103,1
"40","rh_fusiform",0.965587659508766,0.966904943129989,0.99858996923826,0.999980312267608
"41","rh_inferiorparietal",0.938647368781629,0.940811606173682,0.997987465879869,1
"42","rh_inferiortemporal",0.956574395701608,0.958134809915531,0.998658763511372,1
"43","rh_isthmuscingulate",0.973015153468915,0.975395470112384,0.997716903325148,1
"44","rh_lateraloccipital",0.96475889314438,0.967269556605334,0.997180696175844,0.999739701855638
"45","rh_lateralorbitofrontal",0.966146768524769,0.968607870040895,0.997762447083012,1
"46","rh_lingual",0.983235244071721,0.985497548021485,0.997901671994041,1
"47","rh_medialorbitofrontal",0.969756265907854,0.97207262814339,0.997256207205851,1
"48","rh_middletemporal",0.922545843906884,0.924814898974679,0.997832250095973,0.999910173191466
"49","rh_parahippocampal",0.987848292007519,0.991425185225923,0.996556154238071,1
"50","rh_paracentral",0.961385188646333,0.963213990082736,0.998465373918019,1
"51","rh_parsopercularis",0.952676965548823,0.954891177108911,0.997247405292172,0.999600374422975
"52","rh_parsorbitalis",0.981602623033106,0.983082512096493,0.99875460380964,1
"53","rh_parstriangularis",0.963638521210541,0.966227668049084,0.997432151591764,1
"54","rh_pericalcarine",0.988831333015697,0.991354280576842,0.997613679664218,1
"55","rh_postcentral",0.962581008581868,0.965392845326583,0.997180302416124,0.999748962260436
"56","rh_posteriorcingulate",0.976011594047297,0.978039284531224,0.997922623086243,0.99996875440408
"57","rh_precentral",0.960387868667811,0.963066557531181,0.997342366779689,0.999817897476925
"58","rh_precuneus",0.963623308310824,0.966343880252713,0.997498235710461,1
"59","rh_rostralanteriorcingulate",0.973648735396807,0.974883067460414,0.998662986614152,0.999736658528908
"60","rh_rostralmiddlefrontal",0.955256940773026,0.956988103945544,0.998415370789963,0.99995895094187
"61","rh_superiorfrontal",0.974772941841257,0.975468456134705,0.999486996683004,1
"62","rh_superiorparietal",0.968658022396476,0.972464467509882,0.996393647250685,1
"63","rh_superiortemporal",0.969625718146427,0.970933102123125,0.998698741116029,1
"64","rh_supramarginal",0.966357429147039,0.968205490538033,0.99808966303508,0.999909466626523
"65","rh_frontalpole",0.934659167032355,0.943281643178103,0.99450043149193,1
"66","rh_temporalpole",0.981420253310331,0.985793693444905,0.995990496877396,1
"67","rh_transversetemporal",0.971008166325636,0.974076064460439,0.997102043499682,1
"68","rh_insula",0.982521315478851,0.984384690281236,0.9979137117809,0.999920954113058
