"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0,0.0169672320202459,0.00100311055102398,0.00995702172881252
"2","lh_caudalanteriorcingulate",0,0.0299602431121642,0.000391291359775559,0.0175134787983248
"3","lh_caudalmiddlefrontal",0,0.646959140910654,0.000949690379944412,0.00602124461401343
"4","lh_cuneus",0.000243958315540915,0.0137416568873042,0.000819259887662738,0.00572904510681871
"5","lh_entorhinal",0.000406458245665986,0.0250678513542478,0.000931605486338083,0.993290786021945
"6","lh_fusiform",0.000698789037946401,0.0170175577402497,0.000854637743491593,0.00521507787701092
"7","lh_inferiorparietal",0,0.0174948516965669,0.601135028437101,0.625815944477826
"8","lh_inferiortemporal",0,0.0116213388280735,0.000826032636942364,0.00690037503672425
"9","lh_isthmuscingulate",0,0.0360566015351763,1.21915792181682e-05,0.0509399750643681
"10","lh_lateraloccipital",0.000435465806488344,0.0140072007822357,0.000821307356039691,0.00354183576070688
"11","lh_lateralorbitofrontal",0.000114590046769059,0.0201287538696746,0.000833446165406038,0.0148297553994619
"12","lh_lingual",0.653252114865987,0.0168233290858523,0.000843095516689818,0.641765351674749
"13","lh_medialorbitofrontal",0.00215341584135376,0.0306126431951156,0.00153868452379591,0.0358057347209374
"14","lh_middletemporal",0.603169624973641,0.592342722607976,0.641062258881675,0.00813630749273409
"15","lh_parahippocampal",0,0.0223608666835319,0.000760658002386672,0.989879016129054
"16","lh_paracentral",0,0.0276875342848933,0.000866397468288427,0.010452640968129
"17","lh_parsopercularis",0.625228877491929,0.0162970651071642,0.000897290707857268,0.0129928980557364
"18","lh_parsorbitalis",0.000668268728380883,0.0177043566255011,0.000861436909690871,0.0175225674270213
"19","lh_parstriangularis",0,0.0146501431449643,0.000962657062677841,0.0062334230942761
"20","lh_pericalcarine",0,0.621855602815194,0.000847010546615734,0.00712638823016987
"21","lh_postcentral",0,0.664478076498421,0.000843366853561123,0.721768192534401
"22","lh_posteriorcingulate",0,0.0241887471065776,0.000732829682269398,0.0180373368115548
"23","lh_precentral",0,0.0256218327765776,0.000712829339630905,0.0103178418446729
"24","lh_precuneus",0,0.0117861610256527,0.635570654525001,0.00390342487607187
"25","lh_rostralanteriorcingulate",0.000884646264259992,0.0180642372389931,0.00112501468040394,0.00968821510956575
"26","lh_rostralmiddlefrontal",0.000403343363204467,0.0132937709620961,0.000942265894288252,0.0105009161790082
"27","lh_superiorfrontal",0,0.0168853494415208,0.000880749263883152,0.676758590973823
"28","lh_superiorparietal",0,0.0221733227709071,0.664109598184975,0.715322115655542
"29","lh_superiortemporal",0,0.616285025558213,0.616642131346852,0.00762055623955715
"30","lh_supramarginal",0,0.0225803397845441,0.000876305295448909,0.665170638093957
"31","lh_frontalpole",0.991603996716663,0.991259938779732,0.999703898165428,0.999506479961038
"32","lh_temporalpole",0.194792004404399,0.934668392880679,0.999028774396862,0.99962655171777
"33","lh_transversetemporal",0.11813226184309,0.968501964391553,0.118709081355352,0.994268152211151
"34","lh_insula",0,0.0296052179781193,0.00128567780446009,0.0166585900141333
"35","rh_bankssts",0,0.040172535203482,0.000915464836308555,0.0114724586351107
