"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.994287107811556,0.995558879505843,0.997711134576158,0.999095470933943
"2","lh_caudalanteriorcingulate",0.997728840631448,0.997448856692202,0.997832853019192,0.997546092522541
"3","lh_caudalmiddlefrontal",1,1,1,1
"4","lh_cuneus",0.987606596171327,0.986795195733217,0.996803035350485,0.996009592808948
"5","lh_entorhinal",0.98807401708919,0.992642596154733,0.992723554006467,0.998082496980492
"6","lh_fusiform",0.983734180922567,0.983193044261139,0.994835191015322,0.994340304838753
"7","lh_inferiorparietal",0.992081079076881,0.991764577218961,0.99880650853846,0.998527731142444
"8","lh_inferiortemporal",0.977547448581737,0.979242715103597,0.998865017554589,1
"9","lh_isthmuscingulate",0.695774395786216,0.695264552469916,0.980915722982878,0.983056085107902
"10","lh_lateraloccipital",0.96725718023945,0.967107080328539,0.99985713551883,0.999709139683353
"11","lh_lateralorbitofrontal",0.979603713702289,0.97860453577379,1,1
"12","lh_lingual",0.966533959043757,0.965787218850791,1,1
"13","lh_medialorbitofrontal",0.989656856638795,0.990863275478179,1,1
"14","lh_middletemporal",0.976479282217545,0.977399463799891,0.998822263510471,0.999601422063756
"15","lh_parahippocampal",0.990753782622772,0.9922922216969,0.995955640360672,0.99749787982311
"16","lh_paracentral",0.992215920852486,0.991899771859992,0.997457049684316,0.997247771159661
"17","lh_parsopercularis",0.997880050777074,0.999127385439931,0.999625857045303,1
"18","lh_parsorbitalis",0.985515564551814,0.98493624625028,1,1
"19","lh_parstriangularis",0.980441592036491,0.980528982556713,1,1
"20","lh_pericalcarine",0.969687852880412,0.969168195552786,1,1
"21","lh_postcentral",0.969548954890472,0.968689212229515,1,1
"22","lh_posteriorcingulate",0.757217077323151,0.757210887788984,0.998412880010061,0.998108259541658
"23","lh_precentral",0.969009162884994,0.968190087521129,0.992977125841182,0.992092917152371
"24","lh_precuneus",0.961234813280402,0.960407113972199,1,0.99966098796952
"25","lh_rostralanteriorcingulate",0.99024685311088,0.989050326044504,1,1
"26","lh_rostralmiddlefrontal",0.967908442641855,0.967232756812058,1,1
"27","lh_superiorfrontal",0.968830714296836,0.967993335857278,0.998342761599638,0.997556298222995
"28","lh_superiorparietal",0.982074982746425,0.98143787810448,0.998259793819266,0.997782234960652
"29","lh_superiortemporal",0.981026814401891,0.980828800461559,0.995902667431431,0.99566227674985
"30","lh_supramarginal",0.988623981839377,0.988189949478039,0.999951265567283,0.999479859276143
"31","lh_frontalpole",0.998998625605146,0.996859840881141,1,1
"32","lh_temporalpole",1,1,1,1
"33","lh_transversetemporal",0.992252371390364,0.993343220155058,0.999753778909571,1
"34","lh_insula",0.999995224790161,0.999308804726007,0.998975898595097,0.998416697768538
"35","rh_bankssts",0.991709655959473,0.99426300343218,0.995775268685129,0.998529335907969
"36","rh_caudalanteriorcingulate",0.994229849878777,0.995986068209406,0.995012495877237,0.99687205352315
"37","rh_caudalmiddlefrontal",0.988977088366269,0.988730328374518,0.994489061362572,0.994120061647776
"38","rh_cuneus",0.96606373726298,0.967028107370636,1,1
"39","rh_entorhinal",0.988125888610977,0.986628051373448,0.990702684609842,0.989063242191735
"40","rh_fusiform",0.96986217365561,0.969367508120556,0.998882446811303,0.998518322174451
"41","rh_inferiorparietal",0.974156979080792,0.975167621294284,0.999190095539412,1
"42","rh_inferiortemporal",0.962534688970451,0.963017966770477,0.998352516164439,0.99853996113418
"43","rh_isthmuscingulate",0.877935945616474,0.877491923672539,0.982801346722124,0.984393526182052
"44","rh_lateraloccipital",0.98658897791012,0.986116870629298,1,0.999643505699392
"45","rh_lateralorbitofrontal",0.980257709770256,0.979928692246161,0.99776914436377,0.999035717253982
"46","rh_lingual",0.989429567666257,0.989339371381934,0.999048782923892,0.998957850888505
"47","rh_medialorbitofrontal",0.99148971510471,0.990198424460021,0.998929246286044,0.997270575684126
"48","rh_middletemporal",0.962464723681265,0.963141716119207,0.999331700546937,0.999734236248042
"49","rh_parahippocampal",1,0.999903777301674,1,1
"50","rh_paracentral",0.996969299132985,0.99739523073702,0.99961367401312,0.999934283864367
"51","rh_parsopercularis",0.995093409767307,0.994291475702049,1,0.999851368654908
"52","rh_parsorbitalis",0.971420077653807,0.974251489265426,0.99715223526359,1
"53","rh_parstriangularis",0.998987818061822,0.999581906755369,0.999784857030436,1
"54","rh_pericalcarine",0.968643108160747,0.967794005949445,1,1
"55","rh_postcentral",0.985829975522973,0.986105760487533,0.999383329762277,0.999697216012515
"56","rh_posteriorcingulate",0.794209816151,0.798321151074348,0.998526657677647,0.999300964515633
"57","rh_precentral",0.954956908398272,0.955406441524619,0.992105795049602,0.992296399614836
"58","rh_precuneus",0.981802676573598,0.981598780143951,1,1
"59","rh_rostralanteriorcingulate",0.996390429498059,0.996924618522162,1,1
"60","rh_rostralmiddlefrontal",0.983882071138223,0.983486664903549,0.998809108936702,0.998046701308342
"61","rh_superiorfrontal",0.973506146846347,0.97437904076284,0.993409163723403,0.994122976270373
"62","rh_superiorparietal",0.982192829556592,0.981245281098336,1,0.999640395341465
"63","rh_superiortemporal",0.991441705539398,0.991016354368536,1,1
"64","rh_supramarginal",0.995389583097234,0.995950185287921,1,1
"65","rh_frontalpole",0.989690473200988,0.988484325406282,1,1
"66","rh_temporalpole",0.994262184697672,0.994297268564039,0.998157895758826,0.998400472325998
"67","rh_transversetemporal",0.995899879407331,0.9979388019202,0.996194892142105,0.998403018981075
"68","rh_insula",0.999644364506712,0.99780999473125,1,0.99894410566633
