"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.928969704563358,0.931571216021662,0.99767776063509,0.999944278683148
"2","lh_caudalanteriorcingulate",0.983112252154254,0.985930830279899,0.997273162511947,1
"3","lh_caudalmiddlefrontal",0.86388000528727,0.865594338549844,0.999062899056294,1
"4","lh_cuneus",0.977384112437502,0.978983429898104,0.998355602324208,0.999932598569473
"5","lh_entorhinal",0.980970971891493,0.983505590311497,0.997197276599383,0.999891533376598
"6","lh_fusiform",0.976100715178735,0.976609279736533,0.999588996181567,1
"7","lh_inferiorparietal",0.863040669361019,0.864582431390535,0.998820182453383,0.999996409027621
"8","lh_inferiortemporal",0.931598026942678,0.933070712674888,0.998875762202044,1
"9","lh_isthmuscingulate",0.912756746686312,0.914599251308015,0.997661580705595,0.999862348501953
"10","lh_lateraloccipital",0.92649861774514,0.927169380384825,0.999646438347168,1
"11","lh_lateralorbitofrontal",0.957734874568865,0.959043143638007,0.998409359066147,0.999813337315398
"12","lh_lingual",0.956804047794051,0.958357067895881,0.998329018498225,0.999939103425576
"13","lh_medialorbitofrontal",0.985296216343169,0.985968497454232,0.998881625774233,0.999379199246621
"14","lh_middletemporal",0.811082003301758,0.813149110590064,0.997954503830413,0.999563662292923
"15","lh_parahippocampal",0.989257902493038,0.992206393436923,0.997269786147373,1
"16","lh_paracentral",0.948913770665531,0.952056184625726,0.996959237443347,1
"17","lh_parsopercularis",0.915302739408922,0.917730324942176,0.997878029582447,1
"18","lh_parsorbitalis",0.97753981889407,0.978776411457024,0.998665778608489,0.999908954349072
"19","lh_parstriangularis",0.949750424872313,0.95155163516152,0.998476544319822,1
"20","lh_pericalcarine",0.967843848112383,0.969634158310041,0.998053922027396,0.999793775329035
"21","lh_postcentral",0.888711807033351,0.890248653185129,0.998970418102151,1
"22","lh_posteriorcingulate",0.911999376841147,0.914001117051165,0.9980773018622,1
"23","lh_precentral",0.819228435202006,0.822016947332485,0.998751301958883,1
"24","lh_precuneus",0.966783754763638,0.967923997861513,0.998970630887728,1
"25","lh_rostralanteriorcingulate",0.98434775946934,0.985275151316797,0.998990747756114,1
"26","lh_rostralmiddlefrontal",0.90392280377281,0.904084644393516,1,1
"27","lh_superiorfrontal",0.895089585577048,0.896614681901234,0.998746832709073,0.99995115332676
"28","lh_superiorparietal",0.857210200835765,0.860078084071111,0.997723612942118,0.999845203812841
"29","lh_superiortemporal",0.832507294954235,0.834057722351628,0.998719470341964,0.999651060236134
"30","lh_supramarginal",0.861561789421351,0.863490552612156,0.998340772808105,0.999753427776799
"31","lh_frontalpole",0.988325983413042,0.98944151488298,0.998623562289111,1
"32","lh_temporalpole",0.990287097840947,0.993991432647877,0.997005781116201,1
