"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-23240.3599742779,NA,-23157.6651371237,NA,16.4592418733779,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-23244.1187374942,-3.75876321635224,-23175.206373199,-17.5412360753835,16.7004786570186,0.241236783640616,0.886372141921809,"nonsig"
"3","timecon_v_con","lh_bankssts",-22570.0317534947,674.08698399951,-22514.9018620586,660.304511140479,694.78746265653,678.086983999512,5.69222815777896e-148,"sig"
"5","uncon_v_errcon","lh_bankssts",-22573.5424196836,666.817554594301,-22504.6300553884,653.03508173527,687.276796467679,670.817554594301,2.15684451302421e-146,"sig"
"6","errcon_v_con","lh_bankssts",-22570.0317534947,3.5106661888567,-22514.9018620586,-10.2718066701746,694.78746265653,7.51066618885091,0.0233926573475781,"sig"
"8","uncon_v_con","lh_bankssts",-22570.0317534947,670.328220783158,-22514.9018620586,642.763275065096,694.78746265653,678.328220783152,1.71627504583346e-145,"sig"
"11","uncon","lh_caudalanteriorcingulate",-17109.4858966569,NA,-17026.7910595027,NA,14.9523381658437,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-17098.0092179971,11.4766786598702,-17029.0968537019,-2.30579419916103,30.4290168257139,15.4766786598703,0.000435794685677417,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-16950.8597611105,147.149456886531,-16895.7298696744,133.3669840275,181.578473712251,151.149456886537,1.50769142834596e-33,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-16961.9798654619,147.506031195018,-16893.0675011668,133.723558335987,166.458369360862,151.506031195018,1.26148862409081e-33,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-16950.8597611105,11.1201043513829,-16895.7298696744,-2.66236850764835,181.578473712251,15.1201043513894,0.0005208480675663,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-16950.8597611105,158.626135546401,-16895.7298696744,131.061189828339,181.578473712251,166.626135546408,5.5397387892086e-35,"sig"
"12","uncon","lh_caudalmiddlefrontal",-25267.1489832358,NA,-25184.4541460816,NA,9.07775934673909,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-25269.1005175541,-1.9515343182793,-25200.1881532589,-15.7340071773106,11.1262250284511,2.04846568171205,0.359071825004025,"nonsig"
