"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",10090.6743858581,NA,10173.3692230123,NA,41.9869776286894,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",10086.9647719494,-3.70961390875345,10155.8771362445,-17.4920867677865,42.277363719931,0.29038609124165,0.864855320462328,"nonsig"
"3","timecon_v_con","lh_bankssts",10400.4779621296,313.513190180185,10455.6078535657,299.730717321154,359.790553900116,317.513190180185,1.12950143398111e-69,"sig"
"5","uncon_v_errcon","lh_bankssts",10404.4417003584,313.767314500274,10473.3540646536,299.984841641241,359.754292128941,317.767314500252,9.94728111899572e-70,"sig"
"6","errcon_v_con","lh_bankssts",10400.4779621296,-3.96373822884198,10455.6078535657,-17.7462110878732,359.790553900116,0.0362617711750204,0.982032490046902,"nonsig"
"8","uncon_v_con","lh_bankssts",10400.4779621296,309.803576271432,10455.6078535657,282.238630553367,359.790553900116,317.803576271427,1.5620091316117e-67,"sig"
"11","uncon","lh_caudalanteriorcingulate",4557.41779790524,NA,4640.11263505943,NA,9.21175410607538,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",4563.38511464891,5.96731674367038,4632.29747894407,-7.81515611536179,19.1790708497667,9.9673167436913,0.00684896062466919,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",4612.26066006835,48.8755454194434,4667.39055150448,35.0930725604112,72.0546162692443,52.8755454194776,3.29777634399265e-12,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",4605.78132892876,48.363531023524,4674.69369322392,34.5810581644919,61.575285129634,52.3635310235586,4.25994225126888e-12,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",4612.26066006835,6.4793311395897,4667.39055150448,-7.30314171944246,72.0546162692443,10.4793311396103,0.0053020296982297,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",4612.26066006835,54.8428621631138,4667.39055150448,27.2779164450494,72.0546162692443,62.8428621631689,7.32281476360949e-13,"sig"
"12","uncon","lh_caudalmiddlefrontal",34603.9425901774,NA,34686.6374273316,NA,0.806618128445566,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",34600.6074824461,-3.33510773131275,34669.5198467413,-17.1175805903476,1.47151039712747,0.6648922686819,0.717167298512754,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",35087.5211898863,486.913707440151,35142.6510813224,473.131234581117,492.385217837307,490.913707440179,2.50866623209066e-107,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",35091.0489940124,487.10640383498,35159.9613583076,473.323930975945,491.913021963425,491.10640383498,2.2782395849557e-107,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",35087.5211898863,-3.52780412614084,35142.6510813224,-17.3102769851757,492.385217837307,0.472195873881276,0.789703329017347,"nonsig"
"82","uncon_v_con","lh_caudalmiddlefrontal",35087.5211898863,483.578599708839,35142.6510813224,456.013653990769,492.385217837307,491.578599708861,4.44006868315015e-105,"sig"
"13","uncon","lh_cuneus",9596.74969289357,NA,9679.44453004776,NA,86.2896521623156,NA,NA,NA
