"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-22426.2977167219,NA,-22343.6028795677,NA,8.04641210446741,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-22427.632631128,-1.33491440607395,-22358.7202668328,-15.1173872651052,10.711497698389,2.66508559392162,0.26380560363003,"nonsig"
"3","timecon_v_con","lh_bankssts",-21246.4836395144,1181.14899161364,-21191.3537480782,1167.36651875461,1195.86048931205,1185.14899161366,4.44801614042955e-258,"sig"
"5","uncon_v_errcon","lh_bankssts",-21249.6789193815,1176.61879734042,-21180.7665550863,1162.83632448139,1188.66520944486,1180.61879734039,4.28435591531073e-257,"sig"
"6","errcon_v_con","lh_bankssts",-21246.4836395144,3.19527986714456,-21191.3537480782,-10.5871929918867,1195.86048931205,7.19527986718367,0.0273882844020697,"sig"
"8","uncon_v_con","lh_bankssts",-21246.4836395144,1179.81407720757,-21191.3537480782,1152.24913148951,1195.86048931205,1187.81407720758,6.98070809835862e-256,"sig"
"11","uncon","lh_caudalanteriorcingulate",-32013.830206741,NA,-31931.1353695868,NA,120.844759779898,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-32014.9536530598,-1.12344631875749,-31946.0412887646,-14.9059191777887,123.721313461143,2.87655368124437,0.237336374925707,"nonsig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-32006.2877359758,8.66591708393753,-31951.1578445397,-5.11655577509373,136.387230545107,12.6659170839638,0.00177676933874146,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-32005.2936927401,8.53651400086892,-31936.381328445,-5.24595885816234,133.38127378077,12.5365140008712,0.00189552961281713,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-32006.2877359758,-0.994043235688878,-31951.1578445397,-14.7765160947201,136.387230545107,3.00595676433707,0.222466581943465,"nonsig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-32006.2877359758,7.54247076518004,-31951.1578445397,-20.0224749528825,136.387230545107,15.5424707652082,0.00369875973777272,"sig"
"12","uncon","lh_caudalmiddlefrontal",-440.782796002226,NA,-358.087958848033,NA,12.8890699554273,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-438.461602483389,2.32119351883637,-369.549238188229,-11.4612793401957,19.2102634742927,6.32119351886542,0.0424004306721954,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",1534.92243338466,1973.38403586805,1590.05232482079,1959.60156300901,1996.59429934235,1977.38403586806,0,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",1522.61005955623,1963.39285555846,1591.52242385139,1949.61038269943,1980.28192551392,1967.3928555585,0,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",1534.92243338466,12.3123738284248,1590.05232482079,-1.47009903060734,1996.59429934235,16.3123738284282,0.000286954493441412,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",1534.92243338466,1975.70522938688,1590.05232482079,1948.14028366882,1996.59429934235,1983.70522938693,0,"sig"
"13","uncon","lh_cuneus",-21431.9397337918,NA,-21349.2448966376,NA,26.4389073247716,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-21434.022121368,-2.08238757627987,-21365.1097570729,-15.8648604353111,28.356519748474,1.91761242370246,0.383350251909337,"nonsig"
"33","timecon_v_con","lh_cuneus",-21320.076957595,113.945163773013,-21264.9470661589,100.162690913981,146.301683521479,117.945163773005,2.44643174261325e-26,"sig"
"53","uncon_v_errcon","lh_cuneus",-21318.2530216381,113.686712153711,-21249.3406573429,99.9042392946794,144.125619478477,117.686712153706,2.78390979574127e-26,"sig"
"63","errcon_v_con","lh_cuneus",-21320.076957595,-1.82393595697795,-21264.9470661589,-15.6064088160092,146.301683521479,2.17606404300133,0.336878812037827,"nonsig"
"83","uncon_v_con","lh_cuneus",-21320.076957595,111.862776196733,-21264.9470661589,84.2978304786702,146.301683521479,119.862776196707,5.71439067121326e-25,"sig"
"14","uncon","lh_entorhinal",-36543.2569404941,NA,-36460.5621033399,NA,10.4875605518704,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",-36544.3221915051,-1.06525101097213,-36475.4098272099,-14.847723870007,13.422309540889,2.93474898901861,0.230529948974801,"nonsig"
"34","timecon_v_con","lh_entorhinal",-36508.2764713677,36.0457201374156,-36453.1465799316,22.2632472783807,53.4680296783016,40.0457201374126,2.01456999016507e-09,"sig"
"54","uncon_v_errcon","lh_entorhinal",-36506.8537609797,36.4031795144256,-36437.9413966845,22.6207066553907,50.8907400662767,40.4031795144064,1.68484922610308e-09,"sig"
"64","errcon_v_con","lh_entorhinal",-36508.2764713677,-1.42271038798208,-36453.1465799316,-15.205183247017,53.4680296783016,2.57728961202483,0.275644081288558,"nonsig"
