"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-23646.6974510729,NA,-23067.8335909935,NA,50.7943413252569,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-23661.3005613781,-14.6031103052883,-23220.2614298891,-152.427838895608,76.1912310199648,25.396889694708,0.186666716978252,"nonsig"
"3","timecon_v_con","lh_bankssts",-22646.6706535728,1014.62990780529,-22343.4562506741,876.805179214971,1130.82113882526,1054.6299078053,8.63684062969081e-211,"sig"
"5","uncon_v_errcon","lh_bankssts",-22650.9363859821,995.761065090803,-22209.897254493,857.936336500483,1086.55540641605,1035.7610650908,9.1884950623457e-207,"sig"
"6","errcon_v_con","lh_bankssts",-22646.6706535728,4.26573240920334,-22343.4562506741,-133.55899618112,1130.82113882526,44.2657324092061,0.0013863507504447,"sig"
"8","uncon_v_con","lh_bankssts",-22646.6706535728,1000.02679750001,-22343.4562506741,724.377340319363,1130.82113882526,1080.0267975,2.09545187837853e-200,"sig"
"11","uncon","lh_caudalanteriorcingulate",-17300.9764392629,NA,-16722.1125791835,NA,39.2575849400272,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-17309.0178087299,-8.0413694670533,-16867.9786772409,-145.866098057373,71.2162154729743,31.958630532947,0.0437411290928052,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-17053.5308283047,255.486980425201,-16750.316425406,117.662251834878,366.703195898176,295.486980425201,6.74101665206399e-51,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-17044.798726934,256.177712328885,-16603.759595445,118.352983738565,335.43529726891,296.177712328883,4.87299964176975e-51,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-17053.5308283047,-8.73210137073693,-16750.316425406,-146.55682996106,366.703195898176,31.2678986292651,0.0517516322286296,"nonsig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-17053.5308283047,247.445610958148,-16750.316425406,-28.2038462224955,366.703195898176,327.445610958148,8.55565363104102e-47,"sig"
"12","uncon","lh_caudalmiddlefrontal",-26054.6224502646,NA,-25475.7585901853,NA,44.8667867580901,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-26056.678402405,-2.05595214039568,-25615.639270916,-139.880680730716,82.8108346176948,37.9440478596047,0.00899599796977802,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",-23409.4257566309,2647.25264577408,-23106.2113537322,2509.42791718376,2770.06348039177,2687.25264577408,0,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",-23539.2512420535,2515.37120821113,-23098.2121105645,2377.54647962081,2600.23799496922,2555.37120821113,0,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",-23409.4257566309,129.825485422556,-23106.2113537322,-7.99924316776742,2770.06348039177,169.825485422557,9.37252717847892e-26,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",-23409.4257566309,2645.19669363368,-23106.2113537322,2369.54723645304,2770.06348039177,2725.19669363368,0,"sig"
"13","uncon","lh_cuneus",-27769.257955331,NA,-27190.3940952516,NA,34.9347037269581,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-27786.1194602577,-16.8615049267864,-27345.0803287687,-154.686233517106,58.0731988001728,23.1384950732146,0.28204542089542,"nonsig"
"33","timecon_v_con","lh_cuneus",-27444.5642307337,341.555229524001,-27141.349827835,203.730500933678,439.628428324173,381.555229524,1.35577749153505e-68,"sig"
"53","uncon_v_errcon","lh_cuneus",-27433.8036046657,335.454350665226,-26992.7644731767,197.629622074906,410.389054392185,375.454350665227,2.47925129160882e-67,"sig"
"63","errcon_v_con","lh_cuneus",-27444.5642307337,-10.7606260680113,-27141.349827835,-148.585354658335,439.628428324173,29.2393739319878,0.0831519047502093,"nonsig"
"83","uncon_v_con","lh_cuneus",-27444.5642307337,324.693724597215,-27141.349827835,49.0442674165715,439.628428324173,404.693724597215,7.85584957992882e-62,"sig"
"14","uncon","lh_entorhinal",-1918.87285599157,NA,-1340.00899591222,NA,33.6922280087367,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",-1928.5376700542,-9.66481406262983,-1487.49853856517,-147.489542652951,64.0274139461072,30.3351859373705,0.0646014549756416,"nonsig"
"34","timecon_v_con","lh_entorhinal",-1487.5654339625,440.972236091699,-1184.3510310638,303.147507501378,544.999650037807,480.9722360917,2.78449090208813e-89,"sig"
"54","uncon_v_errcon","lh_entorhinal",-1510.46915240052,408.403703591048,-1069.4300209115,270.578975000727,482.095931599784,448.403703591048,1.75417236053587e-82,"sig"
"64","errcon_v_con","lh_entorhinal",-1487.5654339625,22.9037184380209,-1184.3510310638,-114.9210101523,544.999650037807,62.9037184380225,2.50715832062787e-06,"sig"
"84","uncon_v_con","lh_entorhinal",-1487.5654339625,431.307422029069,-1184.3510310638,155.657964848427,544.999650037807,511.30742202907,4.62053353422143e-83,"sig"
"15","uncon","lh_fusiform",-30051.7926583147,NA,-29472.9287982354,NA,49.8647654111641,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",-30059.8411868285,-8.04852851382384,-29618.8020553395,-145.873257104144,81.8162368973368,31.9514714861727,0.0438181656244354,"sig"
"35","timecon_v_con","lh_fusiform",-29484.6692320942,575.171954734302,-29181.4548291955,437.347226143978,696.98819163164,615.171954734303,1.82766527969617e-117,"sig"
"55","uncon_v_errcon","lh_fusiform",-29508.6675255703,543.125132744404,-29067.6283940813,405.300404154084,632.989898155572,583.125132744408,1.02891069119312e-110,"sig"
"65","errcon_v_con","lh_fusiform",-29484.6692320942,23.9982934760737,-29181.4548291955,-113.82643511425,696.98819163164,63.9982934760679,1.68368968130182e-06,"sig"
"85","uncon_v_con","lh_fusiform",-29484.6692320942,567.123426220478,-29181.4548291955,291.473969039835,696.98819163164,647.123426220476,1.28593110205645e-110,"sig"
"16","uncon","lh_inferiorparietal",-29631.1293741231,NA,-29052.2655140437,NA,71.7881621286498,NA,NA,NA
"26","uncon_v_timecon","lh_inferiorparietal",-29643.4556890327,-12.3263149096456,-29202.4165575437,-150.151043499965,99.4618472190008,27.6736850903509,0.117351763793756,"nonsig"
"36","timecon_v_con","lh_inferiorparietal",-26929.6251858107,2713.83050322202,-26626.410782912,2576.0057746317,2853.29235044102,2753.83050322202,0,"sig"
"56","uncon_v_errcon","lh_inferiorparietal",-27047.5127649872,2583.61660913589,-26606.4736334982,2445.79188054557,2695.40477126454,2623.61660913589,0,"sig"
"66","errcon_v_con","lh_inferiorparietal",-26929.6251858107,117.887579176484,-26626.410782912,-19.9371494138395,2853.29235044102,157.887579176482,1.91885238796781e-23,"sig"
"86","uncon_v_con","lh_inferiorparietal",-26929.6251858107,2701.50418831237,-26626.410782912,2425.85473113173,2853.29235044102,2781.50418831237,0,"sig"
"17","uncon","lh_inferiortemporal",-24994.7119927377,NA,-24415.8481326583,NA,53.215785066544,NA,NA,NA
"27","uncon_v_timecon","lh_inferiortemporal",-24993.4301900567,1.28180268096185,-24552.3910585677,-136.542925909358,94.4975877475022,41.2818026809582,0.00342681994458812,"sig"
"37","timecon_v_con","lh_inferiortemporal",-23801.1153002369,1192.31488981984,-23497.9008973382,1054.49016122952,1326.81247756734,1232.31488981984,9.12144765958886e-249,"sig"
"57","uncon_v_errcon","lh_inferiortemporal",-23875.3794119887,1119.33258074892,-23434.3402804997,981.5078521586,1212.54836581546,1159.33258074892,3.71323116602333e-233,"sig"
"67","errcon_v_con","lh_inferiortemporal",-23801.1153002369,74.2641117518833,-23497.9008973382,-63.5606168384402,1326.81247756734,114.264111751883,3.25729711805473e-15,"sig"
"87","uncon_v_con","lh_inferiortemporal",-23801.1153002369,1193.5966925008,-23497.9008973382,917.94723532016,1326.81247756734,1273.5966925008,4.42657438051007e-241,"sig"
"18","uncon","lh_isthmuscingulate",-26929.0146832782,NA,-26350.1508231989,NA,36.135086558714,NA,NA,NA
"28","uncon_v_timecon","lh_isthmuscingulate",-26934.5980837447,-5.58340046646117,-26493.5589522557,-143.408129056781,70.5516860922541,34.4165995335401,0.0234408669224055,"sig"
"38","timecon_v_con","lh_isthmuscingulate",-26746.7660393875,187.832044357161,-26443.5516364888,50.0073157668376,298.383730449412,227.832044357158,3.24934330315822e-37,"sig"
"58","uncon_v_errcon","lh_isthmuscingulate",-26742.5591229625,186.455560315717,-26301.5199914735,48.630831725397,262.590646874432,226.455560315718,6.12676039369094e-37,"sig"
"68","errcon_v_con","lh_isthmuscingulate",-26746.7660393875,-4.20691642501697,-26443.5516364888,-142.03164501534,298.383730449412,35.7930835749805,0.0162650177495771,"sig"
"88","uncon_v_con","lh_isthmuscingulate",-26746.7660393875,182.2486438907,-26443.5516364888,-93.4008132899435,298.383730449412,262.248643890698,1.86921198978729e-34,"sig"
"19","uncon","lh_lateraloccipital",-31578.9516529837,NA,-31000.0877929044,NA,34.3292406331251,NA,NA,NA
"29","uncon_v_timecon","lh_lateraloccipital",-31556.625081392,22.3265715917623,-31115.5859499029,-115.498156998558,96.655812224889,62.3265715917639,3.08977484391205e-06,"sig"
"39","timecon_v_con","lh_lateraloccipital",-30583.4209681758,973.204113216158,-30280.2065652771,835.379384625834,1109.85992544105,1013.20411321616,5.96390694930741e-202,"sig"
"59","uncon_v_errcon","lh_lateraloccipital",-30619.6595473266,959.292105657078,-30178.6204158376,821.467377066758,1033.62134629021,999.292105657082,5.52781435135001e-199,"sig"
"69","errcon_v_con","lh_lateraloccipital",-30583.4209681758,36.2385791508423,-30280.2065652771,-101.586149439481,1109.85992544105,76.2385791508386,1.69152781227967e-08,"sig"
"89","uncon_v_con","lh_lateraloccipital",-30583.4209681758,995.53068480792,-30280.2065652771,719.881227627277,1109.85992544105,1075.53068480792,1.83332437861839e-199,"sig"
"110","uncon","lh_lateralorbitofrontal",-26515.0942336771,NA,-25936.2303735977,NA,31.983056923894,NA,NA,NA
"210","uncon_v_timecon","lh_lateralorbitofrontal",-26539.0072731417,-23.9130394646709,-26097.9681416527,-161.737768054991,48.0700174592237,16.0869605353296,0.711214913192472,"nonsig"
"310","timecon_v_con","lh_lateralorbitofrontal",-26215.454893568,323.552379573703,-25912.2404906693,185.727650983379,411.622397032927,363.552379573703,7.13834472076024e-65,"sig"
