"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_G_and_S_frontomargin",-6041.93671975336,NA,-5520.46917670527,NA,65.8304597621888,NA,NA,NA
"2","uncon_v_timecon","lh_G_and_S_frontomargin",-6062.29462353317,-20.3579037798154,-5664.98601930606,-144.516842600788,85.4725559823723,19.6420962201835,0.480508923138184,"nonsig"
"3","timecon_v_con","lh_G_and_S_frontomargin",-5964.18515087493,98.1094726582414,-5691.03548546879,-26.0494661627308,223.582028640614,138.109472658242,1.1547556313925e-19,"sig"
"5","uncon_v_errcon","lh_G_and_S_frontomargin",-5972.96822181922,68.9684979341373,-5575.65961759211,-55.1904408868349,174.798957696326,108.968497934137,3.02749239528929e-14,"sig"
"6","errcon_v_con","lh_G_and_S_frontomargin",-5964.18515087493,8.78307094428874,-5691.03548546879,-115.375867876684,223.582028640614,48.7830709442885,0.000329979896287666,"sig"
"8","uncon_v_con","lh_G_and_S_frontomargin",-5964.18515087493,77.751568878426,-5691.03548546879,-170.566308763518,223.582028640614,157.751568878425,6.59186459667118e-16,"sig"
"11","uncon","lh_G_and_S_occipital_inf",-5045.71035181459,NA,-4524.24280876651,NA,89.3053532997356,NA,NA,NA
"21","uncon_v_timecon","lh_G_and_S_occipital_inf",-5064.40866659739,-18.6983147828023,-4667.10006237028,-142.857253603775,110.607038516935,21.3016852171991,0.379570800912481,"nonsig"
"31","timecon_v_con","lh_G_and_S_occipital_inf",-4924.4228747439,139.985791853491,-4651.27320933776,15.8268530325186,290.592830370426,179.985791853491,9.76954676513756e-28,"sig"
"51","uncon_v_errcon","lh_G_and_S_occipital_inf",-4988.94806474167,56.7622870729174,-4591.63946051456,-67.3966517480549,186.067640372654,96.7622870729185,4.76074854366266e-12,"sig"
"61","errcon_v_con","lh_G_and_S_occipital_inf",-4924.4228747439,64.5251899977711,-4651.27320933776,-59.6337488232011,290.592830370426,104.525189997771,1.9350875186585e-13,"sig"
"81","uncon_v_con","lh_G_and_S_occipital_inf",-4924.4228747439,121.287477070689,-4651.27320933776,-127.030400571256,290.592830370426,201.28747707069,2.23098562288413e-23,"sig"
"12","uncon","lh_G_and_S_paracentral",-6043.07969441146,NA,-5521.61215136338,NA,32.5037532791306,NA,NA,NA
"22","uncon_v_timecon","lh_G_and_S_paracentral",-6065.90906321302,-22.8293688015583,-5668.60045898591,-146.988307622531,49.6743844775721,17.1706311984415,0.641867662599247,"nonsig"
"32","timecon_v_con","lh_G_and_S_paracentral",-6058.01010489098,7.89895832204456,-5784.86043948484,-116.259980498928,97.5733427996167,47.8989583220446,0.000439503062049398,"sig"
"52","uncon_v_errcon","lh_G_and_S_paracentral",-6052.16950279854,-9.08980838708067,-5654.86089857143,-133.248747208053,63.4139448920501,30.9101916129195,0.0563872922819803,"nonsig"
"62","errcon_v_con","lh_G_and_S_paracentral",-6058.01010489098,-5.84060209243307,-5784.86043948484,-129.999540913405,97.5733427996167,34.1593979075666,0.0250664306598266,"sig"
"82","uncon_v_con","lh_G_and_S_paracentral",-6058.01010489098,-14.9304104795137,-5784.86043948484,-263.248288121458,97.5733427996167,65.0695895204861,0.00736110684468708,"sig"
"13","uncon","lh_G_and_S_subcentral",-2619.56960094566,NA,-2098.10205789758,NA,689.739948289435,NA,NA,NA
"23","uncon_v_timecon","lh_G_and_S_subcentral",-2640.29069661779,-20.7210956721233,-2242.98209239067,-144.880034493096,709.018852617311,19.2789043278756,0.503769037918007,"nonsig"
"33","timecon_v_con","lh_G_and_S_subcentral",-2502.78452231214,137.506174305644,-2229.634856906,13.3472354846722,886.525026922956,177.506174305645,2.98366781261855e-27,"sig"
"53","uncon_v_errcon","lh_G_and_S_subcentral",-2520.02779078835,99.5418101573091,-2122.71918656124,-24.6171286636632,829.281758446744,139.541810157309,6.18224637323253e-20,"sig"
"63","errcon_v_con","lh_G_and_S_subcentral",-2502.78452231214,17.2432684762121,-2229.634856906,-106.91567034476,886.525026922956,57.2432684762116,1.88528514942395e-05,"sig"
"83","uncon_v_con","lh_G_and_S_subcentral",-2502.78452231214,116.785078633521,-2229.634856906,-131.532799008423,886.525026922956,196.785078633521,1.38600173786481e-22,"sig"
"14","uncon","lh_G_and_S_transv_frontopol",-5542.33856152624,NA,-5020.87101847816,NA,556.587121466312,NA,NA,NA
"24","uncon_v_timecon","lh_G_and_S_transv_frontopol",-5554.78810514757,-12.4495436213265,-5157.47950092046,-136.608482442299,584.137577844985,27.5504563786734,0.12047539546727,"nonsig"
"34","timecon_v_con","lh_G_and_S_transv_frontopol",-5420.94089132659,133.84721382098,-5147.79122592045,9.68827500000771,757.984791665965,173.84721382098,1.5448163590906e-26,"sig"
"54","uncon_v_errcon","lh_G_and_S_transv_frontopol",-5436.08789826326,106.250663262981,-5038.77929403615,-17.9082755579911,702.837784729293,146.250663262981,3.27371032865386e-21,"sig"
"64","errcon_v_con","lh_G_and_S_transv_frontopol",-5420.94089132659,15.1470069366724,-5147.79122592045,-109.0119318843,757.984791665965,55.1470069366721,3.90349496155932e-05,"sig"
"84","uncon_v_con","lh_G_and_S_transv_frontopol",-5420.94089132659,121.397670199653,-5147.79122592045,-126.920207442291,757.984791665965,201.397670199653,2.13319698960017e-23,"sig"
"15","uncon","lh_G_and_S_cingul-Ant",-6215.40306273193,NA,-5693.93551968384,NA,604.655377310031,NA,NA,NA
"25","uncon_v_timecon","lh_G_and_S_cingul-Ant",-6236.95651590028,-21.5534531683534,-5839.64791167317,-145.712391989326,623.101924141678,18.4465468316475,0.55801751595764,"nonsig"
"35","timecon_v_con","lh_G_and_S_cingul-Ant",-6168.74832439091,68.2081915093668,-5895.59865898477,-55.9507473116055,731.310115651045,108.208191509366,4.162831468615e-14,"sig"
"55","uncon_v_errcon","lh_G_and_S_cingul-Ant",-6164.60079338432,50.8022693476032,-5767.29218915721,-73.356669473369,695.457646657635,90.8022693476041,5.36497429136647e-11,"sig"
"65","errcon_v_con","lh_G_and_S_cingul-Ant",-6168.74832439091,-4.14753100658982,-5895.59865898477,-128.306469827562,731.310115651045,35.8524689934097,0.0160066510916872,"sig"
"85","uncon_v_con","lh_G_and_S_cingul-Ant",-6168.74832439091,46.6547383410134,-5895.59865898477,-201.663139300931,731.310115651045,126.654738341014,6.21437466966495e-11,"sig"
"16","uncon","lh_G_and_S_cingul-Mid-Ant",-8801.88424415531,NA,-8280.41670110722,NA,79.2322446173177,NA,NA,NA
"26","uncon_v_timecon","lh_G_and_S_cingul-Mid-Ant",-8818.65944950307,-16.7752053477652,-8421.35084527596,-140.934144168737,102.457039269552,23.2247946522341,0.27789193131242,"nonsig"
"36","timecon_v_con","lh_G_and_S_cingul-Mid-Ant",-8774.11209801918,44.5473514838886,-8500.96243261304,-79.6115873370836,187.00439075344,84.5473514838883,6.55139606325482e-10,"sig"
"56","uncon_v_errcon","lh_G_and_S_cingul-Mid-Ant",-8762.12735733038,39.7568868249291,-8364.81875310327,-84.4020519960432,158.989131442244,79.7568868249265,4.31712171684367e-09,"sig"
"66","errcon_v_con","lh_G_and_S_cingul-Mid-Ant",-8774.11209801918,-11.9847406888057,-8500.96243261304,-136.143679509778,187.00439075344,28.0152593111959,0.109038641756044,"nonsig"
"86","uncon_v_con","lh_G_and_S_cingul-Mid-Ant",-8774.11209801918,27.7721461361234,-8500.96243261304,-220.545731505821,187.00439075344,107.772146136122,3.91872206930652e-08,"sig"
"17","uncon","lh_G_and_S_cingul-Mid-Post",-7669.16129298914,NA,-7147.69374994105,NA,556.74355911521,NA,NA,NA
"27","uncon_v_timecon","lh_G_and_S_cingul-Mid-Post",-7687.7104769623,-18.5491839731658,-7290.40187273519,-142.708122794138,578.194375142044,21.4508160268341,0.371038052934049,"nonsig"
"37","timecon_v_con","lh_G_and_S_cingul-Mid-Post",-7672.90577781822,14.8046991440824,-7399.75611241208,-109.35423967689,632.999074286127,54.8046991440832,4.39133813519915e-05,"sig"
"57","uncon_v_errcon","lh_G_and_S_cingul-Mid-Post",-7674.01676531122,-4.85547232208319,-7276.70816108411,-129.014411143055,591.888086793126,35.144527677916,0.0193479017429743,"sig"
"67","errcon_v_con","lh_G_and_S_cingul-Mid-Post",-7672.90577781822,1.11098749299981,-7399.75611241208,-123.047951327972,632.999074286127,41.1109874930013,0.00360487402977325,"sig"
"87","uncon_v_con","lh_G_and_S_cingul-Mid-Post",-7672.90577781822,-3.74448482908338,-7399.75611241208,-252.062362471028,632.999074286127,76.2555151709173,0.000479385943554495,"sig"
"18","uncon","lh_G_cingul-Post-dorsal",-2013.16152647882,NA,-1491.69398343073,NA,1150.47019461606,NA,NA,NA
"28","uncon_v_timecon","lh_G_cingul-Post-dorsal",-2026.12781260226,-12.9662861234456,-1628.81920837515,-137.125224944418,1177.50390849261,27.0337138765556,0.134318142295799,"nonsig"
"38","timecon_v_con","lh_G_cingul-Post-dorsal",-2029.10286065709,-2.97504805482185,-1755.95319525095,-127.133986875794,1214.52886043779,37.0249519451775,0.0116216762388263,"sig"
"58","uncon_v_errcon","lh_G_cingul-Post-dorsal",-2027.50170614491,-14.3401796660883,-1630.19310191779,-138.499118487061,1176.13001494997,25.659820333912,0.177343157442791,"nonsig"
"68","errcon_v_con","lh_G_cingul-Post-dorsal",-2029.10286065709,-1.60115451217916,-1755.95319525095,-125.760093333152,1214.52886043779,38.3988454878211,0.00791252871933747,"sig"
"88","uncon_v_con","lh_G_cingul-Post-dorsal",-2029.10286065709,-15.9413341782674,-1755.95319525095,-264.259211820212,1214.52886043779,64.058665821733,0.00922162553278915,"sig"
"19","uncon","lh_G_cingul-Post-ventral",-2873.96058848761,NA,-2352.49304543952,NA,983.1831523122,NA,NA,NA
"29","uncon_v_timecon","lh_G_cingul-Post-ventral",-2877.98159055315,-4.02100206554906,-2480.67298632604,-128.179940886521,1019.16215024665,35.9789979344512,0.0154687491464794,"sig"
"39","timecon_v_con","lh_G_cingul-Post-ventral",-2796.86287581907,81.1187147340829,-2523.71321041293,-43.0402240868893,1140.28086498074,121.118714734084,1.76905649083184e-16,"sig"
"59","uncon_v_errcon","lh_G_cingul-Post-ventral",-2853.36821029619,20.592378191418,-2456.05960606908,-103.566560629554,1043.77553050362,60.5923781914182,5.76419136795462e-06,"sig"
"69","errcon_v_con","lh_G_cingul-Post-ventral",-2796.86287581907,56.5053344771159,-2523.71321041293,-67.6536043438564,1140.28086498074,96.505334477117,5.28844380412957e-12,"sig"
"89","uncon_v_con","lh_G_cingul-Post-ventral",-2796.86287581907,77.0977126685339,-2523.71321041293,-171.220164973411,1140.28086498074,157.097712668535,8.45802673741897e-16,"sig"
"110","uncon","lh_G_cuneus",-7174.24612700839,NA,-6652.7785839603,NA,117.496605054087,NA,NA,NA
"210","uncon_v_timecon","lh_G_cuneus",-7195.92268444426,-21.6765574358706,-6798.61408021715,-145.835496256843,135.820047618215,18.3234425641281,0.566110777105538,"nonsig"
"310","timecon_v_con","lh_G_cuneus",-7174.81248534878,21.1101990954803,-6901.66281994264,-103.048739725492,196.930246713696,61.1101990954811,4.78820280440993e-06,"sig"
"510","uncon_v_errcon","lh_G_cuneus",-7168.81627292716,5.42985408123241,-6771.50766870004,-118.72908473974,162.926459135317,45.42985408123,0.000964542459473008,"sig"
"610","errcon_v_con","lh_G_cuneus",-7174.81248534878,-5.99621242162266,-6901.66281994264,-130.155151242595,196.930246713696,34.0037875783792,0.026099076827798,"sig"
"810","uncon_v_con","lh_G_cuneus",-7174.81248534878,-0.566358340390252,-6901.66281994264,-248.884235982335,196.930246713696,79.4336416596092,0.000205607676836662,"sig"
"111","uncon","lh_G_front_inf-Opercular",-3807.28407100051,NA,-3285.81652795242,NA,751.579440809398,NA,NA,NA
"211","uncon_v_timecon","lh_G_front_inf-Opercular",-3830.71664087493,-23.432569874421,-3433.40803664782,-147.591508695393,768.146870934978,16.5674301255792,0.680857012307109,"nonsig"
"311","timecon_v_con","lh_G_front_inf-Opercular",-3811.56351991342,19.1531209615118,-3538.41385450728,-105.00581785946,827.29999189649,59.1531209615129,9.62265760685954e-06,"sig"
"511","uncon_v_errcon","lh_G_front_inf-Opercular",-3808.31956320823,-1.03549220772038,-3411.01095898112,-125.194431028693,790.543948601679,38.9645077922805,0.00673546124103186,"sig"
