"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-4917.56063986777,NA,-4805.8956893817,NA,23.6735494278862,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-4920.21654200608,-2.65590213831456,-4830.88458161723,-24.9888922355276,29.0176472895715,5.34409786168537,0.253777055213105,"nonsig"
"3","timecon_v_con","lh_bankssts",-4897.06225691373,23.1542850923533,-4830.06328662209,0.821294995139397,60.1719323819247,31.1542850923532,2.84736157752716e-06,"sig"
"5","uncon_v_errcon","lh_bankssts",-4896.11539244996,21.4452474178033,-4806.78343206111,-0.887742679409712,53.118796845691,29.4452474178048,6.3470334133227e-06,"sig"
"6","errcon_v_con","lh_bankssts",-4897.06225691373,-0.946864463764541,-4830.06328662209,-23.2798545609785,60.1719323819247,7.05313553623376,0.133106757751983,"nonsig"
"8","uncon_v_con","lh_bankssts",-4897.06225691373,20.4983829540388,-4830.06328662209,-24.1675972403882,60.1719323819247,36.4983829540385,1.42293792148114e-05,"sig"
"11","uncon","lh_caudalanteriorcingulate",-4819.9779272868,NA,-4708.31297680073,NA,11.2373496350742,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-4827.38512983944,-7.40720255264114,-4738.05316945058,-29.7401926498542,11.8301470824354,0.592797447361177,0.963860681668713,"nonsig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-4824.40119411498,2.98393572445912,-4757.40222382334,-19.3490543727548,22.8140828068936,10.9839357244582,0.0267451491317322,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-4816.99081662834,2.98711065845782,-4727.65885623949,-19.3458794387552,22.2244602935338,10.9871106584595,0.0267092553321651,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-4824.40119411498,-7.41037748663985,-4757.40222382334,-29.7433675838538,22.8140828068936,0.589622513359814,0.964209851399795,"nonsig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-4824.40119411498,-4.42326682818202,-4757.40222382334,-49.089247022609,22.8140828068936,11.5767331718193,0.171111439941238,"nonsig"
"12","uncon","lh_caudalmiddlefrontal",-4480.66020405223,NA,-4368.99525356617,NA,12.2255724579316,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-4474.74745056028,5.91275349194984,-4385.41549017143,-16.4202366052632,26.1383259498837,13.9127534919521,0.00757878007379164,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",-4314.9924637674,159.754986792879,-4247.99349347576,137.421996695665,193.89331274276,167.754986792877,3.17146561791159e-35,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",-4350.84826324198,129.811940810254,-4261.51630285312,107.478950713041,150.037513268187,137.811940810256,8.29911058654352e-29,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",-4314.9924637674,35.8557994745752,-4247.99349347576,13.5228093773612,193.89331274276,43.8557994745733,6.87382416100372e-09,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",-4314.9924637674,165.667740284829,-4247.99349347576,121.001760090402,193.89331274276,181.667740284829,4.59583493028691e-35,"sig"
"13","uncon","lh_cuneus",-7215.5449662199,NA,-7103.88001573383,NA,14.5829060164336,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-7220.59157053989,-5.04660431998946,-7131.25961015104,-27.3795944172025,17.5363016964431,2.95339568000951,0.565654572393351,"nonsig"
"33","timecon_v_con","lh_cuneus",-7215.20113341988,5.39043712000603,-7148.20216312824,-16.9425529772079,30.9267388164469,13.3904371200038,0.00951753501925332,"sig"
"53","uncon_v_errcon","lh_cuneus",-7210.1294014765,5.41556474339541,-7120.79744108765,-16.9174253538176,27.9984707598282,13.4155647433946,0.00941405159241607,"sig"
"63","errcon_v_con","lh_cuneus",-7215.20113341988,-5.07173194337884,-7148.20216312824,-27.4047220405928,30.9267388164469,2.92826805661868,0.569900446020924,"nonsig"
"83","uncon_v_con","lh_cuneus",-7215.20113341988,0.343832800016571,-7148.20216312824,-44.3221473944104,30.9267388164469,16.3438328000133,0.0377150167077191,"sig"
"14","uncon","lh_entorhinal",-896.116346777067,NA,-784.451396291,NA,12.773825143898,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",-895.2314150005,0.884931776567555,-805.899454611646,-21.4480583206459,21.6587569204651,8.8849317765671,0.0640408804933731,"nonsig"
"34","timecon_v_con","lh_entorhinal",-871.898013932771,23.3334010677287,-804.899043641131,1.0004109705153,52.9921579881936,31.3334010677286,2.61750813815328e-06,"sig"
"54","uncon_v_errcon","lh_entorhinal",-873.521830129824,22.5945166472434,-784.18986974097,0.261526550029885,43.3683417911408,30.5945166472429,3.70339189097675e-06,"sig"
"64","errcon_v_con","lh_entorhinal",-871.898013932771,1.62381619705286,-804.899043641131,-20.7091739001605,52.9921579881936,9.62381619705278,0.0472643406481598,"sig"
"84","uncon_v_con","lh_entorhinal",-871.898013932771,24.2183328442962,-804.899043641131,-20.4476473501306,52.9921579881936,40.2183328442957,2.9172107863694e-06,"sig"
"15","uncon","lh_fusiform",-7814.5435864568,NA,-7702.87863597073,NA,11.0589309902752,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",-7819.77806274803,-5.23447629123439,-7730.44610235918,-27.5674663884474,13.8244546990403,2.7655237087651,0.597798465244596,"nonsig"
"35","timecon_v_con","lh_fusiform",-7817.35543252955,2.42263021848612,-7750.35646223791,-19.9103598787278,24.2470849175263,10.422630218486,0.0338795916232722,"sig"
"55","uncon_v_errcon","lh_fusiform",-7813.46722231605,1.07636414075023,-7724.13526192719,-21.2566259564628,20.1352951310242,9.07636414074898,0.0592188266679908,"nonsig"
"65","errcon_v_con","lh_fusiform",-7817.35543252955,-3.8882102134985,-7750.35646223791,-26.2212003107124,24.2470849175263,4.11178978650214,0.391088103354129,"nonsig"
