"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-2703.86702031084,NA,-2646.46711790359,NA,6.5048798472176,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-2707.76737198245,-3.90035167160977,-2659.93411997641,-13.4670020728176,6.60452817560632,0.0996483283887164,0.951396699398949,"nonsig"
"3","timecon_v_con","lh_bankssts",-2694.69049638105,13.0768756013958,-2656.42389477622,3.51022520018796,23.6814037770022,17.0768756013959,0.000195795893562928,"sig"
"5","uncon_v_errcon","lh_bankssts",-2690.91732717267,12.9496931381609,-2643.08407516664,3.38304273695303,23.4545729853803,16.9496931381627,0.000208651206385526,"sig"
"6","errcon_v_con","lh_bankssts",-2694.69049638105,-3.77316920837484,-2656.42389477622,-13.3398196095827,23.6814037770022,0.226830791621978,0.892779726120769,"nonsig"
"8","uncon_v_con","lh_bankssts",-2694.69049638105,9.17652392978607,-2656.42389477622,-9.95677687262969,23.6814037770022,17.1765239297846,0.00178609728606371,"sig"
"11","uncon","lh_caudalanteriorcingulate",-1602.96793669119,NA,-1545.56803428394,NA,0.450889138015681,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-1603.36911528164,-0.401178590449263,-1555.5358632756,-9.96782899165714,4.04971054756746,3.59882140955178,0.165396326774183,"nonsig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-1592.28942830506,11.0796869765804,-1554.02282670023,1.51303657537255,19.1293975241474,15.0796869765799,0.000531480798257628,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-1593.06794969506,9.89998699613557,-1545.23469768902,0.333336594927687,14.3508761341523,13.8999869961366,0.000958641386694572,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-1592.28942830506,0.778521389995603,-1554.02282670023,-8.78812901121228,19.1293975241474,4.77852138999509,0.0916974512084458,"nonsig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-1592.28942830506,10.6785083861312,-1554.02282670023,-8.45479241628459,19.1293975241474,18.6785083861317,0.000908871848096882,"sig"
"12","uncon","lh_caudalmiddlefrontal",-2695.59155991351,NA,-2638.19165750626,NA,6.04598835504537,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-2691.04922532589,4.54233458762064,-2643.21597331985,-5.02431581358724,14.5883229426662,8.54233458762085,0.0139654718263124,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",-2663.68824998013,27.3609753457577,-2625.4216483753,17.7943249445498,45.9492982884227,31.3609753457565,1.54899754738559e-07,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",-2665.0963600011,30.4951999124069,-2617.26310799506,20.928549511199,40.5411882674516,34.4951999124063,3.23193422006553e-08,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",-2663.68824998013,1.40811002097144,-2625.4216483753,-8.15854038023645,45.9492982884227,5.40811002097106,0.0669335454686383,"nonsig"
"82","uncon_v_con","lh_caudalmiddlefrontal",-2663.68824998013,31.9033099333783,-2625.4216483753,12.7700091309625,45.9492982884227,39.9033099333773,4.5323629070395e-08,"sig"
"13","uncon","lh_cuneus",-2843.9377796478,NA,-2786.53787724055,NA,0.794657027366881,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-2847.32535105641,-3.38757140861208,-2799.49209905037,-12.95422180982,1.40708561875339,0.612428591386509,0.736228831882183,"nonsig"
"33","timecon_v_con","lh_cuneus",-2841.35114686869,5.97420418772344,-2803.08454526385,-3.59244621348444,11.3812898064782,9.97420418772483,0.00682541527326571,"sig"
"53","uncon_v_errcon","lh_cuneus",-2837.96658923874,5.971190409055,-2790.1333372327,-3.59545999215288,10.7658474364204,9.97119040905355,0.00683570817193421,"sig"
"63","errcon_v_con","lh_cuneus",-2841.35114686869,-3.38455762994363,-2803.08454526385,-12.9512080311515,11.3812898064782,0.615442370057782,0.735120251970228,"nonsig"
"83","uncon_v_con","lh_cuneus",-2841.35114686869,2.58663277911137,-2803.08454526385,-16.5466680233044,11.3812898064782,10.5866327791113,0.0316243397428891,"sig"
"14","uncon","lh_entorhinal",446.336086148911,NA,503.735988556159,NA,3.00503015159887,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",442.94597532056,-3.3901108283514,490.779227326599,-12.9567612295593,3.61491932324813,0.609889171649263,0.737164222607339,"nonsig"
"34","timecon_v_con","lh_entorhinal",443.77275945273,0.826784132170474,482.039361057562,-8.73986626903746,8.44170345541871,4.82678413217058,0.0895111512862771,"nonsig"
"54","uncon_v_errcon","lh_entorhinal",446.646217652895,0.310131503983428,494.479469658934,-9.25651889722445,7.31516165558266,4.31013150398379,0.115895569997767,"nonsig"
"64","errcon_v_con","lh_entorhinal",443.77275945273,-2.87345820016435,482.039361057562,-12.4401086013723,8.44170345541871,1.12654179983605,0.569343748461721,"nonsig"
"84","uncon_v_con","lh_entorhinal",443.77275945273,-2.56332669618092,482.039361057562,-21.6966274985967,8.44170345541871,5.43667330381984,0.245352280843732,"nonsig"
"15","uncon","lh_fusiform",-3084.65324673824,NA,-3027.25334433099,NA,1.03782882093386,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",-3087.94771766109,-3.29447092285818,-3040.11446565505,-12.8611213240665,1.7433578980748,0.705529077140938,0.702742642685251,"nonsig"
"35","timecon_v_con","lh_fusiform",-3081.4160330762,6.53168458489063,-3043.14943147137,-3.03496581631725,12.2750424829658,10.531684584891,0.00516504072083989,"sig"
"55","uncon_v_errcon","lh_fusiform",-3078.36234718954,6.29089954869914,-3030.5290951835,-3.27575085250919,11.3287283696321,10.2908995486983,0.00582585345519693,"sig"
"65","errcon_v_con","lh_fusiform",-3081.4160330762,-3.0536858866667,-3043.14943147137,-12.6203362878746,12.2750424829658,0.946314113333663,0.623032212130585,"nonsig"
"85","uncon_v_con","lh_fusiform",-3081.4160330762,3.23721366203245,-3043.14943147137,-15.8960871403838,12.2750424829658,11.237213662032,0.0240235199235867,"sig"
"16","uncon","lh_inferiorparietal",-3433.32448307258,NA,-3375.92458066533,NA,7.68391230201662,NA,NA,NA
"26","uncon_v_timecon","lh_inferiorparietal",-3435.65626988955,-2.33178681697609,-3387.82301788351,-11.898437218184,9.35212548503944,1.66821318302282,0.434262281783955,"nonsig"
"36","timecon_v_con","lh_inferiorparietal",-3419.92825376957,15.7280161199819,-3381.66165216474,6.16136571877405,29.0801416050219,19.7280161199825,5.201345826965e-05,"sig"
"56","uncon_v_errcon","lh_inferiorparietal",-3419.16522337277,14.1592596998048,-3371.33197136673,4.59260929859693,25.8431720018222,18.1592596998056,0.000113963783356087,"sig"
"66","errcon_v_con","lh_inferiorparietal",-3419.92825376957,-0.763030396798968,-3381.66165216474,-10.3296807980068,29.0801416050219,3.23696960319973,0.198198782161143,"nonsig"
"86","uncon_v_con","lh_inferiorparietal",-3419.92825376957,13.3962293030058,-3381.66165216474,-5.73707149940992,29.0801416050219,21.3962293030053,0.000264230966661069,"sig"
"17","uncon","lh_inferiortemporal",-3041.82853398842,NA,-2984.42863158117,NA,2.23791654581589,NA,NA,NA
"27","uncon_v_timecon","lh_inferiortemporal",-3042.10075034014,-0.272216351716907,-2994.2674983341,-9.83886675292524,5.96570019409837,3.72778364828248,0.155067957270892,"nonsig"
"37","timecon_v_con","lh_inferiortemporal",-3023.41830828791,18.6824420522289,-2985.15170668308,9.11579165102103,28.6481422463272,22.6824420522288,1.18732685366511e-05,"sig"
"57","uncon_v_errcon","lh_inferiortemporal",-3023.89446132382,17.9340726646064,-2976.06120931778,8.36742226339811,24.1719892104216,21.9340726646057,1.72614246993024e-05,"sig"
"67","errcon_v_con","lh_inferiortemporal",-3023.41830828791,0.476153035905554,-2985.15170668308,-9.09049736530233,28.6481422463272,4.47615303590559,0.10666347246422,"nonsig"
"87","uncon_v_con","lh_inferiortemporal",-3023.41830828791,18.410225700512,-2985.15170668308,-0.723075101904215,28.6481422463272,26.4102257005113,2.61539352663849e-05,"sig"
"18","uncon","lh_isthmuscingulate",-2877.29181828655,NA,-2819.8919158793,NA,4.54977105789551,NA,NA,NA
"28","uncon_v_timecon","lh_isthmuscingulate",-2870.00861843428,7.28319985226062,-2822.17536642825,-2.28345054894771,15.8329709101567,11.2831998522612,0.00354718862404724,"sig"
"38","timecon_v_con","lh_isthmuscingulate",-2866.91145158379,3.09716685049216,-2828.64484997896,-6.46948355071572,22.9301377606493,7.09716685049258,0.0287653590878346,"sig"
"58","uncon_v_errcon","lh_isthmuscingulate",-2874.53421700772,2.7576012788245,-2826.70096500168,-6.80904912238384,11.3073723367218,6.75760127882624,0.0340883144077344,"sig"
"68","errcon_v_con","lh_isthmuscingulate",-2866.91145158379,7.62276542392829,-2828.64484997896,-1.94388497727959,22.9301377606493,11.6227654239275,0.00299328835396594,"sig"
"88","uncon_v_con","lh_isthmuscingulate",-2866.91145158379,10.3803667027528,-2828.64484997896,-8.75293409966343,22.9301377606493,18.3803667027538,0.0010397671230588,"sig"
"19","uncon","lh_lateraloccipital",-3693.33126227874,NA,-3635.9313598715,NA,2.52091834152662,NA,NA,NA
"29","uncon_v_timecon","lh_lateraloccipital",-3696.94115452924,-3.60989225050025,-3649.1079025232,-13.1765426517081,2.91102609102543,0.39010774949881,0.822790329239126,"nonsig"
"39","timecon_v_con","lh_lateraloccipital",-3689.84719555538,7.09395897386048,-3651.58059395055,-2.4726914273474,14.0049850648874,11.093958973862,0.00389921711036015,"sig"
"59","uncon_v_errcon","lh_lateraloccipital",-3686.71315419932,6.61810807942538,-3638.87990219328,-2.9485423217825,13.1390264209519,10.6181080794253,0.00494660379591415,"sig"
"69","errcon_v_con","lh_lateraloccipital",-3689.84719555538,-3.13404135606515,-3651.58059395055,-12.700691757273,14.0049850648874,0.865958643935505,0.648573902898397,"nonsig"
"89","uncon_v_con","lh_lateraloccipital",-3689.84719555538,3.48406672336023,-3651.58059395055,-15.6492340790555,14.0049850648874,11.4840667233608,0.0216300485047295,"sig"
"110","uncon","lh_lateralorbitofrontal",-2686.83685665803,NA,-2629.43695425078,NA,12.1548304245099,NA,NA,NA
"210","uncon_v_timecon","lh_lateralorbitofrontal",-2689.16474198358,-2.32788532555514,-2641.33148997755,-11.894535726763,13.8269450989543,1.67211467444441,0.433415972236143,"nonsig"
"310","timecon_v_con","lh_lateralorbitofrontal",-2680.536742542,8.62799944158087,-2642.27014093717,-0.938650959627012,26.4549445405344,12.6279994415802,0.00181077613673296,"sig"
"510","uncon_v_errcon","lh_lateralorbitofrontal",-2678.49551314256,8.34134351546663,-2630.66226113652,-1.22530688574125,24.4961739399759,12.341343515466,0.00208983166829853,"sig"
"610","errcon_v_con","lh_lateralorbitofrontal",-2680.536742542,-2.04122939944091,-2642.27014093717,-11.6078798006488,26.4549445405344,1.95877060055853,0.37554187340031,"nonsig"
"810","uncon_v_con","lh_lateralorbitofrontal",-2680.536742542,6.30011411602572,-2642.27014093717,-12.83318668639,26.4549445405344,14.3001141160246,0.00639632207363287,"sig"
"111","uncon","lh_lingual",-3057.99343705197,NA,-3000.59353464472,NA,1.86475163125492,NA,NA,NA
"211","uncon_v_timecon","lh_lingual",-3060.92696122306,-2.93352417109008,-3013.09370921702,-12.500174572298,2.93122746016476,1.06647582890984,0.586702199305044,"nonsig"
"311","timecon_v_con","lh_lingual",-3055.33912230873,5.58783891432904,-3017.0725207039,-3.97881148687884,12.5190663744947,9.58783891432995,0.00827994082652899,"sig"
"511","uncon_v_errcon","lh_lingual",-3053.02315783131,4.97027922065672,-3005.18990582527,-4.59637118055116,10.8350308519119,8.97027922065695,0.0112753132606636,"sig"
"611","errcon_v_con","lh_lingual",-3055.33912230873,-2.31596447741777,-3017.0725207039,-11.8826148786256,12.5190663744947,1.68403552258284,0.430840312879631,"nonsig"
"811","uncon_v_con","lh_lingual",-3055.33912230873,2.65431474323896,-3017.0725207039,-16.4789860591768,12.5190663744947,10.6543147432398,0.0307364415016829,"sig"
"112","uncon","lh_medialorbitofrontal",-2337.50941273134,NA,-2280.10951032409,NA,10.2305118144921,NA,NA,NA
"212","uncon_v_timecon","lh_medialorbitofrontal",-2340.37485697688,-2.86544424554859,-2292.54160497085,-12.4320946467565,11.3650675689441,1.13455575445206,0.567066965536248,"nonsig"
"312","timecon_v_con","lh_medialorbitofrontal",-2337.45973431293,2.91512266395284,-2299.1931327081,-6.65152773725504,18.2801902328971,6.915122663953,0.0315065023080014,"sig"
"512","uncon_v_errcon","lh_medialorbitofrontal",-2333.67581660699,3.83359612434379,-2285.84256460095,-5.7330542768641,18.0641079388366,7.83359612434452,0.0199047265142967,"sig"
"612","errcon_v_con","lh_medialorbitofrontal",-2337.45973431293,-3.78391770593953,-2299.1931327081,-13.3505681071474,18.2801902328971,0.216082294060541,0.897590662480419,"nonsig"
"812","uncon_v_con","lh_medialorbitofrontal",-2337.45973431293,0.0496784184042554,-2299.1931327081,-19.0836223840115,18.2801902328971,8.04967841840507,0.0897752679726698,"nonsig"
"113","uncon","lh_middletemporal",-3126.50222305957,NA,-3069.10232065232,NA,0.284626400326902,NA,NA,NA
"213","uncon_v_timecon","lh_middletemporal",-3128.51813005044,-2.01590699087274,-3080.6848780444,-11.5825573920811,2.26871940945611,1.98409300912921,0.37081703521244,"nonsig"
"313","timecon_v_con","lh_middletemporal",-3121.21961775999,7.29851229045107,-3082.95301615516,-2.26813811075681,13.5672316999047,11.2985122904486,0.00352013426996118,"sig"
"513","uncon_v_errcon","lh_middletemporal",-3118.44475416794,8.05746889163265,-3070.6115021619,-1.50918150957568,12.3420952919599,12.057468891633,0.00240854018875292,"sig"
"613","errcon_v_con","lh_middletemporal",-3121.21961775999,-2.77486359205432,-3082.95301615516,-12.3415139932622,13.5672316999047,1.22513640794478,0.541957223563114,"nonsig"
