"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-16025.2792478405,NA,-15692.7967091367,NA,20.6064551039351,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-16029.8332875021,-4.55403966160338,-15774.0774884992,-81.2807793624652,40.0524154423299,19.4459603383948,0.078319526730706,"nonsig"
"3","timecon_v_con","lh_bankssts",-15733.0720500652,296.761237436851,-15554.0429907632,220.034497735991,360.813652879177,320.761237436847,2.03154637230342e-61,"sig"
"5","uncon_v_errcon","lh_bankssts",-15736.9643422639,288.314905576575,-15481.208543261,211.588165875713,332.921360680507,312.314905576572,1.2143718118107e-59,"sig"
"6","errcon_v_con","lh_bankssts",-15733.0720500652,3.89229219867229,-15554.0429907632,-72.8344475021877,360.813652879177,27.8922921986698,0.00573626455905242,"sig"
"8","uncon_v_con","lh_bankssts",-15733.0720500652,292.207197775248,-15554.0429907632,138.753718373526,360.813652879177,340.207197775242,1.23164559994546e-57,"sig"
"11","uncon","lh_caudalanteriorcingulate",-10878.0321563104,NA,-10545.5496176067,NA,27.5677651414341,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-10889.6555364807,-11.6233801702692,-10633.8997374778,-88.350119871131,39.9443849711608,12.3766198297268,0.415926294940449,"nonsig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-10797.4953090422,92.1602274385041,-10618.4662497402,15.4334877376441,156.10461240967,116.160227438509,3.59284554842219e-19,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-10784.1324115442,93.8997447661932,-10528.3766125413,17.1730050653314,145.467509907623,117.899744766189,1.61958680771188e-19,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-10797.4953090422,-13.3628974979583,-10618.4662497402,-90.0896371988183,156.10461240967,10.6371025020472,0.560248032814246,"nonsig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-10797.4953090422,80.5368472682349,-10618.4662497402,-72.9166321334869,156.10461240967,128.536847268236,2.85308618955e-16,"sig"
"12","uncon","lh_caudalmiddlefrontal",-18878.3772160703,NA,-18545.8946773666,NA,26.588696173681,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-18887.6039194872,-9.22670341692719,-18631.8481204844,-85.953443117789,41.3619927567506,14.7732965830696,0.25406899875608,"nonsig"
