"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-47096.6131381946,NA,-46459.5133582308,NA,28.050791319944,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-47077.5602047688,19.0529334257735,-46592.1508486059,-132.63749037512,87.1037247457248,59.0529334257808,9.97035420505086e-06,"sig"
"3","timecon_v_con","lh_bankssts",-44995.5926350017,2081.96756976712,-44661.8737026397,1930.27714596623,2209.07129451284,2121.96756976712,0,"sig"
"5","uncon_v_errcon","lh_bankssts",-45038.9180317716,2057.69510642298,-44553.5086756087,1906.00468262209,2125.74589774292,2097.69510642297,0,"sig"
"6","errcon_v_con","lh_bankssts",-44995.5926350017,43.3253967699129,-44661.8737026397,-108.365027030981,2209.07129451284,83.3253967699252,1.06263017845038e-09,"sig"
"8","uncon_v_con","lh_bankssts",-44995.5926350017,2101.02050319289,-44661.8737026397,1797.63965559111,2209.07129451284,2181.0205031929,0,"sig"
"11","uncon","lh_caudalanteriorcingulate",-34816.9549055634,NA,-34179.8551255997,NA,15.8329099075587,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-34786.4884188152,30.4664867481915,-34301.0790626524,-121.223937052702,86.2993966557471,70.4664867481884,1.52811668080498e-07,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-34227.8279179529,558.660500862308,-33894.108985591,406.970077061414,684.959897518055,598.660500862307,5.51224735079349e-114,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-34260.9931033059,555.961802257538,-33775.583747143,404.271378456644,611.794712165093,595.961802257534,2.04053746702246e-113,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-34227.8279179529,33.165185352962,-33894.108985591,-118.525238447932,684.959897518055,73.1651853529618,5.49595100880215e-08,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-34227.8279179529,589.1269876105,-33894.108985591,285.746140008712,684.959897518055,669.126987610496,4.03857477080115e-115,"sig"
"12","uncon","lh_caudalmiddlefrontal",-52506.0107796065,NA,-51868.9109996428,NA,16.8838747907415,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-52465.7802443796,40.2305352269177,-51980.3708882168,-111.459888573976,97.1144100176604,80.2305352269189,3.58752023233186e-09,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",-46981.3398148009,5484.44042957877,-46647.6208824389,5332.75000577787,5621.55483959642,5524.44042957876,0,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",-47267.496038416,5238.51474119055,-46782.0866822531,5086.82431738966,5295.39861598129,5278.51474119055,0,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",-46981.3398148009,286.156223615137,-46647.6208824389,134.465799814243,5621.55483959642,326.156223615122,3.56751894040266e-57,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",-46981.3398148009,5524.67096480569,-46647.6208824389,5221.2901172039,5621.55483959642,5604.67096480568,0,"sig"
"13","uncon","lh_cuneus",-55641.3011560592,NA,-55004.2013760954,NA,19.8056582928126,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-55629.0733567935,12.2277992657037,-55143.6640006306,-139.46262453519,72.0334575585207,52.2277992657081,0.000105468309695846,"sig"
"33","timecon_v_con","lh_cuneus",-55011.0831539865,617.990202807036,-54677.3642216245,466.299779006142,730.023660365563,657.990202807043,1.68342166742123e-126,"sig"
"53","uncon_v_errcon","lh_cuneus",-55034.1227323283,607.178423730926,-54548.7133761654,455.487999930032,666.984082023747,647.178423730934,3.2313584054551e-124,"sig"
"63","errcon_v_con","lh_cuneus",-55011.0831539865,23.0395783418135,-54677.3642216245,-128.65084545908,730.023660365563,63.0395783418167,2.38658367549485e-06,"sig"
"83","uncon_v_con","lh_cuneus",-55011.0831539865,630.218002072739,-54677.3642216245,326.837154470952,730.023660365563,710.218002072751,1.49178639356131e-123,"sig"
"14","uncon","lh_entorhinal",-4207.76175023178,NA,-3570.66197026804,NA,19.2637530913559,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",-4144.6627310362,63.0990191955807,-3659.25337487335,-88.5914046053108,122.362772286936,103.09901919558,3.49847418325393e-13,"sig"
"34","timecon_v_con","lh_entorhinal",-3280.79783033634,863.864900699859,-2947.07889797438,712.174476898967,1026.22767298679,903.864900699859,1.18262081934795e-178,"sig"
"54","uncon_v_errcon","lh_entorhinal",-3430.74729079232,777.014459439459,-2945.33793462947,625.324035638568,836.278212530816,817.01445943946,3.45342274757038e-160,"sig"
"64","errcon_v_con","lh_entorhinal",-3280.79783033634,149.949460455981,-2947.07889797438,-1.74096334491105,1026.22767298679,189.949460455979,1.0825055915478e-29,"sig"
"84","uncon_v_con","lh_entorhinal",-3280.79783033634,926.96391989544,-2947.07889797438,623.583072293657,1026.22767298679,1006.96391989544,4.07224693149714e-185,"sig"
"15","uncon","lh_fusiform",-60041.3887421475,NA,-59404.2889621837,NA,14.0236951527315,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",-59959.4480783687,81.9406637788197,-59474.0387222058,-69.749760022074,135.964358931559,121.940663778827,1.24510031186796e-16,"sig"
"35","timecon_v_con","lh_fusiform",-58697.1505441092,1262.29753425952,-58363.4316117472,1110.60711045862,1438.26189319108,1302.29753425952,9.52966488289823e-264,"sig"
"55","uncon_v_errcon","lh_fusiform",-58848.9445318699,1192.44421027764,-58363.535175707,1040.75378647674,1246.46790543038,1232.44421027765,8.55838211599684e-249,"sig"
"65","errcon_v_con","lh_fusiform",-58697.1505441092,151.793987760699,-58363.4316117472,0.103563959804887,1438.26189319108,191.793987760698,4.69074888338177e-30,"sig"
"85","uncon_v_con","lh_fusiform",-58697.1505441092,1344.23819803834,-58363.4316117472,1040.85735043655,1438.26189319108,1424.23819803835,7.17361227173789e-273,"sig"
"16","uncon","lh_inferiorparietal",-59383.912799958,NA,-58746.8130199942,NA,27.8871834712185,NA,NA,NA
"26","uncon_v_timecon","lh_inferiorparietal",-59352.4517956433,31.461004314704,-58867.0424394804,-120.22941948619,99.3481877859336,71.4610043147151,1.04975750276907e-07,"sig"
"36","timecon_v_con","lh_inferiorparietal",-54059.2520685181,5293.19972712517,-53725.5331361562,5141.50930332428,5432.5479149111,5333.19972712517,0,"sig"
"56","uncon_v_errcon","lh_inferiorparietal",-54326.358832708,5057.55396725002,-53840.9494765451,4905.86354344913,5125.44115072125,5097.55396725003,0,"sig"
"66","errcon_v_con","lh_inferiorparietal",-54059.2520685181,267.106764189855,-53725.5331361562,115.416340388962,5432.5479149111,307.106764189856,2.85253987983606e-53,"sig"
"86","uncon_v_con","lh_inferiorparietal",-54059.2520685181,5324.66073143988,-53725.5331361562,5021.27988383809,5432.5479149111,5404.66073143988,0,"sig"
"17","uncon","lh_inferiortemporal",-50411.3602760332,NA,-49774.2604960695,NA,24.7654894447906,NA,NA,NA
"27","uncon_v_timecon","lh_inferiortemporal",-50352.7819085462,58.5783674870618,-49867.3725523833,-93.112056313832,123.343856931846,98.5783674870557,2.26086866344861e-12,"sig"
"37","timecon_v_con","lh_inferiortemporal",-48050.864648098,2301.91726044813,-47717.1457157361,2150.22683664723,2465.26111737998,2341.91726044813,0,"sig"
"57","uncon_v_errcon","lh_inferiortemporal",-48226.1922687988,2185.16800723445,-47740.7829126359,2033.47758343355,2249.93349667923,2225.16800723444,0,"sig"
"67","errcon_v_con","lh_inferiortemporal",-48050.864648098,175.327620700744,-47717.1457157361,23.6371968998501,2465.26111737998,215.32762070075,1.01996447531399e-34,"sig"
"87","uncon_v_con","lh_inferiortemporal",-48050.864648098,2360.49562793519,-47717.1457157361,2057.1147803334,2465.26111737998,2440.49562793519,0,"sig"
"18","uncon","lh_isthmuscingulate",-53969.5929803188,NA,-53332.493200355,NA,23.3134969303393,NA,NA,NA
"28","uncon_v_timecon","lh_isthmuscingulate",-53950.3798195108,19.2131608079726,-53464.9704633479,-132.477262992921,82.5266577383093,59.21316080797,9.42002438691251e-06,"sig"
"38","timecon_v_con","lh_isthmuscingulate",-53588.6788808265,361.70093868432,-53254.9599484645,210.010514883426,484.227596422632,401.700938684323,9.07083037385132e-73,"sig"
"58","uncon_v_errcon","lh_isthmuscingulate",-53606.3332490785,363.259731240236,-53120.9238929157,211.569307439342,426.573228170582,403.259731240242,4.30744487595517e-73,"sig"
"68","errcon_v_con","lh_isthmuscingulate",-53588.6788808265,17.6543682520569,-53254.9599484645,-134.036055548837,484.227596422632,57.6543682520505,1.63240551754721e-05,"sig"
"88","uncon_v_con","lh_isthmuscingulate",-53588.6788808265,380.914099492293,-53254.9599484645,77.5332518905052,484.227596422632,460.914099492293,5.68951852481529e-73,"sig"
"19","uncon","lh_lateraloccipital",-63253.1478635406,NA,-62616.0480835769,NA,30.1780111362367,NA,NA,NA
"29","uncon_v_timecon","lh_lateraloccipital",-63134.6403876965,118.507475844141,-62649.2310315336,-33.1829479567532,188.685486980374,158.507475844137,1.45725976125809e-23,"sig"
"39","timecon_v_con","lh_lateraloccipital",-61048.3085248324,2086.33186286411,-60714.5895924704,1934.64143906321,2315.01734984448,2126.33186286411,0,"sig"
"59","uncon_v_errcon","lh_lateraloccipital",-61187.511791027,2065.63607251361,-60702.1024348641,1913.94564871272,2135.81408364986,2105.63607251362,0,"sig"
"69","errcon_v_con","lh_lateraloccipital",-61048.3085248324,139.203266194636,-60714.5895924704,-12.4871576062578,2315.01734984448,179.203266194628,1.38986369504198e-27,"sig"
"89","uncon_v_con","lh_lateraloccipital",-61048.3085248324,2204.83933870825,-60714.5895924704,1901.45849110646,2315.01734984448,2284.83933870825,0,"sig"
"110","uncon","lh_lateralorbitofrontal",-53705.551677703,NA,-53068.4518977393,NA,19.8463234153111,NA,NA,NA
"210","uncon_v_timecon","lh_lateralorbitofrontal",-53657.6520703823,47.8996073207454,-53172.2427142194,-103.790816480148,107.745930736054,87.8996073207425,1.72274434871482e-10,"sig"
"310","timecon_v_con","lh_lateralorbitofrontal",-52886.0722158808,771.579854501433,-52552.3532835189,619.889430700539,919.325785237497,811.579854501443,4.9242266975994e-159,"sig"
"510","uncon_v_errcon","lh_lateralorbitofrontal",-52989.6606852488,715.89099245418,-52504.251329086,564.200568653287,775.737315869491,755.890992454179,3.22028620290877e-147,"sig"
"610","errcon_v_con","lh_lateralorbitofrontal",-52886.0722158808,103.588469367998,-52552.3532835189,-48.1019544328956,919.325785237497,143.588469368006,1.05297208191915e-20,"sig"
"810","uncon_v_con","lh_lateralorbitofrontal",-52886.0722158808,819.479461822179,-52552.3532835189,516.098614220391,919.325785237497,899.479461822185,1.04806417295645e-162,"sig"
"111","uncon","lh_lingual",-61088.8021327541,NA,-60451.7023527904,NA,22.1613188956927,NA,NA,NA
"211","uncon_v_timecon","lh_lingual",-61001.9495334486,86.8525993054936,-60516.5401772858,-64.8378244954001,149.013918201191,126.852599305499,1.51413704860891e-17,"sig"
"311","timecon_v_con","lh_lingual",-60058.5336920457,943.41584140293,-59724.8147596837,791.725417602036,1132.42975960412,983.415841402929,1.34143987257503e-195,"sig"
"511","uncon_v_errcon","lh_lingual",-60172.3236593108,916.478473443327,-59686.9143031479,764.788049642433,978.639792339028,956.478473443335,7.3895072655103e-190,"sig"
"611","errcon_v_con","lh_lingual",-60058.5336920457,113.789967265096,-59724.8147596837,-37.9004565357973,1132.42975960412,153.789967265092,1.17894085530354e-22,"sig"
"811","uncon_v_con","lh_lingual",-60058.5336920457,1030.26844070842,-59724.8147596837,726.887593106636,1132.42975960412,1110.26844070843,9.590353815451e-207,"sig"
"112","uncon","lh_medialorbitofrontal",-46901.0700076445,NA,-46263.9702276808,NA,19.4062879370562,NA,NA,NA
"212","uncon_v_timecon","lh_medialorbitofrontal",-46906.614664771,-5.54465712653473,-46421.2053086082,-157.235080927428,53.861630810513,34.4553428734568,0.0232045089283075,"sig"
"312","timecon_v_con","lh_medialorbitofrontal",-46523.1641639278,383.450500843253,-46189.4452315658,231.76007704236,477.312131653771,423.450500843258,2.75330043974207e-77,"sig"
"512","uncon_v_errcon","lh_medialorbitofrontal",-46523.3137572723,377.756250372244,-46037.9044011094,226.06582657135,437.162538309294,417.756250372238,4.20423836663429e-76,"sig"
"612","errcon_v_con","lh_medialorbitofrontal",-46523.1641639278,0.149593344474852,-46189.4452315658,-151.540830456419,477.312131653771,40.1495933444772,0.00478231000246133,"sig"
"812","uncon_v_con","lh_medialorbitofrontal",-46523.1641639278,377.905843716719,-46189.4452315658,74.5249961149311,477.312131653771,457.905843716715,2.26220230639117e-72,"sig"
"113","uncon","lh_middletemporal",-46627.8011546214,NA,-45990.7013746576,NA,31.5661480384995,NA,NA,NA
