"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",227291.056870619,NA,227869.932287415,NA,16477.2142661372,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",227421.228401384,130.171530765074,227862.276337991,-7.65594942463213,16647.3857969023,170.171530765085,8.02728235876711e-26,"sig"
"3","timecon_v_con","lh_bankssts",227435.6321409,14.4037395158666,227738.852597317,-123.42374067381,16701.7895364181,54.4037395158484,5.03883236456034e-05,"sig"
"5","uncon_v_errcon","lh_bankssts",227097.765027973,-193.291842645791,227538.81296458,-331.119322835497,16323.9224234914,-153.291842645773,1,"nonsig"
"6","errcon_v_con","lh_bankssts",227435.6321409,337.867112926731,227738.852597317,200.039632737054,16701.7895364181,377.867112926706,7.85770022670736e-68,"sig"
"8","uncon_v_con","lh_bankssts",227435.6321409,144.57527028094,227738.852597317,-131.079690098442,16701.7895364181,224.575270280933,1.53072069540525e-27,"sig"
"11","uncon","lh_caudalanteriorcingulate",212268.280945523,NA,212847.156362319,NA,7265.63292436723,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",212836.517819108,568.236873585382,213277.565755715,430.409393395676,7873.86979795263,608.236873585395,5.2925456231536e-116,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",225948.819525712,13112.3017066044,226252.03998213,12974.4742264147,21026.171504557,13152.3017066044,0,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",212662.703956804,394.423011281702,213103.751893411,256.595531091996,7700.05593564895,434.423011281713,1.43454090036546e-79,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",225948.819525712,13286.115568908,226252.03998213,13148.2880887184,21026.171504557,13326.1155689081,0,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",225948.819525712,13680.5385801898,226252.03998213,13404.8836198104,21026.171504557,13760.5385801898,0,"sig"
"12","uncon","lh_caudalmiddlefrontal",252831.904335018,NA,253410.779751815,NA,17760.7644758061,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",241180.242877817,-11651.6614572012,241621.290814424,-11789.4889373909,6149.10301860491,-11611.6614572012,1,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",252881.277279775,11701.0344019587,253184.497736193,11563.206921769,17890.1374205636,11741.0344019587,0,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",241468.620786032,-11363.283548986,241909.668722639,-11501.1110291757,6437.48092682012,-11323.2835489859,1,"nonsig"
"62","errcon_v_con","lh_caudalmiddlefrontal",252881.277279775,11412.6564937435,253184.497736193,11274.8290135538,17890.1374205636,11452.6564937435,0,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",252881.277279775,49.372944757517,253184.497736193,-226.282015621866,17890.1374205636,129.372944757517,2.36969878879249e-11,"sig"
"13","uncon","lh_cuneus",215791.501215172,NA,216370.376631968,NA,5996.33162649901,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",229119.31093851,13327.8097233383,229560.358875117,13189.9822431486,19364.1413498373,13367.8097233383,0,"sig"
"33","timecon_v_con","lh_cuneus",229154.40851814,35.0975796304992,229457.628974558,-102.729900559178,19439.2389294678,75.097579630492,2.6241384339812e-08,"sig"
"53","uncon_v_errcon","lh_cuneus",228785.342566992,12993.8413518204,229226.390503599,12856.0138716307,19030.1729783194,13033.8413518204,0,"sig"
"63","errcon_v_con","lh_cuneus",229154.40851814,369.065951148397,229457.628974558,231.23847095872,19439.2389294678,409.065951148379,2.6853847628686e-74,"sig"
"83","uncon_v_con","lh_cuneus",229154.40851814,13362.9073029688,229457.628974558,13087.2523425895,19439.2389294678,13442.9073029688,0,"sig"
"14","uncon","lh_entorhinal",216113.525721842,NA,216692.401138639,NA,8642.55999310814,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",208545.540416391,-7567.98530545094,208986.588352998,-7705.81278564065,1114.5746876572,-7527.98530545094,1,"nonsig"
"34","timecon_v_con","lh_entorhinal",216303.64965772,7758.10924132823,216606.870114137,7620.28176113855,8912.68392898543,7798.10924132823,0,"sig"
"54","uncon_v_errcon","lh_entorhinal",216087.563734837,-25.9619870057213,216528.611671444,-163.789467195427,8656.59800610245,14.0380129943096,0.828563368401329,"nonsig"
"64","errcon_v_con","lh_entorhinal",216303.64965772,216.085922883009,216606.870114137,78.2584426933317,8912.68392898543,256.085922882981,6.75255083674562e-43,"sig"
"84","uncon_v_con","lh_entorhinal",216303.64965772,190.123935877287,216606.870114137,-85.5310245020955,8912.68392898543,270.123935877291,6.36222852642261e-36,"sig"
"15","uncon","lh_fusiform",253705.672748179,NA,254284.548164976,NA,18267.6248086912,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",242231.649967812,-11474.0227803676,242672.697904419,-11611.8502605573,6833.60202832361,-11434.0227803676,1,"nonsig"
"35","timecon_v_con","lh_fusiform",253800.343025829,11568.6930580169,254103.563482246,11430.8655778273,18442.2950863406,11608.693058017,0,"sig"
"55","uncon_v_errcon","lh_fusiform",253351.92351704,-353.749231139402,253792.971453647,-491.576711329108,17953.8755775518,-313.749231139431,1,"nonsig"
"65","errcon_v_con","lh_fusiform",253800.343025829,448.419508788735,254103.563482246,310.592028599058,18442.2950863406,488.419508788767,7.71601240414091e-91,"sig"
"85","uncon_v_con","lh_fusiform",253800.343025829,94.670277649333,254103.563482246,-180.98468273005,18442.2950863406,174.670277649337,9.4009384692492e-19,"sig"
"16","uncon","lh_inferiorparietal",253606.640356417,NA,254185.515773214,NA,7495.15276542397,NA,NA,NA
"26","uncon_v_timecon","lh_inferiorparietal",266800.339150645,13193.6987942281,267241.387087253,13055.8713140385,20728.8515596521,13233.6987942281,0,"sig"
"36","timecon_v_con","lh_inferiorparietal",254888.866884781,-11911.472265864,255192.087341199,-12049.2997460537,8857.37929378806,-11871.4722658641,1,"nonsig"
"56","uncon_v_errcon","lh_inferiorparietal",266561.043291162,12954.4029347445,267002.091227769,12816.5754545548,20489.5557001684,12994.4029347445,0,"sig"
"66","errcon_v_con","lh_inferiorparietal",254888.866884781,-11672.1764063804,255192.087341199,-11810.0038865701,8857.37929378806,-11632.1764063804,1,"nonsig"
"86","uncon_v_con","lh_inferiorparietal",254888.866884781,1282.22652836412,255192.087341199,1006.57156798473,8857.37929378806,1362.22652836409,9.00759601492018e-260,"sig"
"17","uncon","lh_inferiortemporal",262468.945800813,NA,263047.82121761,NA,19043.8791142112,NA,NA,NA
"27","uncon_v_timecon","lh_inferiortemporal",262550.625202586,81.6794017725624,262991.673139193,-56.1480784171144,19165.5585159837,121.679401772533,1.39222033074336e-16,"sig"
"37","timecon_v_con","lh_inferiortemporal",250120.62311376,-12430.0020888259,250423.843570177,-12567.8295690156,6775.55642715785,-12390.0020888258,1,"nonsig"
"57","uncon_v_errcon","lh_inferiortemporal",250162.146231464,-12306.7995693495,250603.194168071,-12444.6270495392,6777.07954486164,-12266.7995693495,1,"nonsig"
"67","errcon_v_con","lh_inferiortemporal",250120.62311376,-41.5231177037931,250423.843570177,-179.35059789347,6775.55642715785,-1.52311770379401,1,"nonsig"
"87","uncon_v_con","lh_inferiortemporal",250120.62311376,-12348.3226870533,250423.843570177,-12623.9776474327,6775.55642715785,-12268.3226870533,1,"nonsig"
"18","uncon","lh_isthmuscingulate",222927.831820074,NA,223506.70723687,NA,18385.5327201587,NA,NA,NA
"28","uncon_v_timecon","lh_isthmuscingulate",223098.92654178,171.094721706351,223539.974478387,33.2672415166453,18596.627441865,211.094721706333,7.09453591591731e-34,"sig"
"38","timecon_v_con","lh_isthmuscingulate",223095.508910896,-3.41763088433072,223398.729367313,-141.245111074008,18633.2098109807,36.5823691156729,0.0131260131180449,"sig"
"58","uncon_v_errcon","lh_isthmuscingulate",222877.616931724,-50.2148883491463,223318.664868331,-188.042368538852,18375.3178318095,-10.2148883491536,1,"nonsig"
"68","errcon_v_con","lh_isthmuscingulate",223095.508910896,217.891979171167,223398.729367313,80.06449898149,18633.2098109807,257.89197917116,2.91427835558936e-43,"sig"
"88","uncon_v_con","lh_isthmuscingulate",223095.508910896,167.677090822021,223398.729367313,-107.977869557362,18633.2098109807,247.677090822006,9.29759243739553e-32,"sig"
"19","uncon","lh_lateraloccipital",261872.475217874,NA,262451.35063467,NA,19966.234652367,NA,NA,NA
"29","uncon_v_timecon","lh_lateraloccipital",261958.254052033,85.778834159486,262399.30198864,-52.0486460301909,20092.0134865265,125.778834159471,2.40266306687135e-17,"sig"
"39","timecon_v_con","lh_lateraloccipital",261964.654086561,6.40003452746896,262267.874542978,-131.427445662208,20138.413521054,46.4000345274653,0.000710110051668607,"sig"
