"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",3576.82786871146,NA,3688.49281919753,NA,8.58865552291806,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",3571.79525907323,-5.03260963823141,3661.12721946209,-27.3655997354444,11.5560458846844,2.96739036176632,0.563297293761032,"nonsig"
"3","timecon_v_con","lh_bankssts",3584.8174340463,13.0221749730667,3651.81640433794,-9.31081512414676,32.5782208577525,21.0221749730681,0.00031347943868462,"sig"
"5","uncon_v_errcon","lh_bankssts",3590.20390278817,13.3760340767117,3679.53586317703,-8.95695602050137,29.96468959963,21.376034076712,0.000266682190537358,"sig"
"6","errcon_v_con","lh_bankssts",3584.8174340463,-5.38646874187634,3651.81640433794,-27.7194588390898,32.5782208577525,2.61353125812247,0.624428001279515,"nonsig"
"8","uncon_v_con","lh_bankssts",3584.8174340463,7.98956533483533,3651.81640433794,-36.6764148595912,32.5782208577525,23.9895653348344,0.00230104153638027,"sig"
"11","uncon","lh_caudalanteriorcingulate",817.754779990806,NA,929.419730476873,NA,8.12366015969586,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",828.030293191609,10.2755132008027,917.362253580462,-12.0574768964108,26.3991733604937,18.2755132007979,0.00109009561186808,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",824.851804424157,-3.17848876745188,891.850774715797,-25.5114788646653,31.2206845930436,4.82151123254987,0.306106633826579,"nonsig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",814.510235919756,-3.24454407105009,903.84219630861,-25.5775341682636,12.8791160886437,4.75545592894785,0.313321743823875,"nonsig"
"61","errcon_v_con","lh_caudalanteriorcingulate",824.851804424157,10.3415685044009,891.850774715797,-11.9914215928125,31.2206845930436,18.3415685043999,0.00105811640196674,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",824.851804424157,7.09702443335084,891.850774715797,-37.568955761076,31.2206845930436,23.0970244333478,0.00324188612195629,"sig"
"12","uncon","lh_caudalmiddlefrontal",10218.1207010005,NA,10329.7856514865,NA,3.82124513919326,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",10213.918205391,-4.20249560949014,10303.2501657798,-26.5354857067032,7.61874952970071,3.79750439050745,0.434103702159781,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",10315.0397291842,101.121523793259,10382.0386994759,78.7885336960462,116.740273322961,109.12152379326,1.12028977561837e-22,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",10319.7914768608,101.670775860324,10409.1234372497,79.3377857631112,113.492020999519,109.670775860326,8.55466774757648e-23,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",10315.0397291842,-4.75174767655517,10382.0386994759,-27.0847377737682,116.740273322961,3.24825232344172,0.51717280644946,"nonsig"
"82","uncon_v_con","lh_caudalmiddlefrontal",10315.0397291842,96.9190281837691,10382.0386994759,52.253047989343,116.740273322961,112.919028183768,9.55604515508215e-21,"sig"
"13","uncon","lh_cuneus",3042.27011859331,NA,3153.93506907937,NA,19.6378656543891,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",3050.03453629489,7.76441770158863,3139.36649668375,-14.5685723956244,35.4022833559782,15.764417701589,0.00335213246058074,"sig"
"33","timecon_v_con","lh_cuneus",3060.3671191008,10.3325828059087,3127.36608939244,-12.0004072913048,53.7348661618909,18.3325828059127,0.00106241153705216,"sig"
"53","uncon_v_errcon","lh_cuneus",3052.70150546827,10.4313868749609,3142.03346585712,-11.9016032222521,38.069252529356,18.4313868749669,0.0010161154267422,"sig"
"63","errcon_v_con","lh_cuneus",3060.3671191008,7.66561363253641,3127.36608939244,-14.6673764646771,53.7348661618909,15.6656136325349,0.00350230491733069,"sig"
