"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",1300.3445482042,NA,1357.74445061145,NA,6.75992999788176,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",1298.98502072558,-1.35952747861757,1346.81827273162,-10.9261778798254,9.40040251926206,2.6404725213803,0.267072195850085,"nonsig"
"3","timecon_v_con","lh_bankssts",1316.17546625459,17.1904455290139,1354.44206785943,7.62379512780603,30.5908480482772,21.1904455290151,2.50353241471376e-05,"sig"
"5","uncon_v_errcon","lh_bankssts",1317.79650436439,17.4519561601878,1365.62975637043,7.88530575897994,28.2118861580681,21.4519561601863,2.19668056069482e-05,"sig"
"6","errcon_v_con","lh_bankssts",1316.17546625459,-1.62103810979147,1354.44206785943,-11.1876885109994,30.5908480482772,2.37896189020905,0.304379212591557,"nonsig"
"8","uncon_v_con","lh_bankssts",1316.17546625459,15.8309180503963,1354.44206785943,-3.30238275201941,30.5908480482772,23.8309180503954,8.63558457570346e-05,"sig"
"11","uncon","lh_caudalanteriorcingulate",845.643337034478,NA,903.043239441726,NA,11.1799679231589,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",842.893749485678,-2.74958754880072,890.727001491717,-12.3162379500086,12.4303803743655,1.25041245120662,0.535151055289251,"nonsig"
"31","timecon_v_con","lh_caudalanteriorcingulate",847.993686154052,5.09993666837408,886.260287758883,-4.46671373283391,21.5303170427366,9.09993666837109,0.0105675390082841,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",850.862349660521,5.21901262604297,898.695601666561,-4.34763777516491,20.3989805492062,9.21901262604729,0.00995673260390025,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",847.993686154052,-2.8686635064696,886.260287758883,-12.4353139076776,21.5303170427366,1.13133649353042,0.567980468801409,"nonsig"
"81","uncon_v_con","lh_caudalanteriorcingulate",847.993686154052,2.35034911957337,886.260287758883,-16.7829516828425,21.5303170427366,10.3503491195777,0.0349220302773715,"sig"
"12","uncon","lh_caudalmiddlefrontal",4479.63366424176,NA,4537.033566649,NA,2.04915836588935,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",4476.97865808484,-2.65500615691053,4524.81191009088,-12.2216565581184,3.39415220897933,1.34499384308999,0.51043247544063,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",4474.98651242261,-1.992145662236,4513.25311402744,-11.5587960634439,5.40200654674184,2.00785433776251,0.366437549607011,"nonsig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",4477.74904630535,-1.8846179364009,4525.58229831139,-11.4512683376088,4.16454042948597,2.11538206359662,0.347256690026463,"nonsig"
"62","errcon_v_con","lh_caudalmiddlefrontal",4474.98651242261,-2.76253388274563,4513.25311402744,-12.3291842839535,5.40200654674184,1.23746611725587,0.538626413579107,"nonsig"
"82","uncon_v_con","lh_caudalmiddlefrontal",4474.98651242261,-4.64715181914653,4513.25311402744,-23.7804526215623,5.40200654674184,3.3528481808525,0.500602712508559,"nonsig"
"13","uncon","lh_cuneus",1525.47698099382,NA,1582.87688340107,NA,21.284026801727,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",1521.77291069727,-3.70407029654825,1569.60616270331,-13.2707206977561,21.5799565051809,0.295929703453936,0.862461428439075,"nonsig"
"33","timecon_v_con","lh_cuneus",1527.47112776897,5.69821707169467,1565.7377293738,-3.86843332951321,31.2781735768776,9.69821707169671,0.00783535937873942,"sig"
"53","uncon_v_errcon","lh_cuneus",1531.11278001689,5.63579902306515,1578.94603202293,-3.93085137814273,30.9198258247953,9.63579902306829,0.00808374914044945,"sig"
"63","errcon_v_con","lh_cuneus",1527.47112776897,-3.64165224791873,1565.7377293738,-13.2083026491266,31.2781735768776,0.358347752082356,0.835960533251454,"nonsig"
"83","uncon_v_con","lh_cuneus",1527.47112776897,1.99414677514642,1565.7377293738,-17.1391540272693,31.2781735768776,9.99414677515065,0.0405263942978689,"sig"
"14","uncon","lh_entorhinal",1134.91187668939,NA,1192.31177909664,NA,10.0365967624183,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",1132.98215127843,-1.92972541095878,1180.81540328447,-11.4963758121667,12.1068713514594,2.07027458904115,0.355177613637104,"nonsig"
"34","timecon_v_con","lh_entorhinal",1130.88598127238,-2.09617000605112,1169.15258287721,-11.662820407259,14.0107013454083,1.90382999394886,0.386001124243186,"nonsig"
"54","uncon_v_errcon","lh_entorhinal",1132.40913881435,-2.50273787503784,1180.24239082039,-12.0693882762457,11.5338588873802,1.49726212496191,0.473013635844921,"nonsig"
"64","errcon_v_con","lh_entorhinal",1130.88598127238,-1.52315754197207,1169.15258287721,-11.0898079431799,14.0107013454083,2.47684245802811,0.289841450183653,"nonsig"
"84","uncon_v_con","lh_entorhinal",1130.88598127238,-4.02589541700991,1169.15258287721,-23.1591962194257,14.0107013454083,3.97410458299002,0.40952175716308,"nonsig"
"15","uncon","lh_fusiform",4570.42366651882,NA,4627.82356892607,NA,3.35277203268004,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",4566.78784003026,-3.63582648855936,4614.6210920363,-13.2024768897672,3.71694554412052,0.364173511440475,0.833529023868039,"nonsig"
"35","timecon_v_con","lh_fusiform",4566.0669695713,-0.720870458961144,4604.33357117613,-10.287520860169,6.9960750851609,3.27912954104038,0.194064486498763,"nonsig"
"55","uncon_v_errcon","lh_fusiform",4569.71793314399,-0.705733374828924,4617.55118515003,-10.2723837760368,6.64703865785156,3.29426662517151,0.192601245554459,"nonsig"
"65","errcon_v_con","lh_fusiform",4566.0669695713,-3.65096357269158,4604.33357117613,-13.2176139738995,6.9960750851609,0.34903642730934,0.839861557141531,"nonsig"
"85","uncon_v_con","lh_fusiform",4566.0669695713,-4.3566969475205,4604.33357117613,-23.4899977499363,6.9960750851609,3.64330305248085,0.456425785449001,"nonsig"
"16","uncon","lh_inferiorparietal",5822.63603184385,NA,5880.0359342511,NA,8.89189469950326,NA,NA,NA
"26","uncon_v_timecon","lh_inferiorparietal",5820.64397211787,-1.99205972598065,5868.47722412391,-11.5587101271885,10.899834973522,2.00794027401869,0.366421804809707,"nonsig"
"36","timecon_v_con","lh_inferiorparietal",5826.18009919424,5.53612707636876,5864.44670079907,-4.03052332483912,20.4359620498868,9.53612707636483,0.00849681800282249,"sig"
"56","uncon_v_errcon","lh_inferiorparietal",5828.31632933456,5.68029749070683,5876.1495813406,-3.88635291050105,18.5721921902067,9.6802974907034,0.00790587800152577,"sig"
"66","errcon_v_con","lh_inferiorparietal",5826.18009919424,-2.13623014031873,5864.44670079907,-11.7028805415266,20.4359620498868,1.86376985968012,0.393810704786104,"nonsig"
"86","uncon_v_con","lh_inferiorparietal",5826.18009919424,3.5440673503881,5864.44670079907,-15.5892334520277,20.4359620498868,11.5440673503835,0.0210841809387284,"sig"
