"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",19529.3374263938,NA,20166.4372063576,NA,24.2351927331965,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",19572.4293606338,43.0919342399648,20057.8387167967,-108.598489560925,107.327126973174,83.0919342399775,1.16526369568605e-09,"sig"
"3","timecon_v_con","lh_bankssts",20258.3224385169,685.893077883153,20592.0413708789,534.202654082259,833.220204856293,725.893077883119,7.31165654419695e-141,"sig"
"5","uncon_v_errcon","lh_bankssts",20219.0448356701,689.707409276245,20704.4541918329,538.016985475355,753.942602009447,729.707409276251,1.13807730750721e-141,"sig"
"6","errcon_v_con","lh_bankssts",20258.3224385169,39.2776028468725,20592.0413708789,-112.412820954021,833.220204856293,79.2776028468458,5.20498762740723e-09,"sig"
"8","uncon_v_con","lh_bankssts",20258.3224385169,728.985012123117,20592.0413708789,425.604164521334,833.220204856293,808.985012123097,6.28319387057355e-144,"sig"
"11","uncon","lh_caudalanteriorcingulate",8010.71869759513,NA,8647.81847755888,NA,21.8919590690565,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",8082.85265389911,72.133956303971,8568.26201006196,-79.556467496921,134.025915373028,112.133956303972,8.00450263881403e-15,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",8779.05681085402,696.204156954916,9112.77574321598,544.513733154025,870.230072327933,736.204156954904,4.7859719343454e-143,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",8704.46054158814,693.741843993009,9189.869897751,542.051420192116,755.633803062047,733.74184399299,1.59072874073408e-142,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",8779.05681085402,74.5962692658777,9112.77574321598,-77.0941545350124,870.230072327933,114.596269265886,2.83042327712833e-15,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",8779.05681085402,768.338113258887,9112.77574321598,464.957265657104,870.230072327933,848.338113258876,4.40268974544823e-152,"sig"
"12","uncon","lh_caudalmiddlefrontal",67994.3477690838,NA,68631.4475490475,NA,21.3695271563686,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",68013.1234323401,18.7756632563396,68498.532788503,-132.914760544547,80.1451904127463,58.7756632563777,1.09981653514029e-05,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",69609.9784252487,1596.85499290857,69943.6973576106,1445.16456910768,1717.00018332131,1636.85499290856,0,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",69590.8982789201,1596.55050983631,70076.3076350829,1444.86008603542,1657.92003699269,1636.55050983632,0,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",69609.9784252487,19.0801463286043,69943.6973576106,-132.610277472282,1717.00018332131,59.0801463286225,9.87471167085504e-06,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",69609.9784252487,1615.63065616491,69943.6973576106,1312.24980856314,1717.00018332131,1695.63065616494,0,"sig"
"13","uncon","lh_cuneus",17950.6134701334,NA,18587.7132500971,NA,31.6002048735393,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",18046.0604999809,95.4470298475062,18531.4698561437,-56.2433939533839,167.047234721052,135.447029847513,3.67943227716719e-19,"sig"
"33","timecon_v_con","lh_cuneus",18957.6253543561,911.56485437521,19291.344286718,759.874430574317,1118.61208909626,951.564854375205,8.23200962485816e-189,"sig"
"53","uncon_v_errcon","lh_cuneus",18858.2629559953,907.64948586197,19343.6723121582,755.95906206108,979.249690735523,947.649485861984,5.61869982096397e-188,"sig"
"63","errcon_v_con","lh_cuneus",18957.6253543561,99.3623983607467,19291.344286718,-52.328025440147,1118.61208909626,139.362398360735,6.68584454559446e-20,"sig"
"83","uncon_v_con","lh_cuneus",18957.6253543561,1007.01188422272,19291.344286718,703.631036620933,1118.61208909626,1087.01188422272,7.20409583173376e-202,"sig"
"14","uncon","lh_entorhinal",13100.3405599004,NA,13737.4403398642,NA,21.1262109633932,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",13139.9075856363,39.5670257358252,13625.3169417991,-112.123398065067,100.693236699215,79.5670257358214,4.64928715673039e-09,"sig"
"34","timecon_v_con","lh_entorhinal",13391.5193920937,251.611806457444,13725.2383244557,99.9213826565538,392.305043156662,291.611806457447,4.1588991411231e-50,"sig"
"54","uncon_v_errcon","lh_entorhinal",13352.73313287,252.392572969607,13838.1424890329,100.702149168716,313.518783933,292.392572969606,2.88279043092189e-50,"sig"
"64","errcon_v_con","lh_entorhinal",13391.5193920937,38.7862592236615,13725.2383244557,-112.904164577229,392.305043156662,78.7862592236623,6.30304421909636e-09,"sig"
"84","uncon_v_con","lh_entorhinal",13391.5193920937,291.178832193269,13725.2383244557,-12.202015408513,392.305043156662,371.178832193269,2.90783279438353e-55,"sig"
"15","uncon","lh_fusiform",69065.1239953989,NA,69702.2237753626,NA,19.0490732609297,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",69094.8877085444,29.7637131454976,69580.2970647072,-121.926710655389,88.812786406441,69.7637131455113,1.99046921146542e-07,"sig"
"35","timecon_v_con","lh_fusiform",69784.443120049,689.55541150464,70118.162052411,537.864987703753,818.36819791109,729.555411504649,1.22564777402207e-141,"sig"
