"","comparison","ROI","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",24.2129023367731,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",63.8469888158438,39.6340864790707,0.00555509712536615,"sig"
"3","timecon_v_con","lh_bankssts",1318.86620987407,1255.01922105822,1.26218482049002e-253,"sig"
"5","uncon_v_errcon","lh_bankssts",1275.10696444496,1250.89406210818,9.63922223961765e-253,"sig"
"6","errcon_v_con","lh_bankssts",1318.86620987407,43.7592454291093,0.00162070985782881,"sig"
"8","uncon_v_con","lh_bankssts",1318.86620987407,1294.65330753729,1.61724245384465e-245,"sig"
"11","uncon","lh_caudalanteriorcingulate",164.674971998323,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",227.303150621897,62.6281786235745,2.77040157481818e-06,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",566.393969018814,339.090818396917,7.8471889904627e-60,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",501.401870826734,336.726898828411,2.40357391860257e-59,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",566.393969018814,64.9920981920806,1.17046058427131e-06,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",566.393969018814,401.718997020492,3.02411690299151e-61,"sig"
"12","uncon","lh_caudalmiddlefrontal",36.0925432720898,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",57.4321166934484,21.3395734213586,0.377393467090688,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",2457.58228150206,2400.15016480861,0,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",2424.19827610261,2388.10573283052,0,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",2457.58228150206,33.3840053994531,0.0306064379803993,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",2457.58228150206,2421.48973822997,0,"sig"
"13","uncon","lh_cuneus",48.621710813597,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",71.3819403988247,22.7602295852277,0.300720587258654,"nonsig"
"33","timecon_v_con","lh_cuneus",513.811934527388,442.429994128563,3.08367127790013e-81,"sig"
"53","uncon_v_errcon","lh_cuneus",490.520506930062,441.898796116465,3.9787119058336e-81,"sig"
"63","errcon_v_con","lh_cuneus",513.811934527388,23.2914275973256,0.274712415277048,"nonsig"
"83","uncon_v_con","lh_cuneus",513.811934527388,465.190223713791,7.98680587390488e-74,"sig"
"14","uncon","lh_entorhinal",44.325685021962,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",71.4904089790089,27.1647239570469,0.130692900218919,"nonsig"
"34","timecon_v_con","lh_entorhinal",233.213821198113,161.723412219104,3.48852630236428e-24,"sig"
"54","uncon_v_errcon","lh_entorhinal",208.405171592753,164.079486570791,1.22124346150525e-24,"sig"
"64","errcon_v_con","lh_entorhinal",233.213821198113,24.8086496053596,0.208849962223458,"nonsig"
"84","uncon_v_con","lh_entorhinal",233.213821198113,188.888136176151,3.33299374624188e-21,"sig"
"15","uncon","lh_fusiform",29.0759644180898,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",49.3024735719898,20.2265091539,0.443843052515155,"nonsig"
"35","timecon_v_con","lh_fusiform",549.766696160434,500.464222588444,2.32670074852138e-93,"sig"
