"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",195633.30465193,NA,196212.180068726,NA,17304.9083335502,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",195769.619663924,136.315011994622,196210.667600531,-1.51246819508378,17481.2233455448,176.315011994619,5.09815294534276e-27,"sig"
"3","timecon_v_con","lh_bankssts",195808.16041671,38.5407527858915,196111.380873127,-99.2867274037853,17559.7640983307,78.5407527859024,6.93481109958184e-09,"sig"
"5","uncon_v_errcon","lh_bankssts",195490.922255675,-142.382396254776,195931.970192282,-280.209876444482,17202.5259372954,-102.382396254776,1,"nonsig"
"6","errcon_v_con","lh_bankssts",195808.16041671,317.23816103529,196111.380873127,179.410680845613,17559.7640983307,357.238161035297,1.43425226869526e-63,"sig"
"8","uncon_v_con","lh_bankssts",195808.16041671,174.855764780514,196111.380873127,-100.799195598869,17559.7640983307,254.855764780521,4.39684272468131e-33,"sig"
"11","uncon","lh_caudalanteriorcingulate",188738.697707186,NA,189317.573123983,NA,20417.5108882695,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",189074.155899217,335.45819203119,189515.203835824,197.630711841484,20792.9690803007,375.45819203119,2.47472060941565e-67,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",189135.976549295,61.8206500773958,189439.197005712,-76.006830112281,20894.7897303781,101.820650077399,5.94017364330312e-13,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",188460.301730883,-278.395976303524,188901.34966749,-416.22345649323,20179.114911966,-238.395976303513,1,"nonsig"
"61","errcon_v_con","lh_caudalanteriorcingulate",189135.976549295,675.67481841211,189439.197005712,537.847338222433,20894.7897303781,715.674818412102,1.06568083179107e-138,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",189135.976549295,397.278842108586,189439.197005712,121.623881729203,20894.7897303781,477.27884210859,3.0767042156524e-76,"sig"
"12","uncon","lh_caudalmiddlefrontal",217506.254477307,NA,218085.129894104,NA,17664.5372852625,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",217576.276679229,70.0222019214998,218017.324615836,-67.8052782682062,17774.559487184,110.022201921489,1.94583450667592e-14,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",217611.374960718,35.0982814889576,217914.595417135,-102.729198700719,17849.657768673,75.0982814889685,2.6234312541526e-08,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",206109.339619146,-11396.9148581613,206550.387555753,-11534.742338351,6307.62242710122,-11356.9148581613,1,"nonsig"
"62","errcon_v_con","lh_caudalmiddlefrontal",217611.374960718,11502.0353415717,217914.595417135,11364.207861382,17849.657768673,11542.0353415717,0,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",217611.374960718,105.120483410457,217914.595417135,-170.534476968925,17849.657768673,185.120483410457,1.50271470007109e-20,"sig"
"13","uncon","lh_cuneus",198884.922352417,NA,199463.797769213,NA,19899.7037946811,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",198963.084896124,78.1625437077892,199404.132832731,-59.6649364819168,20017.8663383889,118.162543707807,6.23594159054954e-16,"sig"
"33","timecon_v_con","lh_cuneus",198954.587041982,-8.49785414271173,199257.807498399,-146.325334332389,20049.3684842461,31.5021458572664,0.0489007549289812,"sig"
"53","uncon_v_errcon","lh_cuneus",198704.724233964,-180.198118452681,199145.772170571,-318.025598642387,19759.5056762284,-140.198118452685,1,"nonsig"
"63","errcon_v_con","lh_cuneus",198954.587041982,249.862808017759,199257.807498399,112.035327828082,20049.3684842461,289.862808017759,9.44984957411566e-50,"sig"
"83","uncon_v_con","lh_cuneus",198954.587041982,69.6646895650774,199257.807498399,-205.990270814305,20049.3684842461,149.664689565074,1.40607972879583e-14,"sig"
"14","uncon","lh_entorhinal",164227.365905062,NA,164806.241321858,NA,91.0879500900946,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",174574.067719064,10346.7018140022,175015.115655671,10208.8743338125,10477.7897640923,10386.7018140022,0,"sig"
"34","timecon_v_con","lh_entorhinal",174559.553681162,-14.5140379015065,174862.77413758,-152.341518091183,10503.2757261908,25.4859620984771,0.183467683004729,"nonsig"
"54","uncon_v_errcon","lh_entorhinal",174321.927900408,10094.561995346,174762.975837015,9956.73451515631,10225.6499454361,10134.561995346,0,"sig"
"64","errcon_v_con","lh_entorhinal",174559.553681162,237.625780754694,174862.77413758,99.7983005650167,10503.2757261908,277.625780754677,2.91955492196213e-47,"sig"
"84","uncon_v_con","lh_entorhinal",174559.553681162,10332.1877761007,174862.77413758,10056.5328157213,10503.2757261908,10412.1877761007,0,"sig"
"15","uncon","lh_fusiform",216313.788557003,NA,216892.6639738,NA,21274.7143690762,NA,NA,NA
