"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-4215.96436596238,NA,-4104.29941547631,NA,6.76217606860468,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-4220.79150663367,-4.82714067128927,-4131.45954624482,-27.1601307685023,9.93503539731861,3.17285932871394,0.529325752387394,"nonsig"
"3","timecon_v_con","lh_bankssts",-4209.56660257375,11.2249040599236,-4142.56763228211,-11.1080860372904,29.1599394572393,19.2249040599206,0.000709873339809134,"sig"
"5","uncon_v_errcon","lh_bankssts",-4204.57831729209,11.3860486702879,-4115.24635690324,-10.9469414269252,26.1482247388925,19.3860486702878,0.000659893079007929,"sig"
"6","errcon_v_con","lh_bankssts",-4209.56660257375,-4.98828528165359,-4142.56763228211,-27.3212753788675,29.1599394572393,3.0117147183468,0.555866887679735,"nonsig"
"8","uncon_v_con","lh_bankssts",-4209.56660257375,6.3977633886343,-4142.56763228211,-38.2682168057927,29.1599394572393,22.3977633886346,0.00422992973421902,"sig"
"11","uncon","lh_caudalanteriorcingulate",-8924.32841203392,NA,-8812.66346154786,NA,29.1888138570863,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-8912.70789937387,11.620512660058,-8823.37593898501,-10.712477437155,48.8093265171452,19.6205126600589,0.000593329308762794,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-8914.00283340198,-1.29493402811568,-8847.00386311034,-23.6279241253287,55.5143924890214,6.70506597187624,0.152319496316856,"nonsig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-8925.63188358307,-1.30347154915034,-8836.29992319422,-23.6364616463634,35.8853423079342,6.69652845084793,0.152821074659702,"nonsig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-8914.00283340198,11.6290501810927,-8847.00386311034,-10.7039399161204,55.5143924890214,19.6290501810872,0.000591035222490428,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-8914.00283340198,10.3255786319423,-8847.00386311034,-34.3404015624837,55.5143924890214,26.3255786319351,0.000923670013342214,"sig"
"12","uncon","lh_caudalmiddlefrontal",2106.38576161353,NA,2218.05071209959,NA,8.58898298252309,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",2101.56976905096,-4.81599256256595,2190.90172943981,-27.148982659779,11.7729904199557,3.18400743743257,0.527517886823129,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",2229.80773529265,128.237966241695,2296.80670558429,105.904976144481,148.010956661652,136.237966241696,1.80259788814581e-28,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",2232.50417500968,126.118413396151,2321.83613539853,103.785423298938,142.707396378673,134.11841339615,5.12204574512337e-28,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",2229.80773529265,-2.69643971702226,2296.80670558429,-25.0294298142358,148.010956661652,5.3035602829793,0.25754382407156,"nonsig"
"82","uncon_v_con","lh_caudalmiddlefrontal",2229.80773529265,123.421973679129,2296.80670558429,78.7559934847022,148.010956661652,139.421973679129,3.1295038020096e-26,"sig"
"13","uncon","lh_cuneus",-5536.42973972091,NA,-5424.76478923484,NA,20.1730434579705,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-5540.91112623537,-4.4813865144597,-5451.57916584651,-26.8143766116727,23.691656943511,3.51861348554046,0.475053773138313,"nonsig"
"33","timecon_v_con","lh_cuneus",-5511.71251505989,29.1986111754759,-5444.71354476825,6.86562107826194,60.890268118985,37.198611175474,1.63932438998649e-07,"sig"
"53","uncon_v_errcon","lh_cuneus",-5507.44061180443,28.9891279164767,-5418.10865141558,6.65613781926368,57.1621713744465,36.989127916476,1.81061641496398e-07,"sig"
"63","errcon_v_con","lh_cuneus",-5511.71251505989,-4.27190325546053,-5444.71354476825,-26.6048933526745,60.890268118985,3.7280967445385,0.444052609566498,"nonsig"
"83","uncon_v_con","lh_cuneus",-5511.71251505989,24.7172246610162,-5444.71354476825,-19.9487555334108,60.890268118985,40.7172246610145,2.35434479913138e-06,"sig"
"14","uncon","lh_entorhinal",-10166.5509296425,NA,-10054.8859791565,NA,9.23434677703165,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",-10172.548524592,-5.99759494944919,-10083.2165642031,-28.3305850466622,11.2367518275812,2.00240505054954,0.735316498123363,"nonsig"
"34","timecon_v_con","lh_entorhinal",-10118.2089686982,54.3395558937591,-10051.2099984066,32.0065657965461,73.5763077213395,62.3395558937583,9.3451332594583e-13,"sig"
"54","uncon_v_errcon","lh_entorhinal",-10112.9183889043,53.6325407382101,-10023.5864285155,31.299550640997,70.8668875152401,61.6325407382084,1.31617335452616e-12,"sig"
"64","errcon_v_con","lh_entorhinal",-10118.2089686982,-5.29057979390018,-10051.2099984066,-27.6235698911132,73.5763077213395,2.70942020609948,0.607567206652766,"nonsig"
"84","uncon_v_con","lh_entorhinal",-10118.2089686982,48.3419609443099,-10051.2099984066,3.67598074988382,73.5763077213395,64.3419609443079,6.51104357564627e-11,"sig"
"15","uncon","lh_fusiform",-618.91597279371,NA,-507.251022307643,NA,1.28039146640863,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",-623.567758562373,-4.65178576866299,-534.23579817352,-26.9847758658765,4.62860569774545,3.34821423133682,0.501329565108109,"nonsig"
"35","timecon_v_con","lh_fusiform",-618.936346715422,4.63141184695155,-551.937376423782,-17.7015782502618,17.2600175447024,12.631411846957,0.0132245227332614,"sig"
"55","uncon_v_errcon","lh_fusiform",-614.347231748457,4.5687410452532,-525.015271359604,-17.7642490519603,13.849132511669,12.5687410452604,0.0135870316808123,"sig"
"65","errcon_v_con","lh_fusiform",-618.936346715422,-4.58911496696464,-551.937376423782,-26.922105064178,17.2600175447024,3.4108850330334,0.491557171584528,"nonsig"
