"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-2917.32770418959,NA,-2859.92780178234,NA,5.00400856598177,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-2916.26066961513,1.06703457446019,-2868.42741760909,-8.49961582674814,10.0710431404429,5.06703457446114,0.0793793287970436,"nonsig"
"3","timecon_v_con","lh_bankssts",-2910.67464587757,5.58602373755184,-2872.40804427274,-3.98062666365604,19.6570668779963,9.58602373755338,0.00828745901587342,"sig"
"5","uncon_v_errcon","lh_bankssts",-2911.49229040107,5.83541378851214,-2863.65903839503,-3.73123661269619,14.839422354494,9.83541378851224,0.00731588773096958,"sig"
"6","errcon_v_con","lh_bankssts",-2910.67464587757,0.817644523499894,-2872.40804427274,-8.74900587770799,19.6570668779963,4.81764452350228,0.0899211357943918,"nonsig"
"8","uncon_v_con","lh_bankssts",-2910.67464587757,6.65305831201204,-2872.40804427274,-12.4802424904042,19.6570668779963,14.6530583120145,0.00547763163625715,"sig"
"11","uncon","lh_caudalanteriorcingulate",-3918.2551900937,NA,-3860.85528768646,NA,9.11550909809323,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-3920.96984068357,-2.71465058986951,-3873.13658867753,-12.2813009910778,10.4008585082275,1.28534941013428,0.525883956781544,"nonsig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-3922.71062605978,-1.74078537621199,-3884.44402445495,-11.3074357774199,12.6600731320079,2.25921462378034,0.323160132650892,"nonsig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-3920.01286367734,-1.75767358363646,-3872.1796116713,-11.3243239848448,11.3578355144559,2.24232641636262,0.325900483947947,"nonsig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-3922.71062605978,-2.69776238244503,-3884.44402445495,-12.2644127836529,12.6600731320079,1.302237617552,0.52146203397367,"nonsig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-3922.71062605978,-4.4554359660815,-3884.44402445495,-23.5887367684977,12.6600731320079,3.54456403391462,0.471134716727938,"nonsig"
"12","uncon","lh_caudalmiddlefrontal",-178.790656799583,NA,-121.390754392335,NA,1.14181063139794,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-181.563818906788,-2.77316210720494,-133.730566900748,-12.3398125084128,2.36864852419356,1.22683789279562,0.541496353628865,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",-185.005814711273,-3.4419958044848,-146.739213106441,-13.0086462056927,2.92665271970796,0.558004195514399,0.756538316179683,"nonsig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",-182.201574667406,-3.41091786782317,-134.368322661367,-12.9775682690311,1.73089276357616,0.589082132178214,0.74487335667787,"nonsig"
"62","errcon_v_con","lh_caudalmiddlefrontal",-185.005814711273,-2.80424004386657,-146.739213106441,-12.3708904450745,2.92665271970796,1.1957599561318,0.549976362987277,"nonsig"
"82","uncon_v_con","lh_caudalmiddlefrontal",-185.005814711273,-6.21515791168974,-146.739213106441,-25.3484587141056,2.92665271970796,1.78484208831002,0.775254389409753,"nonsig"
"13","uncon","lh_cuneus",-2292.17056894486,NA,-2234.77066653761,NA,11.8539961360462,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-2295.93107529436,-3.76050634949979,-2248.09782328832,-13.3271567507077,12.0934897865457,0.239493650499515,0.887145011004278,"nonsig"
"33","timecon_v_con","lh_cuneus",-2277.52583015039,18.4052451439647,-2239.25922854556,8.83859474275687,34.4987349305105,22.4052451439648,1.36383814858813e-05,"sig"
"53","uncon_v_errcon","lh_cuneus",-2273.72547845698,18.4450904878786,-2225.89222645094,8.87844008667071,34.2990866239219,22.4450904878757,1.33693572247924e-05,"sig"
"63","errcon_v_con","lh_cuneus",-2277.52583015039,-3.80035169341363,-2239.25922854556,-13.3670020946215,34.4987349305105,0.199648306588607,0.904996544705652,"nonsig"
"83","uncon_v_con","lh_cuneus",-2277.52583015039,14.644738794465,-2239.25922854556,-4.4885620079508,34.4987349305105,22.6447387944643,0.000149091084053691,"sig"
"14","uncon","lh_entorhinal",-4272.79413731243,NA,-4215.39423490518,NA,5.1899281323661,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",-4268.67383405389,4.12030325854266,-4220.84058204785,-5.44634714266522,13.3102313909095,8.12030325854336,0.0172464038574205,"sig"
"34","timecon_v_con","lh_entorhinal",-4265.36372419016,3.31010986372712,-4227.09712258533,-6.25654053748076,20.6203412546369,7.31010986372742,0.0258600769019285,"sig"
"54","uncon_v_errcon","lh_entorhinal",-4268.58137428969,4.21276302274691,-4220.74812228365,-5.35388737846097,13.4026911551147,8.21276302274863,0.0164672534187381,"sig"
"64","errcon_v_con","lh_entorhinal",-4265.36372419016,3.21765009952287,-4227.09712258533,-6.34900030168501,20.6203412546369,7.21765009952215,0.0270836501202511,"sig"
"84","uncon_v_con","lh_entorhinal",-4265.36372419016,7.43041312226978,-4227.09712258533,-11.702887680146,20.6203412546369,15.4304131222708,0.00388692399614025,"sig"
"15","uncon","lh_fusiform",-546.134832657291,NA,-488.734930250043,NA,16.5772080641914,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",-549.322029563831,-3.18719690654007,-501.488777557791,-12.7538473077479,17.3900111576541,0.812803093462687,0.666042666465758,"nonsig"
"35","timecon_v_con","lh_fusiform",-524.691492148311,24.6305374155205,-486.424890543479,15.0638870143126,46.0205485731741,28.63053741552,6.06677367016457e-07,"sig"
"55","uncon_v_errcon","lh_fusiform",-521.393343602486,24.7414890548052,-473.560091596446,15.1748386535974,45.3186971189951,28.7414890548037,5.73937961543968e-07,"sig"
