"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-15360.0658697235,NA,-15027.5833310198,NA,12.4515854155283,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-15356.0849394899,3.98093023361253,-15100.329140487,-72.7458094672493,40.4325156491369,27.9809302336086,0.00556769342344027,"sig"
"3","timecon_v_con","lh_bankssts",-15336.1825733545,19.9023661353567,-15157.1535140525,-56.8243735655033,84.3348817844913,43.9023661353544,1.5867565741537e-05,"sig"
"5","uncon_v_errcon","lh_bankssts",-15339.7565988176,20.3092709059147,-15084.0007998147,-56.4174687949471,56.7608563214429,44.3092709059146,1.35255259348389e-05,"sig"
"6","errcon_v_con","lh_bankssts",-15336.1825733545,3.57402546305457,-15157.1535140525,-73.1527142378054,84.3348817844913,27.5740254630484,0.00638254828535948,"sig"
"8","uncon_v_con","lh_bankssts",-15336.1825733545,23.8832963689692,-15157.1535140525,-129.570183032753,84.3348817844913,71.883296368963,1.12967593872592e-06,"sig"
"11","uncon","lh_caudalanteriorcingulate",-19515.278473146,NA,-19182.7959344422,NA,126.383751882724,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-19499.992215813,15.2862573329694,-19244.2364168101,-61.4404823678924,165.67000921569,39.2862573329662,9.43932990298589e-05,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-19205.9237879008,294.068427912189,-19026.8947285988,217.341688211327,483.73843712788,318.06842791219,7.48812513397979e-61,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-19223.2966845463,291.981788599696,-18967.5408855434,215.255048898835,442.365540482412,315.981788599689,2.05721836780626e-60,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-19205.9237879008,17.3728966454619,-19026.8947285988,-59.3538430553999,483.73843712788,41.3728966454677,4.24435260026959e-05,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-19205.9237879008,309.354685245158,-19026.8947285988,155.901205843435,483.73843712788,357.354685245156,3.98521734264866e-61,"sig"
"12","uncon","lh_caudalmiddlefrontal",-2900.81773008109,NA,-2568.33519137736,NA,26.1472381392636,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-2914.06071763435,-13.2429875532566,-2658.30491863148,-89.9697272541175,36.904250586002,10.7570124467384,0.549849596913118,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",-2640.24826338689,273.81245424746,-2461.21920408488,197.085714546599,334.716704833454,297.812454247452,1.35194865167883e-56,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",-2626.56681194499,274.250918136105,-2370.81101294212,197.524178435244,324.398156275366,298.250918136103,1.09375933052339e-56,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",-2640.24826338689,-13.6814514419011,-2461.21920408488,-90.408191142762,334.716704833454,10.3185485580876,0.588036461928361,"nonsig"
"82","uncon_v_con","lh_caudalmiddlefrontal",-2640.24826338689,260.569466694204,-2461.21920408488,107.115987292482,334.716704833454,308.56946669419,3.14255050874957e-51,"sig"
"13","uncon","lh_cuneus",-13983.9288579981,NA,-13651.4463192944,NA,16.4882646713855,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-13991.2890630887,-7.36020509051923,-13735.5332640858,-84.086944791381,33.1280595808623,16.6397949094768,0.163656684710392,"nonsig"
"33","timecon_v_con","lh_cuneus",-13748.9958803019,242.293182786801,-13569.9668209998,165.566443085942,299.421242367669,266.293182786807,5.42165607654138e-50,"sig"
"53","uncon_v_errcon","lh_cuneus",-13741.6267809853,242.30207701279,-13485.8709819825,165.575337311928,282.790341684168,266.302077012783,5.39849343043365e-50,"sig"
"63","errcon_v_con","lh_cuneus",-13748.9958803019,-7.36909931650735,-13569.9668209998,-84.0958390173673,299.421242367669,16.6309006835008,0.164016920219465,"nonsig"
"83","uncon_v_con","lh_cuneus",-13748.9958803019,234.932977696282,-13569.9668209998,81.4794982945605,299.421242367669,282.932977696283,4.49569352528076e-46,"sig"
"14","uncon","lh_entorhinal",-22231.1215297496,NA,-21898.6389910459,NA,29.858846500297,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",-22240.7942468686,-9.67271711901776,-21985.0384478658,-86.3994568198796,44.1861293812844,14.3272828809874,0.280298671944694,"nonsig"
"34","timecon_v_con","lh_entorhinal",-22209.8620179607,30.9322289079682,-22030.8329586586,-45.7945107928936,99.1183582892484,54.932228907964,1.86125851414195e-07,"sig"
"54","uncon_v_errcon","lh_entorhinal",-22198.6210786591,32.5004510904837,-21942.8652796563,-44.2262886103781,86.3592975907804,56.5004510904834,9.72667890999373e-08,"sig"
