"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-45425.7492691703,NA,-44788.6494892065,NA,22.947174166729,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-45366.5460909094,59.2031782608829,-44881.1367347465,-92.4872455400109,122.150352427627,99.2031782608982,1.74871122239046e-12,"sig"
"3","timecon_v_con","lh_bankssts",-42985.5520120522,2380.99407885719,-42651.8330796902,2229.3036550563,2543.14443128481,2420.99407885719,0,"sig"
"5","uncon_v_errcon","lh_bankssts",-43056.4614914435,2369.28777772681,-42571.0521352806,2217.59735392591,2432.23495189354,2409.28777772681,0,"sig"
"6","errcon_v_con","lh_bankssts",-42985.5520120522,70.9094793912664,-42651.8330796902,-80.7809444096274,2543.14443128481,110.909479391272,1.34024556618593e-14,"sig"
"8","uncon_v_con","lh_bankssts",-42985.5520120522,2440.19725711807,-42651.8330796902,2136.81640951629,2543.14443128481,2520.19725711808,0,"sig"
"11","uncon","lh_caudalanteriorcingulate",-64779.7607924229,NA,-64142.6610124592,NA,20.7594344178543,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-64686.454386484,93.3064059388635,-64201.0450303212,-58.3840178620303,154.065840356702,133.306405938847,9.31913029923456e-19,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-64119.2850972163,567.169289267702,-63785.5661648544,415.478865466808,761.235129624419,607.169289267717,8.88472910875183e-116,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-64216.1548798064,563.605912616484,-63730.7455236436,411.91548881559,624.365347034355,603.605912616501,5.0060200905086e-115,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-64119.2850972163,96.8697825900817,-63785.5661648544,-54.820641210812,761.235129624419,136.869782590064,1.98157655228416e-19,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-64119.2850972163,660.475695206565,-63785.5661648544,357.094847604778,761.235129624419,740.475695206565,8.84300015009873e-130,"sig"
"12","uncon","lh_caudalmiddlefrontal",-2123.60731653251,NA,-1486.50753656877,NA,17.193442991859,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-2106.54129226897,17.0660242635463,-1621.13193610612,-134.624399537345,74.2594672554232,57.0660242635642,2.00580659053833e-05,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",2671.3527435906,4777.89403585956,3005.07167595256,4626.20361205867,4892.15350311497,4817.89403585955,0,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",2630.50784593636,4754.11516246888,3115.91720209922,4602.42473866799,4811.30860546074,4794.11516246888,0,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",2671.3527435906,40.8448976542322,3005.07167595256,-110.84552614666,4892.15350311497,80.8448976542304,2.82045533206132e-09,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",2671.3527435906,4794.96006012311,3005.07167595256,4491.57921252133,4892.15350311497,4874.96006012311,0,"sig"
"13","uncon","lh_cuneus",-43820.8882810108,NA,-43183.788501047,NA,23.691107647012,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-43777.9242367504,42.9640442603632,-43292.5148805876,-108.726379540531,106.655151907392,82.9640442603801,1.22559468197326e-09,"sig"
"33","timecon_v_con","lh_cuneus",-42960.6046670952,817.319569655199,-42626.8857347332,665.629145854306,963.97472156261,857.319569655217,9.41598546132036e-169,"sig"
"53","uncon_v_errcon","lh_cuneus",-43004.4599208272,816.4283601836,-42519.0505646643,664.737936382706,880.119467830651,856.428360183639,1.45657827987084e-168,"sig"
"63","errcon_v_con","lh_cuneus",-42960.6046670952,43.8552537319629,-42626.8857347332,-107.835170068931,963.97472156261,83.8552537319582,8.61782673260939e-10,"sig"
"83","uncon_v_con","lh_cuneus",-42960.6046670952,860.283613915562,-42626.8857347332,556.902766313775,963.97472156261,940.283613915598,3.35071059535096e-171,"sig"
"14","uncon","lh_entorhinal",-73523.9360782765,NA,-72886.8362983127,NA,23.2737340909769,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",-73487.4576585372,36.4784197392437,-73002.0483023744,-115.212004061643,99.7521538302292,76.4784197392523,1.54201133147718e-08,"sig"
"34","timecon_v_con","lh_entorhinal",-73167.3133724174,320.144286119859,-72833.5944400554,168.453862318973,459.896439950075,360.144286119846,3.60622652344627e-64,"sig"
"54","uncon_v_errcon","lh_entorhinal",-73200.4453694172,323.490708859215,-72715.0360132544,171.800285058329,386.764442950206,363.490708859229,7.35071931759209e-65,"sig"
"64","errcon_v_con","lh_entorhinal",-73167.3133724174,33.1319969998876,-72833.5944400554,-118.558426800999,459.896439950075,73.1319969998699,5.56589726156866e-08,"sig"
"84","uncon_v_con","lh_entorhinal",-73167.3133724174,356.622705859103,-72833.5944400554,53.24185825733,459.896439950075,436.622705859099,3.84838420930686e-68,"sig"
"15","uncon","lh_fusiform",-12084.6720515235,NA,-11447.5722715598,NA,17.2800840851818,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",-12083.4783038731,1.19374765036264,-11598.0689477103,-150.496676150529,58.4738317355158,41.1937476503339,0.00351753711939575,"sig"
"35","timecon_v_con","lh_fusiform",-11104.8737858791,978.604517994019,-10771.1548535172,826.914094193129,1077.07834972954,1018.60451799402,4.20324081445957e-203,"sig"
"55","uncon_v_errcon","lh_fusiform",-11106.495413492,978.176638031513,-10621.0860573291,826.486214230621,1035.45672211668,1018.1766380315,5.18630751612851e-203,"sig"
