"","site","ROI","time_var","error_var","ICC","ICC2"
"1","site01","lh_bankssts",0.0204709656762743,0.00267353562515691,0.884485062333506,0.938704859364669
"2","site01","lh_caudalanteriorcingulate",0.0316193595347456,0.00716427761953484,0.815275767173783,0.898240618669545
"3","site01","lh_caudalmiddlefrontal",0.014456843543514,0.00571391205110225,0.716722954462482,0.834992277524885
"4","site01","lh_cuneus",0.014833130108297,0.00362866905356263,0.803449868468989,0.891024189582992
"5","site01","lh_entorhinal",0.0451555470375617,0.0354453890641036,0.560236012403195,0.718144394717667
"6","site01","lh_fusiform",0.00949251717427303,0.0032595763836967,0.744388921797115,0.853473881159369
"7","site01","lh_inferiorparietal",0.00779030407640477,0.00260086603673114,0.749704219215575,0.856965861788461
"8","site01","lh_inferiortemporal",0.010054414857802,0.00317686122430592,0.759897593807913,0.863578892227555
"9","site01","lh_isthmuscingulate",0.0208405309367404,0.00432921776814899,0.827999166026318,0.905909072456426
"10","site01","lh_lateraloccipital",0.010284181751001,0.00175289454889088,0.854375389403602,0.92147857754469
"11","site01","lh_lateralorbitofrontal",0.00638352541652213,0.00579345313814756,0.524229010329836,0.687863558273004
"12","site01","lh_lingual",0.0109989075527904,0.00328872460997914,0.769820179263234,0.869952097198005
"13","site01","lh_medialorbitofrontal",0.0112441079434215,0.00665575868634553,0.62816713531948,0.771628300553921
"14","site01","lh_middletemporal",0.0156193519644707,0.00250587310178982,0.861746649068959,0.925748003221092
"15","site01","lh_parahippocampal",0.0580719819059666,0.0101645209825427,0.851039831288682,0.919529567042405
"16","site01","lh_paracentral",0.0144361721091809,0.00465995240194147,0.755973920298471,0.861035565722467
"17","site01","lh_parsopercularis",0.00963229007435521,0.00367446202378117,0.723864847208225,0.839827876879202
"18","site01","lh_parsorbitalis",0.0214278526730023,0.00585425931876769,0.785417664126087,0.879814635807076
"19","site01","lh_parstriangularis",0.0111798924816423,0.0051874132454147,0.683062482492807,0.811691949755692
"20","site01","lh_pericalcarine",0.0161077185348455,0.00365617263395908,0.81500744955882,0.898082701428772
"21","site01","lh_postcentral",0.00954659073449352,0.00451201895054341,0.679056531788793,0.808859813100438
"22","site01","lh_posteriorcingulate",0.0139889459239979,0.00443130563452925,0.759432946914457,0.863271974759813
"23","site01","lh_precentral",0.00943575583069763,0.00576620263503366,0.620693435781185,0.765970166369787
"24","site01","lh_precuneus",0.00862991091759634,0.00290731186325228,0.748005918020555,0.855843084258211
"25","site01","lh_rostralanteriorcingulate",0.021622646975038,0.0115349957275648,0.652116532196684,0.789433605156144
"26","site01","lh_rostralmiddlefrontal",0.00855166501188831,0.00338012053148989,0.716712932930163,0.834986161692795
"27","site01","lh_superiorfrontal",0.0124029282173674,0.00363220035385269,0.773484800092481,0.87228326953736
"28","site01","lh_superiorparietal",0.00902297512263705,0.00333653454913742,0.730043129724062,0.843963995422143
"29","site01","lh_superiortemporal",0.0157491067715141,0.00366176385248605,0.811354991570623,0.895862617696954
