"","site","ROI","time_var","error_var","ICC","ICC2"
"1","site01","lh_bankssts",0.0417578724459813,0.00126330489073848,0.970635278508284,0.985100083583536
"2","site01","lh_caudalanteriorcingulate",0.0255542381924611,0.000756118991112838,0.971261545944162,0.98542381382861
"3","site01","lh_caudalmiddlefrontal",0.161671381543491,0.00746310511780281,0.955874728654551,0.977440513560207
"4","site01","lh_cuneus",0.0548430403029963,0.00149495726622192,0.973464494111897,0.986554209771511
"5","site01","lh_entorhinal",0.00844457525767921,0.00173741453631832,0.829363948356876,0.906724215158515
"6","site01","lh_fusiform",0.157256060986499,0.00450019680167411,0.972179148657313,0.985893630527438
"7","site01","lh_inferiorparietal",0.516061008954265,0.00803396028051642,0.984670792981954,0.99227630157987
"8","site01","lh_inferiortemporal",0.264093732689693,0.00837856936365635,0.96924983089835,0.984384902139392
"9","site01","lh_isthmuscingulate",0.0241383958768978,0.0137317439323136,0.637399175141848,0.778556417260503
"10","site01","lh_lateraloccipital",0.443063555539575,0.00810908650905842,0.982026644008738,0.990932031783822
"11","site01","lh_lateralorbitofrontal",0.0858959456209172,0.0126076109348999,0.872008571307212,0.931630822854706
"12","site01","lh_lingual",0.175186315694797,0.00389110964942873,0.978271355856557,0.989016703140728
"13","site01","lh_medialorbitofrontal",0.0416421784821428,0.00923938809716329,0.818413843788351,0.900141397612725
"14","site01","lh_middletemporal",0.189240398121848,0.00469262017429651,0.975802881760286,0.987753460755626
"15","site01","lh_parahippocampal",0.00564834005908026,0.000798641007964183,0.876121707251994,0.933980813697311
"16","site01","lh_paracentral",0.0325436292553611,0.00125772860136282,0.96279058945815,0.981046022505954
"17","site01","lh_parsopercularis",0.0795176421541242,0.00331848218135445,0.959939190685517,0.979560397500193
"18","site01","lh_parsorbitalis",0.0107552950240617,0.000610311307565059,0.946301913883225,0.972412096007433
"19","site01","lh_parstriangularis",0.0479823189613646,0.00253294050145858,0.949857913660273,0.974285374933937
"20","site01","lh_pericalcarine",0.0825264476365778,0.0015223495826418,0.981887312692041,0.990861277951093
"21","site01","lh_postcentral",0.264854408921745,0.00797228096318471,0.970778955070169,0.98517292707454
"22","site01","lh_posteriorcingulate",0.0473384871349537,0.0121646405053541,0.795563006723134,0.88614494718612
"23","site01","lh_precentral",0.286940763516255,0.00854900968185498,0.971068339897763,0.98532268433272
"24","site01","lh_precuneus",0.268936872740688,0.00812971597771774,0.970657898466494,0.985110578877418
"25","site01","lh_rostralanteriorcingulate",0.0253265414646433,0.00251585187532038,0.909639525431557,0.952686151830245
"26","site01","lh_rostralmiddlefrontal",0.66354441401619,0.0641407661087366,0.911856434814675,0.953896364588455
"27","site01","lh_superiorfrontal",0.986559311909518,0.034524078069058,0.966188777128397,0.982803702344366
"28","site01","lh_superiorparietal",0.588006034727259,0.033828343011635,0.945599110916574,0.972038999984902
"29","site01","lh_superiortemporal",0.238513479530464,0.00352313945030654,0.985443775139718,0.992668666122251
"30","site01","lh_supramarginal",0.530563735884591,0.0187313860101792,0.965899231099002,0.982653861961237
"31","site01","lh_frontalpole",0.000955799648351301,0.000311013871658508,0.754491196418476,0.860159530771341
"32","site01","lh_temporalpole",0.00294301205403941,0.000851819208303669,0.775531730025403,0.873595262656533
"33","site01","lh_transversetemporal",0.00416241244002908,0.000191443698023003,0.956028933443663,0.977523989949627
"34","site01","lh_insula",0.0507224772149934,0.0117189041568387,0.812321510200842,0.89644526431362
"35","site01","rh_bankssts",0.0187367479550345,0.00105295174692649,0.9467929396209,0.972676083953609
"36","site01","rh_caudalanteriorcingulate",0.0281995638248617,0.00103219095021777,0.964689394866649,0.982029658769504
"37","site01","rh_caudalmiddlefrontal",0.161801910971957,0.00814707964781127,0.952061617911936,0.975442682912025
"38","site01","rh_cuneus",0.0576816645960535,0.00159599402576295,0.973075960439916,0.986354587081938
"39","site01","rh_entorhinal",0.00630388667985376,0.0010728525611586,0.854562764643505,0.921583289612188
"40","site01","rh_fusiform",0.159688859109771,0.00381287106898479,0.976679934427506,0.988203598030756
"41","site01","rh_inferiorparietal",0.707328843591585,0.0153182789508736,0.978802546259397,0.989287740355262
"42","site01","rh_inferiortemporal",0.20919758788759,0.00819628863533369,0.962297518373433,0.98078677854564
"43","site01","rh_isthmuscingulate",0.0162129719277359,0.00577122083758137,0.737483158959278,0.84891178462712
"44","site01","rh_lateraloccipital",0.454910966893739,0.00922584304820608,0.980122578406656,0.989961642367335
"45","site01","rh_lateralorbitofrontal",0.098707089987743,0.0222409040128437,0.816111840492899,0.89874814150741
"46","site01","rh_lingual",0.259571042332783,0.00425561609229378,0.983869650937862,0.991869741015979
"47","site01","rh_medialorbitofrontal",0.0482594846470983,0.00919386333145261,0.839976891601079,0.913030568734323
"48","site01","rh_middletemporal",0.250839831462984,0.00789659682138969,0.969480150616013,0.984503701440795
"49","site01","rh_parahippocampal",0.00602687784375669,0.000695427865310964,0.89654920567315,0.94545494784354
"50","site01","rh_paracentral",0.0359516757746952,0.00182076547555903,0.951796457541733,0.975303696847424
"51","site01","rh_parsopercularis",0.049670450680134,0.00260660071848496,0.950138719595922,0.974432470182334
"52","site01","rh_parsorbitalis",0.0161569949741664,0.000900920712237007,0.947184595773614,0.972883854110096
"53","site01","rh_parstriangularis",0.0765821196762842,0.0035123227268008,0.956147734831281,0.977583274068526
"54","site01","rh_pericalcarine",0.0750547048346354,0.00230447595893274,0.970210698519647,0.98488195503225
"55","site01","rh_postcentral",0.210780283799504,0.01294392980925,0.942143366600961,0.970210688389328
"56","site01","rh_posteriorcingulate",0.040499952730617,0.0152622509515097,0.726297564592096,0.841452232438996
"57","site01","rh_precentral",0.258763613237062,0.00927119305348863,0.965410488354865,0.982400915473325
"58","site01","rh_precuneus",0.26792631387643,0.00761425344525684,0.972366125542714,0.985989560303382
"59","site01","rh_rostralanteriorcingulate",0.0169352147344479,0.00126767980116049,0.930358339511298,0.963930739836314
"60","site01","rh_rostralmiddlefrontal",0.591837490385996,0.0622794563508882,0.904788498965553,0.950014698659095
"61","site01","rh_superiorfrontal",0.714193397571005,0.0280144368379664,0.962255266598911,0.980764624055484
"62","site01","rh_superiorparietal",0.493036057365205,0.0251464564703428,0.951471815819853,0.97513252590339
"63","site01","rh_superiortemporal",0.19318472673996,0.00399796784870544,0.979724550082626,0.989759561036547
"64","site01","rh_supramarginal",0.291938246123508,0.01854896263949,0.940258528802554,0.969209612043172
"65","site01","rh_frontalpole",0.00228703192849429,0.000507645673351208,0.818352688333002,0.900104093186626
"66","site01","rh_temporalpole",0.00350633321059278,0.000789976330799487,0.816126765730319,0.898763576749441
"67","site01","rh_transversetemporal",0.00239633685941161,0.000166527050268573,0.935023061646159,0.966429169458934
"68","site01","rh_insula",0.0518476673909004,0.0109829814943358,0.825197070391603,0.904228459921314
"69","site02","lh_bankssts",0.0298251782498645,0.0014248539935612,0.954404719250779,0.976674621209395
"70","site02","lh_caudalanteriorcingulate",0.0243747640096587,0.000683320833036002,0.972730524406568,0.986177490071919
"71","site02","lh_caudalmiddlefrontal",0.189776023278414,0.00547293268584519,0.971969465041098,0.985785662636818
"72","site02","lh_cuneus",0.046296747562174,0.00274969232431373,0.943936964014563,0.971160539002152
"73","site02","lh_entorhinal",0.00843884790476906,0.0009929196828241,0.894726023133753,0.944440555945271
"74","site02","lh_fusiform",0.164544155345221,0.00301373195731011,0.982013786364657,0.990926615010257
"75","site02","lh_inferiorparietal",0.511194617641775,0.00685128776857826,0.98677474776458,0.993343540715803
"76","site02","lh_inferiortemporal",0.275725801721805,0.0045152052139931,0.983888135204183,0.991878923654785
"77","site02","lh_isthmuscingulate",0.0339488080680948,0.00082993298951948,0.976136773089497,0.98792583252806
"78","site02","lh_lateraloccipital",0.432436763278291,0.00460007562733425,0.989474398453793,0.994709395596641
"79","site02","lh_lateralorbitofrontal",0.0899500365616653,0.00850126152483326,0.913650081918025,0.954877693356092
"80","site02","lh_lingual",0.164277097980256,0.00302213291273061,0.981935763263229,0.990886802596415
"81","site02","lh_medialorbitofrontal",0.0404340705169776,0.00933948338362617,0.812360527796009,0.896467486224484
"82","site02","lh_middletemporal",0.196375816832459,0.00265375143731678,0.98666654678304,0.993288578952521
"83","site02","lh_parahippocampal",0.00676714002200047,0.000591021961701823,0.919678044189447,0.958161263674096
"84","site02","lh_paracentral",0.0312922845802242,0.00112762321694633,0.965218185566686,0.982306362691614
"85","site02","lh_parsopercularis",0.0863391009295808,0.00219956631938284,0.975156997640389,0.987423497496927
"86","site02","lh_parsorbitalis",0.0104621990574647,0.000461023645969745,0.957794173158734,0.978443757768408
