"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.894172692988635,0.899202748241006,0.996679529335785,0.999740540645488
"2","lh_caudalanteriorcingulate",0.96220950432563,0.966083553714481,0.99591387317649,0.999653515263462
"3","lh_caudalmiddlefrontal",0.590386636750746,0.616203164246397,0.993761733385722,1
"4","lh_cuneus",0.961223655767026,0.964820698697121,0.99736386103112,1
"5","lh_entorhinal",0.866042229390262,0.884036061896983,0.991541275215161,1
"6","lh_fusiform",0.896624184942327,0.907424174748577,0.994425922789806,0.999921220004035
"7","lh_inferiorparietal",0.598701067714942,0.617754099413468,0.996352059375704,1
"8","lh_inferiortemporal",0.797022168577444,0.817918413653235,0.991700099714091,0.999748411162137
"9","lh_isthmuscingulate",0.975632558050447,0.978651321629093,0.996834727119448,0.999817032223758
"10","lh_lateraloccipital",0.860526808060779,0.870398627772004,0.991147246267361,1
"11","lh_lateralorbitofrontal",0.916523829494827,0.927886977787572,0.994799781182533,1
"12","lh_lingual",0.947135277256408,0.953664167527158,0.995319800763418,1
"13","lh_medialorbitofrontal",0.943077306331717,0.948635977386335,0.996619678148622,0.999858237529919
"14","lh_middletemporal",0.505801056895754,0.556765003178115,0.985660706612994,1
"15","lh_parahippocampal",0.961491726653585,0.962832134651323,0.998639765171212,0.999610697834903
"16","lh_paracentral",0.909567318677642,0.916002279177121,0.994537024381178,1
"17","lh_parsopercularis",0.765733659552548,0.777999908255631,0.994609348819499,1
"18","lh_parsorbitalis",0.892128091440654,0.901672798183335,0.99512412917841,1
"19","lh_parstriangularis",0.772977305380627,0.78052553476747,0.999689480423253,1
"20","lh_pericalcarine",0.963588299088763,0.969460941288076,0.994840255867208,1
"21","lh_postcentral",0.900926580518743,0.905793577190393,0.996162726712487,0.999786396146801
"22","lh_posteriorcingulate",0.960907201950054,0.967406476955749,0.99252138075717,0.999416058021188
"23","lh_precentral",0.698274825878614,0.72942438981884,0.989007679488501,0.99978517083935
"24","lh_precuneus",0.916052493925315,0.922600227724989,0.995289763571366,1
"25","lh_rostralanteriorcingulate",0.937124087339415,0.948521938003134,0.994079539351518,1
"26","lh_rostralmiddlefrontal",0.612989906405065,0.629043857783665,0.998543334563189,1
"27","lh_superiorfrontal",0.699273959599982,0.706604617055855,0.994328228807225,1
"28","lh_superiorparietal",0.735590266792431,0.746609954912663,0.996537822602981,0.999874466476124
"29","lh_superiortemporal",0.790733553650557,0.803076099292651,0.994247448643067,0.999575628717634
"30","lh_supramarginal",0.431842532765136,0.487901553203416,0.990517469391772,0.99898935179644
"31","lh_frontalpole",0.862857683631901,0.877743062686255,0.992042587047574,0.999748808091627
"32","lh_temporalpole",0.815589412831381,0.855924577183694,0.986795277654966,1
"33","lh_transversetemporal",0.946400346314354,0.950052441759699,0.997746364483221,1
"34","lh_insula",0.868490721804273,0.897045775609981,0.989722412195547,0.99946426580265
"35","rh_bankssts",0.917639842357128,0.920856084182181,0.997594625937746,1
"36","rh_caudalanteriorcingulate",0.94208413831502,0.947387726838786,0.995075021700769,0.999874999743303
"37","rh_caudalmiddlefrontal",0.527091626714358,0.562964798823567,0.995691590530783,1
"38","rh_cuneus",0.959809339025852,0.964629637910727,0.995666836073534,1
"39","rh_entorhinal",0.872092626586277,0.88685285894144,0.99196332773122,1
"40","rh_fusiform",0.851991110904211,0.864555598383254,0.992775959186639,0.999562113086648
"41","rh_inferiorparietal",0.532479634966001,0.552509845232914,0.995095399278331,0.998839865533589
"42","rh_inferiortemporal",0.761653050068892,0.784415817357078,0.990564109620104,0.999627596244878
"43","rh_isthmuscingulate",0.989092982924711,0.991259440016671,0.998185335412793,1
"44","rh_lateraloccipital",0.833682215370965,0.844399455226179,0.993512617054351,0.999880947237303
"45","rh_lateralorbitofrontal",0.923525632460685,0.937945643816077,0.986748966880631,0.998211384060431
"46","rh_lingual",0.952886215200465,0.957337042386258,0.996971795648243,1
"47","rh_medialorbitofrontal",0.909003304386992,0.915348749527786,0.993127906866196,0.998915532542639
"48","rh_middletemporal",0.503380085849844,0.549406881066183,0.987101043568459,1
"49","rh_parahippocampal",0.949351495973047,0.950372169374577,0.998840486700358,0.999667580381317
"50","rh_paracentral",0.902250555481946,0.909826049124435,0.995113239357359,1
"51","rh_parsopercularis",0.854729820017398,0.858752796252855,0.996968812305211,0.999992617788016
"52","rh_parsorbitalis",0.874535823538772,0.881986742901321,0.995190697556036,0.999458111484219
"53","rh_parstriangularis",0.691759146187726,0.713126225777176,0.994374014903481,0.999495753345812
"54","rh_pericalcarine",0.964012322105047,0.967048037605152,0.997264937143788,1
"55","rh_postcentral",0.947999965830783,0.955200305816347,0.992145898012276,0.999730707979727
"56","rh_posteriorcingulate",0.951277782954643,0.959431545298241,0.992794436184162,1
"57","rh_precentral",0.808806484242289,0.826894836461633,0.986035824602148,0.999802612838551
"58","rh_precuneus",0.905782855084217,0.911943481625623,0.99505794760427,1
"59","rh_rostralanteriorcingulate",0.927158454229368,0.935082484133571,0.997121780142026,1
"60","rh_rostralmiddlefrontal",0.572411384203524,0.602163068005116,0.994968652708629,1
"61","rh_superiorfrontal",0.673993795843009,0.688389136088398,0.993752382493741,1
"62","rh_superiorparietal",0.737080047721232,0.74720842576086,0.997226310950437,1
"63","rh_superiortemporal",0.793347233532874,0.79967054233634,0.996344327676492,0.999985854554042
"64","rh_supramarginal",0.482483356801228,0.534576526983973,0.989583102509016,0.999151870908865
"65","rh_frontalpole",0.85217297226126,0.869555308332849,0.993470275418264,1
"66","rh_temporalpole",0.825685270301631,0.866398921401996,0.978694096787682,0.999759926233436
"67","rh_transversetemporal",0.91166427341782,0.92088642476382,0.993350856764233,0.999817525856326
"68","rh_insula",0.904644263619518,0.923747321097248,0.992608497751037,0.999092788081976
