"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.979476480513261,0.98201950272727,0.99706763501377,0.99903589397482
"2","lh_caudalanteriorcingulate",0.993233123883806,0.99310096278899,0.997765311736401,0.997700629296727
"3","lh_caudalmiddlefrontal",0.684026323393652,0.770772538593586,0.964738418461197,1
"4","lh_cuneus",0.993947049351346,0.994997109542092,0.999466494554369,1
"5","lh_entorhinal",0.97215647732754,0.985842953877315,0.989135809910352,1
"6","lh_fusiform",0.987819261825621,0.989580628492835,0.998327532344597,0.999828994142578
"7","lh_inferiorparietal",0.893114840278354,0.917141165016241,0.986945314191535,1
"8","lh_inferiortemporal",0.94684244524226,0.976920471096197,0.97763599387981,0.999879210332213
"9","lh_isthmuscingulate",0.995956121910316,0.995716557840748,1,1
"10","lh_lateraloccipital",0.978951598115932,0.977831738900493,1,1
"11","lh_lateralorbitofrontal",0.986927997494506,0.999680218093906,0.988990416272656,0.999714057379519
"12","lh_lingual",0.99858232537134,1,0.998808784022168,1
"13","lh_medialorbitofrontal",0.963137265896419,0.97009955187988,0.997892639026292,1
"14","lh_middletemporal",0.964298984159769,0.980731155247771,0.982526179297856,1
"15","lh_parahippocampal",0.99728404121548,0.997617334050819,0.99828038381163,0.998756256708773
"16","lh_paracentral",0.97499567772376,0.978370413893099,0.996416482582604,0.999106462122389
"17","lh_parsopercularis",0.966802696874752,0.98223775284383,0.99034132728983,1
"18","lh_parsorbitalis",0.985978088930781,0.990020147608828,0.996001705732157,0.99974648732863
"19","lh_parstriangularis",0.939551739578227,0.939137515572369,1,1
"20","lh_pericalcarine",0.995092876602328,1,0.994812071458602,1
"21","lh_postcentral",0.977032690836,0.977458217096539,0.997284590791789,0.998868403628253
"22","lh_posteriorcingulate",0.994818869277061,0.997270972996931,0.998091789139593,1
"23","lh_precentral",0.934078498671703,0.944131772195074,0.998166715192669,1
"24","lh_precuneus",0.954356036879789,0.96449978607471,0.995623111398176,1
"25","lh_rostralanteriorcingulate",0.996732907084962,0.995608387941238,1,1
"26","lh_rostralmiddlefrontal",0.856895445756315,0.870053398744581,0.987752302248833,0.998863303554676
"27","lh_superiorfrontal",0.801880603442896,0.831021357308154,0.986989002932641,1
"28","lh_superiorparietal",0.902380156639996,0.914863399459897,0.997015370337644,1
"29","lh_superiortemporal",0.992111557901513,0.99201743906588,0.999877938606437,0.999175609932741
"30","lh_supramarginal",0.806128929279649,0.868912343645905,0.973709383280333,1
"31","lh_frontalpole",0.977715091532752,0.984615942971153,0.993679303211458,0.997226855888199
"32","lh_temporalpole",0.934042838917072,0.953863284548146,0.978623456764387,1
"33","lh_transversetemporal",0.993155818227166,0.995502422256987,0.997795479001222,1
"34","lh_insula",0.976937342667528,0.97552560347403,0.997883714931138,0.996791703430135
"35","rh_bankssts",0.964834415256415,0.972872070637547,0.994466595165843,1
"36","rh_caudalanteriorcingulate",0.998297089142078,1,0.998474337979399,1
"37","rh_caudalmiddlefrontal",0.529197923126259,0.65964974708506,0.975549756484749,0.998903655530427
"38","rh_cuneus",0.99484549630527,0.994340536250497,1,0.999816090794135
"39","rh_entorhinal",0.986619725682751,0.994282615739285,0.993911384140847,1
"40","rh_fusiform",0.95059048617007,0.954960290117056,0.99691243251952,0.999699827249827
"41","rh_inferiorparietal",0.841275690306024,0.843198142873926,0.986681702437057,0.998670241088318
"42","rh_inferiortemporal",0.971143589722486,0.984387756191873,0.989536085696395,1
"43","rh_isthmuscingulate",0.994496769493152,0.99691755210289,0.997496042874037,0.9996926058988
"44","rh_lateraloccipital",0.976357763002064,0.983909985149504,0.998349347463518,1
"45","rh_lateralorbitofrontal",0.975320905393433,0.98938822200783,0.984600678534092,0.995551461581961
"46","rh_lingual",0.998052010590456,1,0.998103444532078,1
"47","rh_medialorbitofrontal",0.982197430160808,0.981515281242067,1,0.999925733897855
"48","rh_middletemporal",0.901333233127113,0.924747995350474,0.980740284115227,1
"49","rh_parahippocampal",0.997911350185756,0.997658788854967,1,0.999699421515554
"50","rh_paracentral",0.977306494768888,0.982116843718263,0.996758265760601,1
"51","rh_parsopercularis",0.913116663135392,0.915694725164383,0.997204119469907,0.999283243768907
"52","rh_parsorbitalis",0.960980512951672,0.964818200148077,0.997380932375223,0.99937317812615
"53","rh_parstriangularis",0.855518498899321,0.901843793852518,0.986254521542608,0.999548149854194
"54","rh_pericalcarine",0.990019890742632,0.994633289853845,0.996721961058419,1
"55","rh_postcentral",0.994245458245135,0.995769001422359,0.999788096572339,1
"56","rh_posteriorcingulate",0.983489400773501,0.986982418034822,0.996435110882099,1
"57","rh_precentral",0.901939942420731,0.927430931528123,0.987543051734382,0.996062624466296
"58","rh_precuneus",0.960277517819122,0.967539777523356,0.99253102847244,0.999088027847358
"59","rh_rostralanteriorcingulate",0.997702886700216,1,0.99798715249669,1
"60","rh_rostralmiddlefrontal",0.807105341710087,0.829549400936519,1,1
"61","rh_superiorfrontal",0.695913168660383,0.772760666177012,0.976755201305463,0.999872830642381
"62","rh_superiorparietal",0.855205758056751,0.877657802484785,1,1
"63","rh_superiortemporal",0.961236605736589,0.971229405670088,0.993045838272923,0.999150583526219
"64","rh_supramarginal",0.786849323152321,0.856045825577938,0.967096720747936,0.997768687280536
"65","rh_frontalpole",0.948466799291387,0.954716731852485,0.998607920551564,1
"66","rh_temporalpole",0.918889663559085,0.935484812427535,0.972249353264545,1
"67","rh_transversetemporal",0.984340529786733,0.993086738020587,0.993447464953042,1
"68","rh_insula",1,1,1,1
