"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.983718047060195,0.984927809177868,0.998795577415374,0.999503377236396
"2","lh_caudalanteriorcingulate",0.987468714961963,0.993354476405288,0.996522051790779,1
"3","lh_caudalmiddlefrontal",0.882599088145285,0.89749163772257,0.983053191641928,1
"4","lh_cuneus",0.990236939020889,0.991616409564321,0.998994074009207,1
"5","lh_entorhinal",0.97632651323037,0.983324032346006,0.998022093134996,1
"6","lh_fusiform",0.972228458753979,0.971454648097484,0.999777272770489,0.999367899034274
"7","lh_inferiorparietal",0.955096194113501,0.963378616916424,0.994457876512932,0.998220531720613
"8","lh_inferiortemporal",0.956920314479212,0.959048897300143,0.99586920363399,0.997111936384431
"9","lh_isthmuscingulate",0.982663930516,0.989528262840549,0.993277006431314,0.999635162761629
"10","lh_lateraloccipital",0.990689497048502,0.991716325441702,1,1
"11","lh_lateralorbitofrontal",0.941214250178535,0.964977232666121,0.983270586256484,1
"12","lh_lingual",0.986411296606225,0.988254803277254,0.999904560000258,1
"13","lh_medialorbitofrontal",0.960391802244051,0.961693862003595,0.994168794530041,0.999335455131756
"14","lh_middletemporal",0.997756800078589,0.998147041451598,1,1
"15","lh_parahippocampal",0.996199992258355,1,0.995693800734594,0.999779315161703
"16","lh_paracentral",0.981399377179691,0.982175900448389,1,1
"17","lh_parsopercularis",0.97145087573492,0.970156334496052,1,1
"18","lh_parsorbitalis",0.955061309164572,0.970188272239124,0.988706669887051,0.998057842982922
"19","lh_parstriangularis",0.955740665409932,0.966246628852193,0.995953507263083,1
"20","lh_pericalcarine",0.983492598149104,0.986130640029175,0.999584775623162,1
"21","lh_postcentral",0.965690593731686,0.968134625573411,0.996645740064815,1
"22","lh_posteriorcingulate",0.971841114762862,0.980560903418364,0.991754011551746,0.998428527598999
"23","lh_precentral",0.889240619683943,0.906150964160782,0.963555793546063,1
"24","lh_precuneus",0.981731943141037,0.987189945071486,0.998609025568171,1
"25","lh_rostralanteriorcingulate",0.977957983454113,0.978752623978731,0.99070506200741,0.992825897037045
"26","lh_rostralmiddlefrontal",0.912734388475537,0.918524269670528,0.997662781386144,1
"27","lh_superiorfrontal",0.958574144642702,0.958796216028468,0.992566372977852,0.99524867427499
"28","lh_superiorparietal",0.979379390734713,0.979202856614024,1,0.999579122190363
"29","lh_superiortemporal",0.964409582717291,0.965453629315471,0.996982571328661,1
"30","lh_supramarginal",0.975541237029931,0.975240397417138,0.996725087737861,0.995709796793086
"31","lh_frontalpole",0.99595767792781,0.99737364918842,1,1
"32","lh_temporalpole",0.956294060027661,0.97047176884719,0.997409320510538,0.998077435485403
"33","lh_transversetemporal",0.986111712426402,0.985214638653963,1,0.999233372751047
"34","lh_insula",0.9449266628799,0.943698316977296,0.981041588624807,0.987745363529467
"35","rh_bankssts",0.991773785897706,0.995196313648474,0.996724772183422,0.999202906550638
"36","rh_caudalanteriorcingulate",0.963008232198385,0.978004731896662,0.982918049688461,0.996633605543765
"37","rh_caudalmiddlefrontal",0.986599553257614,0.988778981972874,0.9963403161651,0.999322781532342
"38","rh_cuneus",0.994802991156104,0.996726634570596,0.998769223485555,1
"39","rh_entorhinal",1,0.999856311467371,1,1
"40","rh_fusiform",0.90193656231158,0.91327364752835,0.999382133794822,1
"41","rh_inferiorparietal",0.985052280703248,0.984697776445761,1,0.999033810429761
"42","rh_inferiortemporal",0.940740214845527,0.94088486954232,1,1
"43","rh_isthmuscingulate",0.993927220313994,0.999634688358947,0.995762650577509,1
"44","rh_lateraloccipital",0.974734900520985,0.976622381418335,0.999627285375798,1
"45","rh_lateralorbitofrontal",0.942017848286662,0.948550108336307,1,0.999394969399409
"46","rh_lingual",0.985641040888498,0.986749806810733,1,1
"47","rh_medialorbitofrontal",0.919853593951516,0.926042673443137,0.988284653442664,0.98655004418471
"48","rh_middletemporal",0.93386488034892,0.933175819963134,0.998941668990523,1
"49","rh_parahippocampal",0.987272816045798,0.990094917688489,0.999330626863762,1
"50","rh_paracentral",0.97580660549668,0.97428131782788,1,1
"51","rh_parsopercularis",0.979786800669261,0.994202389485978,0.989418857180049,1
"52","rh_parsorbitalis",0.955532753562152,0.963372874639439,0.994428891671127,0.99812305032726
"53","rh_parstriangularis",0.950351518463666,0.964899562458274,0.988033929643741,0.997263537407882
"54","rh_pericalcarine",0.998467152858931,1,0.999794342008874,1
"55","rh_postcentral",0.987960246879844,0.996778216422107,0.992449527376129,0.999719591182234
"56","rh_posteriorcingulate",0.965426430187389,0.973561478700052,0.991672777952783,0.998728566169946
"57","rh_precentral",0.943411032319327,0.952897942235304,0.993250226778088,1
"58","rh_precuneus",0.974692511793084,0.974404721675061,0.998571099722445,0.999255037446297
"59","rh_rostralanteriorcingulate",0.996545932392958,0.994839492600398,1,1
"60","rh_rostralmiddlefrontal",0.965092188918839,0.965292608378954,0.997964359932893,0.999829377072476
"61","rh_superiorfrontal",0.968198873173586,0.969688818046515,0.9965228146734,1
"62","rh_superiorparietal",0.995960086202295,0.995737234781446,1,0.999796293382821
"63","rh_superiortemporal",0.910723091922752,0.917548303266474,0.999953701562558,1
"64","rh_supramarginal",0.973395651315993,0.982378340366119,0.995797090574584,1
"65","rh_frontalpole",0.997208181404755,0.999915490869025,0.997450462402053,1
"66","rh_temporalpole",0.974794712068155,1,0.99055702690882,1
"67","rh_transversetemporal",0.951604814333542,0.996626724739276,0.96565707916178,1
"68","rh_insula",0.984492637778052,0.983097364135898,0.984587824241859,0.984934033454964
