"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.954474139730698,0.959556986434359,0.99628181049965,0.999947211825525
"2","lh_caudalanteriorcingulate",0.982783573881719,0.984471707541972,0.998485916426591,1
"3","lh_caudalmiddlefrontal",0.938257886533084,0.943300396120257,0.997943661329654,1
"4","lh_cuneus",0.969802379741085,0.972484973002858,0.997568897788525,1
"5","lh_entorhinal",0.891883865602867,0.905427608345572,0.993927967324493,1
"6","lh_fusiform",0.890278536033,0.903625739546221,0.993383080604871,1
"7","lh_inferiorparietal",0.933879197747646,0.938042963765771,0.998050732701442,1
"8","lh_inferiortemporal",0.940772769254882,0.944897113114846,0.9978075750059,1
"9","lh_isthmuscingulate",0.991262942893152,0.993880922082663,0.997171407257993,0.999773348489214
"10","lh_lateraloccipital",0.916673491895892,0.928893625713481,0.989936859036015,1
"11","lh_lateralorbitofrontal",0.956951494116123,0.963296347098544,0.997738234362056,1
"12","lh_lingual",0.961119570938151,0.968838610617797,0.99393709442037,1
"13","lh_medialorbitofrontal",0.972481373122373,0.97421617099421,0.997960048520829,0.999744206229655
"14","lh_middletemporal",0.917146706669952,0.923983493842378,0.995769005575342,1
"15","lh_parahippocampal",0.986674181551791,0.987379694943196,0.999297389171679,0.99990343521361
"16","lh_paracentral",0.955133432359622,0.959341701846588,0.996481410743855,1
"17","lh_parsopercularis",0.930232154694443,0.935948454807539,0.995178885935716,0.999775715788337
"18","lh_parsorbitalis",0.940318012002698,0.946331065796751,0.997040858909561,1
"19","lh_parstriangularis",0.947083247629776,0.950072718030625,1,1
"20","lh_pericalcarine",0.9574494828389,0.962459413278756,0.995333537994231,1
"21","lh_postcentral",0.95679570178414,0.961100976960784,0.996248898468897,0.999773787618608
"22","lh_posteriorcingulate",0.983658460477275,0.989516802311013,0.993289645377663,0.999241629937581
"23","lh_precentral",0.87887423861918,0.886360261238639,0.996698599460507,0.999451370534265
"24","lh_precuneus",0.942547200483187,0.945841733969446,0.997533131052758,0.999958162124241
"25","lh_rostralanteriorcingulate",0.937279924279176,0.950997753011249,0.991708181763733,1
"26","lh_rostralmiddlefrontal",0.909116895467488,0.910981237221606,0.999769972295601,1
"27","lh_superiorfrontal",0.963393854240042,0.96719070105221,0.997447376841583,1
"28","lh_superiorparietal",0.924318447306853,0.930256845982269,0.996484527201825,0.999768734848923
"29","lh_superiortemporal",0.923342150008957,0.930258722816056,0.994820157421998,0.999495676082412
"30","lh_supramarginal",0.928933812281019,0.932592686437935,0.996969199081979,0.999108815642605
"31","lh_frontalpole",0.942879184335215,0.951573811305259,0.993277601375016,1
"32","lh_temporalpole",0.885256335527393,0.905376495196709,0.992420096900029,1
"33","lh_transversetemporal",0.97691198197862,0.980172170848086,0.997468307741458,1
"34","lh_insula",0.963567274813328,0.972758097006716,0.9934926644824,1
"35","rh_bankssts",0.96557843915175,0.967231509138719,0.998442648951067,1
"36","rh_caudalanteriorcingulate",0.97969265029996,0.983325832525814,0.995606907866431,0.999946355988346
"37","rh_caudalmiddlefrontal",0.953372024895726,0.955532635706096,0.998607353514386,1
"38","rh_cuneus",0.976659845565011,0.978419719559727,0.998223906619445,1
"39","rh_entorhinal",0.917399506589003,0.932977073900661,0.99338211645223,1
"40","rh_fusiform",0.880536774041141,0.888637827619632,0.99633303598117,0.999280929290582
"41","rh_inferiorparietal",0.894751821481504,0.903063728349828,0.995089430394881,0.998826828152945
