"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.99457305338415,0.994409229414941,0.999759207489382,0.999676341200824
"2","lh_caudalanteriorcingulate",0.994288127892118,0.998216419814492,0.996283052572928,1
"3","lh_caudalmiddlefrontal",0.9719490307181,0.972430576350309,0.999642172066086,1
"4","lh_cuneus",0.993945532981674,0.997527993540461,0.99655640050678,1
"5","lh_entorhinal",0.996470501424493,0.997147556154847,0.999400021782391,0.999985069221241
"6","lh_fusiform",0.993396482798252,0.994269779970921,0.999204238623556,1
"7","lh_inferiorparietal",0.987375714660698,0.988000915298768,0.999757782092352,1
"8","lh_inferiortemporal",0.99551701561439,0.99604687652478,0.99983397902133,1
"9","lh_isthmuscingulate",0.996547071485171,0.997928489312472,0.998356649732265,0.999745133784268
"10","lh_lateraloccipital",0.982826983261842,0.98411413164258,0.999087749682712,1
"11","lh_lateralorbitofrontal",0.999133638411389,0.998819608337653,1,1
"12","lh_lingual",0.988546663012054,0.992469363816934,0.996109943704526,1
"13","lh_medialorbitofrontal",0.995887044137388,0.998065279071905,0.997685349613162,1
"14","lh_middletemporal",0.996736017562834,0.998096125355706,0.997902249309476,0.999271911509285
"15","lh_parahippocampal",0.996989637037523,0.996744987774851,0.999672605945056,0.999390853963712
"16","lh_paracentral",0.995135226951404,0.995418228169147,0.999769194738351,1
"17","lh_parsopercularis",0.99566655580072,0.996544880922916,0.999377825627486,1
"18","lh_parsorbitalis",0.994738630625356,0.995876984696673,0.99869101533997,0.99992589248971
"19","lh_parstriangularis",0.997505830653586,0.997954090546036,0.999809377805689,1
"20","lh_pericalcarine",0.994539396819288,0.995395522052854,0.999199602332623,1
"21","lh_postcentral",0.990630369295277,0.994372468143567,0.996064204981397,0.999851256749364
"22","lh_posteriorcingulate",0.995188071191559,0.995275995308176,0.999809954879339,0.999925892845691
"23","lh_precentral",0.97857505253725,0.979785606860204,0.9994334062336,1
"24","lh_precuneus",0.992832450616,0.995000465225613,0.997651362700863,0.99981545188397
"25","lh_rostralanteriorcingulate",0.996456407517601,0.996431089719352,1,1
"26","lh_rostralmiddlefrontal",0.987521555915348,0.988164905051746,1,1
"27","lh_superiorfrontal",0.987113539717137,0.987927170840122,0.99911755286356,0.999976668696672
"28","lh_superiorparietal",0.984490267422258,0.986631266395006,0.998829968951506,1
"29","lh_superiortemporal",0.995966737166054,0.995606076434684,1,0.999901663186191
"30","lh_supramarginal",0.971784028399053,0.974035045685808,0.998270924220693,1
"31","lh_frontalpole",0.993215440001046,0.992480050280859,1,0.999628078728804
"32","lh_temporalpole",0.982592283936292,0.986833546368453,0.996870219315417,1
"33","lh_transversetemporal",0.997884952533242,0.999588314762357,0.998293234857274,0.999958962263123
"34","lh_insula",0.993594780765101,0.996416972751367,0.996777701398263,1
"35","rh_bankssts",0.991822073830988,0.995318159516697,0.996376984940114,0.999969958795194
"36","rh_caudalanteriorcingulate",0.986833237973515,0.988219666771865,0.998864680743526,1
"37","rh_caudalmiddlefrontal",0.985566501087657,0.986049972560839,0.999519124744296,0.999828744161926
"38","rh_cuneus",0.985430794245097,0.991534151785692,0.993012114683435,0.999156737793735
"39","rh_entorhinal",0.996778098745769,0.998318639737101,0.997367461543701,0.998709354581124
"40","rh_fusiform",0.980178743489569,0.980346000136666,0.999654273692823,0.999759342206325
"41","rh_inferiorparietal",0.986039680872443,0.990365533181717,0.995855494962706,1
"42","rh_inferiortemporal",0.993535917065854,0.9940512304603,0.999611079258066,1
"43","rh_isthmuscingulate",0.997688410527894,0.999338662211059,0.998583176126218,1
"44","rh_lateraloccipital",0.989807585208325,0.991243048332454,0.998804925451495,0.999989128719926
"45","rh_lateralorbitofrontal",0.997848661172696,0.997665182394882,1,1
"46","rh_lingual",0.977275825397678,0.980672612878441,0.996834026517635,1
"47","rh_medialorbitofrontal",0.995446110165103,0.995585119936158,0.999135568221747,0.999188116848898
"48","rh_middletemporal",0.987055514766634,0.989965957760039,0.997442064550298,1
"49","rh_parahippocampal",0.997584759254016,0.999002730055562,0.998219903864969,0.999471040526235
"50","rh_paracentral",0.985171169891386,0.986268587813212,0.998874001099457,0.999814599966228
"51","rh_parsopercularis",0.958048584734346,0.958661786728694,1,1
"52","rh_parsorbitalis",0.990377355632788,0.990834344745336,0.999786209995123,1
"53","rh_parstriangularis",0.980606370827035,0.981570674743952,0.998631864515806,0.999410843724465
"54","rh_pericalcarine",0.997085736781094,0.999626804982234,0.997802402002968,1
"55","rh_postcentral",0.972346052565537,0.975555025904706,0.997214590973133,1
"56","rh_posteriorcingulate",0.990531893715889,0.991174295049189,0.999760843100579,1
"57","rh_precentral",0.992393166388218,0.993126388683072,0.999534636485979,1
"58","rh_precuneus",0.976117281080769,0.977000080469668,0.998852128978508,0.999605647607331
"59","rh_rostralanteriorcingulate",0.995789577365766,0.995929084266376,0.999366780010779,0.999561025887039
"60","rh_rostralmiddlefrontal",0.984017337151689,0.983959350152656,1,1
"61","rh_superiorfrontal",0.988332270718949,0.98839012937258,1,1
"62","rh_superiorparietal",0.984256778013959,0.985913900131693,0.997642707438253,0.999763129020496
"63","rh_superiortemporal",0.995082556230922,0.99698575153157,0.998396636363769,1
"64","rh_supramarginal",0.991387955932243,0.992294572708869,0.998940129372682,0.999838920661638
