"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.985976079739086,0.988223977028745,0.996417336951709,0.998849035818043
"2","lh_caudalanteriorcingulate",0.997008548095144,0.997141290163152,1,1
"3","lh_caudalmiddlefrontal",0.99834486038407,0.999449542545614,0.9993819605211,1
"4","lh_cuneus",0.995487551960961,0.997740060039103,0.998105824172383,1
"5","lh_entorhinal",0.982044584126406,0.992666347195004,0.992026712079389,1
"6","lh_fusiform",1,1,1,1
"7","lh_inferiorparietal",0.994196350160455,0.993895463133951,1,0.999801975525596
"8","lh_inferiortemporal",0.992081166072515,0.993453141948477,0.998090569659465,0.99936509460515
"9","lh_isthmuscingulate",0.966453676879113,0.966068032095582,1,1
"10","lh_lateraloccipital",0.99315923429396,0.99496570853535,0.998494439450456,1
"11","lh_lateralorbitofrontal",0.972185808461444,0.975960711502655,0.994915705512613,0.999434251662729
"12","lh_lingual",0.998469353504161,0.99867864413341,0.999732671594742,0.999942176209917
"13","lh_medialorbitofrontal",0.976075729734485,0.982097565119733,0.993433292823464,0.999930924461132
"14","lh_middletemporal",0.97409100899634,0.978632749651094,0.995584322083884,0.999940082763263
"15","lh_parahippocampal",0.989746767136166,0.992509644143657,0.997447039806226,0.999899363011421
"16","lh_paracentral",0.997842880585432,0.997390843313928,1,1
"17","lh_parsopercularis",0.993083875079809,0.993865415654655,0.999396088824246,1
"18","lh_parsorbitalis",0.976073725363074,0.977875916546922,0.998698686952551,0.999979252479025
"19","lh_parstriangularis",0.981504876541987,0.987446357425039,0.994985422592996,1
"20","lh_pericalcarine",0.998520602142301,0.998274541286311,1,0.999930672060707
"21","lh_postcentral",0.987596429768765,0.989450604950267,0.998547751391001,1
"22","lh_posteriorcingulate",0.996820144685542,0.997743312469092,0.999395903692663,1
"23","lh_precentral",0.981701333309353,0.982568202731864,0.999941441833595,1
"24","lh_precuneus",0.980965619866426,0.98137026460674,0.99897059109791,0.999230190568632
"25","lh_rostralanteriorcingulate",0.989233158079717,0.990838937412543,0.996155665624239,0.998354382379048
"26","lh_rostralmiddlefrontal",0.991278044853194,0.99073190353795,1,1
"27","lh_superiorfrontal",0.985355870511285,0.985875481435883,0.997872488569393,0.998585534751422
"28","lh_superiorparietal",0.993279501396354,0.993079998757858,1,1
"29","lh_superiortemporal",0.991506529364488,0.991248840775178,1,1
"30","lh_supramarginal",0.979172377312883,0.980286518971823,0.999441764769871,1
"31","lh_frontalpole",0.957317538907948,0.959483940428966,1,1
"32","lh_temporalpole",0.97696281451508,0.981549893664561,0.997554819204971,1
"33","lh_transversetemporal",0.997289093669417,0.998254009018503,0.999582686775835,1
"34","lh_insula",0.991987754449036,0.992440079655873,0.999953653194619,1
"35","rh_bankssts",0.991145408244546,0.999367034021667,0.992319041342521,1
"36","rh_caudalanteriorcingulate",0.990398847776493,0.99291131989262,0.997461621979252,1
"37","rh_caudalmiddlefrontal",0.993694442928359,0.995787043615944,0.998645210169145,1
"38","rh_cuneus",0.9784576109444,0.981092362806099,0.99826489406107,1
"39","rh_entorhinal",0.995133080584558,0.996614237920834,1,1
"40","rh_fusiform",0.973687768657433,0.973180689159367,1,1
"41","rh_inferiorparietal",0.98567181015355,0.986155763924817,1,1
"42","rh_inferiortemporal",0.948830376613986,0.951513616877857,0.997952761353112,0.99982905106311
"43","rh_isthmuscingulate",0.96846333048481,0.969207999459733,0.999283941162975,1
"44","rh_lateraloccipital",0.996757148971757,0.997083774927963,0.999577054085595,0.999851534512336
"45","rh_lateralorbitofrontal",0.953641648328805,0.958545028815286,0.992002861892104,1
"46","rh_lingual",0.996375468849169,0.99670483748192,0.999576258514103,0.999920999532881
"47","rh_medialorbitofrontal",0.995233678790768,0.995975262754975,1,1
"48","rh_middletemporal",0.942254736834828,0.945903186365913,0.996928362531212,0.99985190524429
"49","rh_parahippocampal",0.997742661042178,0.998163650185374,0.99802121591831,0.998315630797267
"50","rh_paracentral",0.995370250277407,0.994757937197357,1,0.999648493561024
"51","rh_parsopercularis",0.99649589148406,0.998745055668333,0.998105043727613,1
"52","rh_parsorbitalis",0.997422457804246,0.999506801593087,0.998170754606764,1
"53","rh_parstriangularis",0.994721871632799,0.996996302486209,0.997578966023866,1
"54","rh_pericalcarine",0.998009306915595,0.998603782443844,0.999153053980208,0.999665373322408
"55","rh_postcentral",0.987445711998326,0.993527922003812,0.99327259387312,0.999285947316284
"56","rh_posteriorcingulate",0.981765747404338,0.990531762278266,0.991042991933341,0.999341525782117
"57","rh_precentral",0.971426158307538,0.971123689508347,1,1
"58","rh_precuneus",0.983380809608982,0.984019409328536,0.998921596804779,0.999593740743653
"59","rh_rostralanteriorcingulate",0.989498367690221,0.989740158827731,1,1
"60","rh_rostralmiddlefrontal",0.993483653714391,0.994721530212096,0.997990121600466,0.99890360852169
"61","rh_superiorfrontal",0.993563360361465,0.995569187955527,0.998123671712809,1
"62","rh_superiorparietal",0.990050731720838,0.992427638277714,0.998133372018741,1
"63","rh_superiortemporal",0.981573386010611,0.981843739385471,1,1
"64","rh_supramarginal",0.985682940401743,0.987926266586406,0.997285768932075,0.999347016692287
"65","rh_frontalpole",0.958957476112383,0.966583342477921,0.99910518972087,1
"66","rh_temporalpole",0.989874653988042,0.988301027985284,1,1
"67","rh_transversetemporal",0.98472806365246,0.991413859703718,0.993587376877272,1
"68","rh_insula",0.995464912219896,0.994885197357372,1,1
