"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.924466626510043,0.927874274674916,0.996894501527674,1
"2","lh_caudalanteriorcingulate",0.980641810675743,0.984358778207296,0.99654516722838,1
"3","lh_caudalmiddlefrontal",0.865002231507456,0.86612413138246,0.999314607770061,0.999897857034329
"4","lh_cuneus",0.977165240320788,0.978776248113451,0.998527849656391,1
"5","lh_entorhinal",0.981996193778351,0.983463669178134,0.998339365000107,1
"6","lh_fusiform",0.976278419483741,0.97753175240378,0.998690615037983,0.999906414288647
"7","lh_inferiorparietal",0.851664496855534,0.853432573594824,0.998683072714363,1
"8","lh_inferiortemporal",0.930016485999619,0.93131238742062,0.998919419568346,1
"9","lh_isthmuscingulate",0.912333414078332,0.914555572110417,0.997568255516297,0.999958666404923
"10","lh_lateraloccipital",0.927251716521926,0.928250734756766,0.999142146759173,1
"11","lh_lateralorbitofrontal",0.957125387082936,0.959221307791069,0.997302615935987,0.999665324113658
"12","lh_lingual",0.952676187040833,0.954232168814474,0.998324991767375,0.999803277444951
"13","lh_medialorbitofrontal",0.987151814494626,0.989834794004038,0.997563434836424,0.999837943679127
"14","lh_middletemporal",0.819200832935588,0.820641047383005,0.99910031947213,0.999961808472265
"15","lh_parahippocampal",0.987541952005532,0.990384029806446,0.996842255399686,0.999762561983346
"16","lh_paracentral",0.943781088118567,0.947831398015957,0.996133055501625,1
"17","lh_parsopercularis",0.916865117338295,0.918835019594833,0.998199406368946,1
"18","lh_parsorbitalis",0.975957330875022,0.977291455069454,0.998943282339428,1
"19","lh_parstriangularis",0.943145785366703,0.944218502114459,0.998937669261484,0.999870705632042
"20","lh_pericalcarine",0.963143339119936,0.964669577051946,0.998119176950055,0.999608385156432
"21","lh_postcentral",0.891685963638028,0.893829816507845,0.99815060241283,1
"22","lh_posteriorcingulate",0.919527389872085,0.922240872204576,0.997603271941363,1
"23","lh_precentral",0.816207870355193,0.818764294771446,0.998768277110613,1
"24","lh_precuneus",0.966319144129014,0.967804515388073,0.998564897179614,1
"25","lh_rostralanteriorcingulate",0.988181758199292,0.989834122932753,0.998479002027049,1
"26","lh_rostralmiddlefrontal",0.903010833072939,0.903957384554875,0.999262155112483,0.99999782836541
