"","region","m_constrained","m_e_constrained","m_time_constrained","m_unconstrained"
"1","lh_bankssts",0.99620971192902,0.996537122273061,1,1
"2","lh_caudalanteriorcingulate",0.994342360686617,0.999699786285982,0.994687196177896,1
"3","lh_caudalmiddlefrontal",0.951551337340702,0.953055671906409,0.997419634156066,0.998222973790614
"4","lh_cuneus",0.989691810538628,0.989876571097748,1,1
"5","lh_entorhinal",0.971948359908696,0.971979512925923,0.999852817992997,1
"6","lh_fusiform",0.997374756282909,0.998287030598369,0.999058958330028,0.999971737563362
"7","lh_inferiorparietal",0.987974161239109,0.99165010939154,0.997328554855891,1
"8","lh_inferiortemporal",0.996070521286435,0.99705618859389,0.99899016182182,0.999964593004153
"9","lh_isthmuscingulate",0.991854476644109,0.995018233904238,0.996977931500161,1
"10","lh_lateraloccipital",0.990009592857369,0.991331059016231,0.998608809961123,0.999821054372932
"11","lh_lateralorbitofrontal",0.994965636695142,0.995438586596685,0.99971795228911,1
"12","lh_lingual",0.972637039070263,0.975534796922076,0.996955503686861,0.999787824674979
"13","lh_medialorbitofrontal",0.998183311208993,0.99825451159717,0.999418671339889,0.999351023448492
"14","lh_middletemporal",0.998497193921489,0.998679809084368,0.999769655323249,0.99988470344372
"15","lh_parahippocampal",0.992475612964807,0.994242218165954,0.998026547940572,0.99948008866222
"16","lh_paracentral",0.973412299031595,0.974362759889887,0.998472885956521,0.999514919734409
"17","lh_parsopercularis",0.999030672338654,0.998615158417785,1,1
"18","lh_parsorbitalis",0.995404343376409,0.995570845095659,1,1
"19","lh_parstriangularis",0.992221406177675,0.992059434514341,1,1
"20","lh_pericalcarine",0.988531207571383,0.989069157747612,0.999219286688342,0.999666385095598
"21","lh_postcentral",0.990579877996591,0.992628311067026,0.998119827981211,1
"22","lh_posteriorcingulate",0.999203317269165,1,0.999341108947371,1
"23","lh_precentral",0.939288020086434,0.942079536123583,0.998242325627135,0.999684202603195
"24","lh_precuneus",0.983561196816998,0.984406830767764,0.999432970982063,1
"25","lh_rostralanteriorcingulate",0.999081036433834,0.999042928058427,1,1
"26","lh_rostralmiddlefrontal",0.9848517093865,0.984924140208858,1,0.999881544569176
"27","lh_superiorfrontal",0.960587093181996,0.963271293754245,0.99755374707729,0.999756167250323
"28","lh_superiorparietal",0.972217134830642,0.977696319370228,0.995566695977164,1
"29","lh_superiortemporal",0.99529531449371,0.996406226851967,0.99837020861207,0.999588811573101
"30","lh_supramarginal",0.98067606639896,0.982836014454376,0.998241598657508,0.999871972988111
"31","lh_frontalpole",0.99958488215464,1,0.999469975670626,1
"32","lh_temporalpole",0.994643826054018,0.997032005229369,0.997876697233107,1
"33","lh_transversetemporal",0.997550264126518,0.999568201622467,0.997471761919602,0.999452863796513
"34","lh_insula",0.988456964922757,0.995574045641656,0.992152287335922,0.999793295440085
"35","rh_bankssts",0.983240412391526,0.986460989127364,0.997562967749639,1
"36","rh_caudalanteriorcingulate",0.995342564736075,0.995809459355989,0.999375182637383,0.999815748861363
"37","rh_caudalmiddlefrontal",0.96094709763894,0.969132240679209,0.993504735690123,0.999196775293776
"38","rh_cuneus",0.991387079005332,0.992794071994325,0.998499536689376,0.999880817910892
"39","rh_entorhinal",0.998498017680871,0.998314569918506,1,0.999939088628339
"40","rh_fusiform",0.995586106418115,0.995263964862022,1,1
"41","rh_inferiorparietal",0.976615378147592,0.981036702520009,0.995721365698652,0.999987648844649
