"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-46805.3462927452,NA,-46714.3336894243,NA,4.52494435472739,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-46807.4282290553,-2.0819363101109,-46731.5843929546,-17.2507035302624,6.44300804461982,1.91806368989243,0.383263765163038,"nonsig"
"3","timecon_v_con","lh_bankssts",-45450.494316913,1356.93391214233,-45389.8192480324,1341.76514492218,1367.37692018695,1360.93391214233,2.99885771673257e-296,"sig"
"5","uncon_v_errcon","lh_bankssts",-45464.5000686506,1340.84622409465,-45388.6562325498,1325.67745687449,1349.37116844941,1344.84622409468,9.34013027217526e-293,"sig"
"6","errcon_v_con","lh_bankssts",-45450.494316913,14.0057517375753,-45389.8192480324,-1.16301548257616,1367.37692018695,18.0057517375421,0.000123055403534063,"sig"
"8","uncon_v_con","lh_bankssts",-45450.494316913,1354.85197583222,-45389.8192480324,1324.51444139192,1367.37692018695,1362.85197583223,7.8434869749982e-294,"sig"
"11","uncon","lh_caudalanteriorcingulate",-34558.1763814856,NA,-34467.1637781647,NA,0.557358699143993,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-34517.7028025183,40.4735789672923,-34441.8589664176,25.3048117471408,45.0309376664439,44.4735789672999,2.20132939053036e-10,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-34107.0362349964,410.666567521985,-34046.3611661158,395.497800301833,459.697505188416,414.666567521973,9.04271717296456e-91,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-34148.4315585887,409.744822896937,-34072.5877224879,394.576055676785,414.30218159608,413.744822896936,1.43368337738609e-90,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-34107.0362349964,41.39532359234,-34046.3611661158,26.2265563721885,459.697505188416,45.3953235923369,1.38845155053645e-10,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-34107.0362349964,451.140146489277,-34046.3611661158,420.802612048974,459.697505188416,459.140146489272,4.58972766659814e-98,"sig"
"12","uncon","lh_caudalmiddlefrontal",-51350.3092657964,NA,-51259.2966624755,NA,1.33242224412329,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-51352.2496855463,-1.94041974988068,-51276.4058494456,-17.1091869700322,3.39200249423698,2.05958025011369,0.357081895247884,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",-46986.0225018314,4366.22718371497,-46925.3474329508,4351.05841649482,4373.6191862092,4370.22718371496,0,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",-47151.1153746488,4199.19389114763,-47075.2715385481,4184.02512392748,4204.52631339175,4203.19389114763,0,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",-46986.0225018314,165.092872817455,-46925.3474329508,149.924105597303,4373.6191862092,169.092872817451,1.91403203875872e-37,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",-46986.0225018314,4364.28676396509,-46925.3474329508,4333.94922952478,4373.6191862092,4372.28676396508,0,"sig"
"13","uncon","lh_cuneus",-55124.3329073254,NA,-55033.3203040045,NA,1.91567632645542,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-55108.4122285039,15.9206788214942,-55032.5683924031,0.751911601342726,21.8363551479369,19.9206788214815,4.72367006796699e-05,"sig"
"33","timecon_v_con","lh_cuneus",-54797.7915217523,310.620706751557,-54737.1164528717,295.451939531406,336.457061899518,314.620706751581,4.79713104757222e-69,"sig"
"53","uncon_v_errcon","lh_cuneus",-54826.6382994347,297.694607890706,-54750.7944633339,282.525840670554,303.610284217163,301.694607890708,3.07502241988988e-66,"sig"
"63","errcon_v_con","lh_cuneus",-54797.7915217523,28.8467776823454,-54737.1164528717,13.6780104621939,336.457061899518,32.8467776823548,7.36907288706654e-08,"sig"
"83","uncon_v_con","lh_cuneus",-54797.7915217523,326.541385573051,-54737.1164528717,296.203851132748,336.457061899518,334.541385573063,3.81302472533701e-71,"sig"
"14","uncon","lh_entorhinal",-2520.52389883732,NA,-2429.51129551641,NA,0.838966183504806,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",-2513.73932668993,6.78457214739319,-2437.89549058917,-8.38419507275876,11.623538330909,10.7845721474042,0.00455155624012352,"sig"
"34","timecon_v_con","lh_entorhinal",-2026.56981666612,487.169510023808,-1965.89474778551,472.000742803656,502.793048354715,491.169510023806,2.20747634668459e-107,"sig"
"54","uncon_v_errcon","lh_entorhinal",-2065.69633359407,454.827565243251,-1989.85249749331,439.658798023099,459.666531426761,458.827565243256,2.3273416134453e-100,"sig"
