"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-9915.25937772548,NA,-9789.73148362821,NA,8.34381456072568,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-9912.43285366967,2.82652405580666,-9812.01053839186,-22.2790547636469,19.1703386165333,10.8265240558076,0.0285844049968348,"sig"
"3","timecon_v_con","lh_bankssts",-9855.42134972455,57.011503945123,-9780.10461326619,31.9059251256713,84.1818425616538,65.0115039451205,2.55888434592239e-13,"sig"
"5","uncon_v_errcon","lh_bankssts",-9860.24132852913,55.0180491963511,-9759.81901325132,29.9124703768975,71.3618637570748,63.0180491963491,6.72679861303603e-13,"sig"
"6","errcon_v_con","lh_bankssts",-9855.42134972455,4.81997880457857,-9780.10461326619,-20.2856000148731,84.1818425616538,12.819978804579,0.0121897433095356,"sig"
"8","uncon_v_con","lh_bankssts",-9855.42134972455,59.8380280009296,-9780.10461326619,9.62687036202442,84.1818425616538,75.8380280009281,3.35111796959013e-13,"sig"
"11","uncon","lh_caudalanteriorcingulate",-9879.51117280664,NA,-9753.98327870938,NA,15.9854768281585,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-9883.82019972484,-4.30902691819574,-9783.39788444703,-29.4146057376493,19.6764499099625,3.69097308180398,0.44944019946834,"nonsig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-9866.16721242502,17.6529872998162,-9790.85047596666,-7.45259151963546,45.3294372097776,25.6529872998151,3.71737731359256e-05,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-9861.53579938553,17.9753734211172,-9761.11348410771,-7.13020539833633,41.9608502492758,25.9753734211173,3.20084928561392e-05,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-9866.16721242502,-4.63141303949669,-9790.85047596666,-29.7369918589484,45.3294372097776,3.36858696050183,0.498139100461703,"nonsig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-9866.16721242502,13.3439603816205,-9790.85047596666,-36.8671972572847,45.3294372097776,29.3439603816191,0.000275902564876533,"sig"
"12","uncon","lh_caudalmiddlefrontal",-9101.82222003316,NA,-8976.2943259359,NA,3.64060334563588,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-9057.8535909197,43.9686291134676,-8957.43127564188,18.8630502940141,55.6092324591064,51.9686291134705,1.40044791964491e-10,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",-8690.80457036773,367.049020551964,-8615.48783390937,341.943441732512,430.658253011068,375.049020551961,6.83136966422387e-80,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",-8801.46688364918,300.355336383986,-8701.04456837137,275.249757564532,311.995939729624,308.355336383989,1.70733480230625e-65,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",-8690.80457036773,110.662313281446,-8615.48783390937,85.556734461994,430.658253011068,118.662313281443,1.03121142850387e-24,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",-8690.80457036773,411.017649665431,-8615.48783390937,360.806492026526,430.658253011068,427.017649665432,3.09391358941037e-87,"sig"
"13","uncon","lh_cuneus",-14524.0246632627,NA,-14398.4967691654,NA,2.7047575874555,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-14523.1505623022,0.874100960498254,-14422.7282470243,-24.2314778589553,11.5788585479486,8.87410096049307,0.0643245602285716,"nonsig"
"33","timecon_v_con","lh_cuneus",-14500.4706688572,22.6798934449944,-14425.1539323988,-2.42568537445732,42.2587519929436,30.679893444995,3.55792199203467e-06,"sig"
