"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-5386.88351848499,NA,-5321.16584991102,NA,4.10732854922886,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-5387.30532472023,-0.421806235242002,-5332.54060090859,-11.3747509975701,7.6855223139869,3.57819376475805,0.167111022446917,"nonsig"
"3","timecon_v_con","lh_bankssts",-5355.68668893117,31.6186357890629,-5311.87490988186,20.6656910267357,43.3041581030489,35.618635789062,1.84294133959571e-08,"sig"
"5","uncon_v_errcon","lh_bankssts",-5356.38411689632,30.4994015886705,-5301.61939308468,19.5464568263424,38.6067301378993,34.4994015886705,3.22515157652825e-08,"sig"
"6","errcon_v_con","lh_bankssts",-5355.68668893117,0.697427965150382,-5311.87490988186,-10.2555167971768,43.3041581030489,4.6974279651496,0.0954918875165093,"nonsig"
"8","uncon_v_con","lh_bankssts",-5355.68668893117,31.1968295538209,-5311.87490988186,9.29094002916554,43.3041581030489,39.1968295538201,6.34381350796465e-08,"sig"
"11","uncon","lh_caudalanteriorcingulate",-3057.85853662307,NA,-2992.1408680491,NA,0.536827122071895,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-3051.83944145641,6.01909516665319,-2997.07471764477,-4.93384959567447,10.5559222887275,10.0190951666556,0.00667392201693564,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-3039.37699611545,12.4624453409679,-2995.56521706613,1.50950057863975,27.018367629694,16.4624453409665,0.000266210643293395,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-3046.77933083176,11.0792057913068,-2992.01460702012,0.126261028979116,15.6160329133801,15.0792057913082,0.000531608684007364,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-3039.37699611545,7.40233471631427,-2995.56521706613,-3.55061004601384,27.018367629694,11.4023347163139,0.00334206179633021,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-3039.37699611545,18.481540507621,-2995.56521706613,-3.42434901703473,27.018367629694,26.4815405076221,2.53011360916027e-05,"sig"
"12","uncon","lh_caudalmiddlefrontal",-5474.80482127071,NA,-5409.08715269674,NA,0.458345833591604,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-5456.84115482145,17.9636664492537,-5402.07643100981,7.01072168692554,22.4220122828477,21.9636664492561,1.70078896479743e-05,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",-5355.57022686838,101.27092795307,-5311.75844781907,90.3179831907428,127.692940235918,105.27092795307,1.3826378530628e-23,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",-5368.88037708524,105.924444185467,-5314.1156532736,94.971499423139,110.382790019061,109.92444418547,1.34961604261875e-24,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",-5355.57022686838,13.3101502168565,-5311.75844781907,2.35720545452932,127.692940235918,17.310150216857,0.000174240311951057,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",-5355.57022686838,119.234594402324,-5311.75844781907,97.3287048776683,127.692940235918,127.234594402327,1.51952433770241e-26,"sig"
"13","uncon","lh_cuneus",-5642.87204976008,NA,-5577.15438118612,NA,2.85059014192723,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-5642.70859070909,0.163459050988422,-5587.94386689746,-10.7894857113397,7.01404919291445,4.16345905098722,0.124714328953265,"nonsig"
"33","timecon_v_con","lh_cuneus",-5627.17519280817,15.5333979009283,-5583.36341375885,4.58045313860111,26.5474470938436,19.5333979009292,5.73292868524523e-05,"sig"
"53","uncon_v_errcon","lh_cuneus",-5627.93714702754,14.9349027325425,-5573.1724232159,3.98195797021435,21.785492874471,18.9349027325437,7.7328237906893e-05,"sig"
"63","errcon_v_con","lh_cuneus",-5627.17519280817,0.761954219374275,-5583.36341375885,-10.1909905429529,26.5474470938436,4.76195421937267,0.0924601896112196,"nonsig"
"83","uncon_v_con","lh_cuneus",-5627.17519280817,15.6968569519167,-5583.36341375885,-6.20903257273858,26.5474470938436,23.6968569519164,9.18634824216452e-05,"sig"
"14","uncon","lh_entorhinal",1056.43573311459,NA,1122.15340168856,NA,1.40307274055325,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",1057.20519058627,0.769457471682472,1111.96991439791,-10.1834872906454,6.17253021223585,4.7694574716826,0.0921139634073076,"nonsig"
"34","timecon_v_con","lh_entorhinal",1068.06662676421,10.8614361779391,1111.87840581352,-0.0915085843885208,21.0339663901733,14.8614361779374,0.000592761703401206,"sig"
"54","uncon_v_errcon","lh_entorhinal",1065.91840183059,9.48266871600435,1120.68312564223,-1.47027604632353,14.8857414565559,13.4826687160026,0.00118107013430956,"sig"
"64","errcon_v_con","lh_entorhinal",1068.06662676421,2.14822493361726,1111.87840581352,-8.8047198287104,21.0339663901733,6.14822493361736,0.0462306414074822,"sig"
"84","uncon_v_con","lh_entorhinal",1068.06662676421,11.6308936496216,1111.87840581352,-10.2749958750339,21.0339663901733,19.63089364962,0.000590541024259333,"sig"
"15","uncon","lh_fusiform",-6305.23381642955,NA,-6239.51614785559,NA,3.782535239334,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",-6307.74061738702,-2.50680095746338,-6252.97589357538,-13.4597457197915,5.27573428186633,1.49319904253233,0.47397555930404,"nonsig"
"35","timecon_v_con","lh_fusiform",-6275.63543650817,32.1051808788461,-6231.82365745886,21.1522361165189,41.3809151607164,36.1051808788501,1.44497252064272e-08,"sig"
"55","uncon_v_errcon","lh_fusiform",-6272.67746596215,32.5563504674092,-6217.91274215051,21.6034057050811,40.3388857067414,36.5563504674074,1.15315943513509e-08,"sig"
"65","errcon_v_con","lh_fusiform",-6275.63543650817,-2.95797054602644,-6231.82365745886,-13.9109153083537,41.3809151607164,1.04202945397498,0.593917577902289,"nonsig"
"85","uncon_v_con","lh_fusiform",-6275.63543650817,29.5983799213827,-6231.82365745886,7.69249039672741,41.3809151607164,37.5983799213824,1.35601020602165e-07,"sig"
"16","uncon","lh_inferiorparietal",-6696.44585728542,NA,-6630.72818871145,NA,5.42990694468831,NA,NA,NA
"26","uncon_v_timecon","lh_inferiorparietal",-6693.30786065714,3.13799662827387,-6638.5431368455,-7.81494813405425,12.5679035729632,7.13799662827494,0.0281840711310305,"sig"
"36","timecon_v_con","lh_inferiorparietal",-6641.55853198131,51.7493286758327,-6597.746752932,40.7963839135055,68.3172322487969,55.7493286758337,7.8376721529444e-13,"sig"
"56","uncon_v_errcon","lh_inferiorparietal",-6650.86838050224,45.5774767831763,-6596.1036566906,34.6245320208482,55.0073837278673,49.577476783179,1.71548807393455e-11,"sig"
"66","errcon_v_con","lh_inferiorparietal",-6641.55853198131,9.30984852093025,-6597.746752932,-1.64309624139696,68.3172322487969,13.3098485209296,0.00128766566679559,"sig"
"86","uncon_v_con","lh_inferiorparietal",-6641.55853198131,54.8873253041065,-6597.746752932,32.9814357794512,68.3172322487969,62.8873253041086,7.16672427760836e-13,"sig"
"17","uncon","lh_inferiortemporal",-5958.36038759714,NA,-5892.64271902318,NA,6.71747797027604,NA,NA,NA
"27","uncon_v_timecon","lh_inferiortemporal",-5958.76075814376,-0.400370546618433,-5903.99603433212,-11.3533153089465,10.3171074236576,3.5996294533816,0.165329516530831,"nonsig"
"37","timecon_v_con","lh_inferiortemporal",-5910.62625396628,48.1345041774821,-5866.81447491697,37.1815594151549,62.4516116011412,52.1345041774836,4.77679121516772e-12,"sig"
"57","uncon_v_errcon","lh_inferiortemporal",-5911.36613812328,46.9942494738598,-5856.60141431165,36.0413047115317,57.7117274441375,50.9942494738615,8.4477182810799e-12,"sig"
