"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-32179.796460959,NA,-31811.2702688662,NA,13.7584215078576,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-32139.1346815333,40.6617794257654,-31855.652995308,-44.3827264418142,78.4202009336197,64.661779425762,3.14823095252604e-09,"sig"
"3","timecon_v_con","lh_bankssts",-31550.4729420405,588.661739492767,-31352.0357616828,503.617233625188,691.081940426395,612.661739492776,2.09454449578799e-123,"sig"
"5","uncon_v_errcon","lh_bankssts",-31611.4995298997,568.296931059365,-31328.0178436744,483.252425191786,606.055352567226,592.296931059369,4.67833509849497e-119,"sig"
"6","errcon_v_con","lh_bankssts",-31550.4729420405,61.0265878591672,-31352.0357616828,-24.0179180084124,691.081940426395,85.026587859169,4.49818881729166e-13,"sig"
"8","uncon_v_con","lh_bankssts",-31550.4729420405,629.323518918532,-31352.0357616828,459.234507183373,691.081940426395,677.323518918538,1.45089126542028e-127,"sig"
"11","uncon","lh_caudalanteriorcingulate",-21822.3739505325,NA,-21453.8477584396,NA,11.2111515149741,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-21812.8141000845,9.55985044796398,-21529.3324138592,-75.4846554196192,44.7710019629337,33.5598504479596,0.000791150897182833,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-21619.7718879308,193.042212153679,-21421.3347075731,107.9977062861,261.813214116618,217.042212153684,9.74000051317883e-40,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-21629.8156472693,192.558303263184,-21346.333961044,107.513797395601,227.769454778156,216.558303263182,1.22698026398247e-39,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-21619.7718879308,10.0437593384595,-21421.3347075731,-75.0007465291201,261.813214116618,34.043759338462,0.000663906186996412,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-21619.7718879308,202.602062601643,-21421.3347075731,32.5130508664806,261.813214116618,250.602062601644,1.25413620665344e-39,"sig"
"12","uncon","lh_caudalmiddlefrontal",-37954.7140277313,NA,-37586.1878356385,NA,6.76956557256864,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-37937.1272741409,17.586753590389,-37653.6455879156,-67.457752277187,48.3563191629596,41.5867535903909,3.90796971164059e-05,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",-37271.2039214656,665.923352675367,-37072.7667411079,580.878846807784,738.279671838333,689.923352675374,6.32474049499682e-140,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",-37316.4777864172,638.236241314095,-37032.9961001919,553.191735446519,669.005806886666,662.236241314098,5.30332891442694e-134,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",-37271.2039214656,45.2738649516614,-37072.7667411079,-39.7706409159218,738.279671838333,69.2738649516671,4.37825120407176e-10,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",-37271.2039214656,683.510106265756,-37072.7667411079,513.421094530597,738.279671838333,731.510106265765,5.77777555865477e-139,"sig"
"13","uncon","lh_cuneus",-35352.5405596687,NA,-34984.0143675759,NA,10.9545205700029,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-35330.617922475,21.9226371937548,-35047.1362362497,-63.1218686738212,56.8771577637555,45.9226371937526,7.1544806339045e-06,"sig"
"33","timecon_v_con","lh_cuneus",-34978.5371067155,352.080815759524,-34780.0999263578,267.036309891941,432.95797352327,376.080815759515,4.35314643593041e-73,"sig"
"53","uncon_v_errcon","lh_cuneus",-35001.7118715682,350.828688100548,-34718.2301853429,265.784182232972,385.783208670558,374.828688100555,8.0074963635377e-73,"sig"
"63","errcon_v_con","lh_cuneus",-34978.5371067155,23.1747648527307,-34780.0999263578,-61.8697410148525,432.95797352327,47.174764852712,4.3477484998349e-06,"sig"
"83","uncon_v_con","lh_cuneus",-34978.5371067155,374.003452953279,-34780.0999263578,203.914441218119,432.95797352327,422.003452953267,2.25029258644325e-74,"sig"
"14","uncon","lh_entorhinal",-2419.81261016213,NA,-2051.28641806928,NA,11.565545040655,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",-2399.564201349,20.2484088131232,-2116.08251512374,-64.7960970544573,55.8139538537797,44.2484088131247,1.38528280360051e-05,"sig"
"34","timecon_v_con","lh_entorhinal",-1893.71747529559,505.846726053409,-1695.28029493791,420.802220185829,585.660679907191,529.846726053411,9.77031155315937e-106,"sig"
"54","uncon_v_errcon","lh_entorhinal",-1950.44837418628,469.364235975849,-1666.96668796101,384.319730108269,504.929781016509,493.364235975854,5.72375131373831e-98,"sig"
"64","errcon_v_con","lh_entorhinal",-1893.71747529559,56.7308988906836,-1695.28029493791,-28.3136069768966,585.660679907191,80.7308988906821,2.99347080492213e-12,"sig"
"84","uncon_v_con","lh_entorhinal",-1893.71747529559,526.095134866533,-1695.28029493791,356.006123131372,585.660679907191,574.095134866536,6.16694403366207e-106,"sig"
"15","uncon","lh_fusiform",-38579.9569606148,NA,-38211.4307685219,NA,12.7869002736917,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",-38528.7832892514,51.1736713633218,-38245.3016030262,-33.8708345042542,87.9605716370114,75.1736713633198,3.40663355087778e-11,"sig"
"35","timecon_v_con","lh_fusiform",-37559.7344541398,969.048835111629,-37361.2972737821,884.004329244046,1081.00940674864,993.048835111628,5.84916260231149e-205,"sig"
