"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",19808.5012262318,NA,19899.5138295527,NA,6.93962146618084,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",19809.8983714485,1.39714521665155,19885.7422075492,-13.7716220034999,12.3367666828332,5.39714521665236,0.0673015098254906,"nonsig"
"3","timecon_v_con","lh_bankssts",20487.8254220724,677.927050623959,20548.500490953,662.758283403808,694.26381730678,681.927050623947,8.34492478706624e-149,"sig"
"5","uncon_v_errcon","lh_bankssts",20487.1997081008,678.698481868942,20563.0435442015,663.52971464879,689.638103335115,682.698481868934,5.67424730814894e-149,"sig"
"6","errcon_v_con","lh_bankssts",20487.8254220724,0.625713971669029,20548.500490953,-14.5430532484825,694.26381730678,4.62571397166516,0.0989780682881333,"nonsig"
"8","uncon_v_con","lh_bankssts",20487.8254220724,679.324195840611,20548.500490953,648.986661400308,694.26381730678,687.324195840599,1.93571208348552e-147,"sig"
"11","uncon","lh_caudalanteriorcingulate",8907.90911291142,NA,8998.92171623233,NA,2.46896225979689,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",8921.53011562661,13.6210027151919,8997.37395172737,-1.54776450496138,20.0899649749876,17.6210027151907,0.000149158455464892,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",9014.29276517639,92.7626495497789,9074.967834057,77.5938823296274,116.852614524767,96.7626495497794,9.73324427737324e-22,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",8999.87472905533,91.9656161439107,9075.71856515609,76.7968489237574,98.434578403712,95.9656161439151,1.44987722570117e-21,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",9014.29276517639,14.4180361210601,9074.967834057,-0.750731099091354,116.852614524767,18.4180361210549,0.000100132318608797,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",9014.29276517639,106.383652264971,9074.967834057,76.046117824666,116.852614524767,114.38365226497,8.44826419694214e-24,"sig"
"12","uncon","lh_caudalmiddlefrontal",68277.0116125809,NA,68368.0242159018,NA,0.281627408613817,NA,NA,NA
