"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",6974.14586287653,NA,7099.67375697379,NA,7.38846835183055,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",6969.53434386899,-4.61151900753975,7069.9566591468,-29.7170978269924,10.7769493442902,3.38848099245967,0.495036317128568,"nonsig"
"3","timecon_v_con","lh_bankssts",7003.80602064586,34.271676776877,7079.12275710422,9.16609795742352,53.0486261211685,42.2716767768783,1.46527113015522e-08,"sig"
"5","uncon_v_errcon","lh_bankssts",7009.01497392235,34.869111045823,7109.43728920016,9.76353222637044,50.2575793976517,42.8691110458211,1.10156032115958e-08,"sig"
"6","errcon_v_con","lh_bankssts",7003.80602064586,-5.20895327648577,7079.12275710422,-30.3145320959393,53.0486261211685,2.79104672351681,0.593379195174535,"nonsig"
"8","uncon_v_con","lh_bankssts",7003.80602064586,29.6601577693373,7079.12275710422,-20.5509998695688,53.0486261211685,45.660157769338,2.75803667181778e-07,"sig"
"11","uncon","lh_caudalanteriorcingulate",1747.73093888618,NA,1873.25883298345,NA,3.01209803992595,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",1787.07102326873,39.34008438255,1887.49333854654,14.2345055630967,50.3521824224763,47.3400843825503,1.29539191500682e-09,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",1805.26517342515,18.1941501564229,1880.58190988351,-6.91142866303039,76.5463325788953,26.194150156419,2.89162237881568e-05,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",1765.56171854182,17.8307796556419,1865.98403381963,-7.27479916381139,28.8428776955675,25.8307796556415,3.42304685133878e-05,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",1805.26517342515,39.703454883331,1880.58190988351,14.5978760638777,76.5463325788953,47.7034548833278,1.08813547719681e-09,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",1805.26517342515,57.5342345389729,1880.58190988351,7.32307690006633,76.5463325788953,73.5342345389693,9.69086805349381e-13,"sig"
"12","uncon","lh_caudalmiddlefrontal",20139.1507457064,NA,20264.6786398036,NA,2.93850021097828,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",20140.0680177038,0.917271997444914,20240.4903329816,-24.1883068220086,11.855772208418,8.91727199743973,0.0632008797863065,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",20357.0829132161,217.01489551229,20432.3996496745,191.909316692836,236.870667720714,225.014895512296,1.56192661415327e-47,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",20357.2397682204,218.089022514028,20457.6620834982,192.983443694575,229.027522725001,226.089022514023,9.17206111799736e-48,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",20357.0829132161,-0.156855004293902,20432.3996496745,-25.2624338237474,236.870667720714,7.84314499571255,0.0974959534387315,"nonsig"
"82","uncon_v_con","lh_caudalmiddlefrontal",20357.0829132161,217.932167509734,20432.3996496745,167.721009870827,236.870667720714,233.932167509736,4.36003157678406e-46,"sig"
"13","uncon","lh_cuneus",6038.24589874593,NA,6163.7737928432,NA,3.87994581979506,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",6068.2909428002,30.0450440542636,6168.71325807801,4.939465234811,41.9249898740576,38.0450440542625,1.0968378576871e-07,"sig"
"33","timecon_v_con","lh_cuneus",6089.25400456037,20.963061760177,6164.57074101873,-4.14251705927654,70.8880516342427,28.9630617601851,7.95362210187737e-06,"sig"
"53","uncon_v_errcon","lh_cuneus",6059.0013343952,20.7554356492683,6159.42364967301,-4.35014317018431,32.6353814690635,28.7554356492685,8.7645247930724e-06,"sig"
"63","errcon_v_con","lh_cuneus",6089.25400456037,30.2526701651723,6164.57074101873,5.14709134571876,70.8880516342427,38.2526701651792,9.9380897285643e-08,"sig"
"83","uncon_v_con","lh_cuneus",6089.25400456037,51.0081058144406,6164.57074101873,0.796948175534453,70.8880516342427,67.0081058144477,1.93173643564769e-11,"sig"
"14","uncon","lh_entorhinal",3564.64296234068,NA,3690.17085643794,NA,5.07686927187554,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",3563.65500688059,-0.987955460089779,3664.0773221584,-26.0935342795428,12.0889138117863,7.01204453991076,0.135253093958565,"nonsig"
"34","timecon_v_con","lh_entorhinal",3574.73728091961,11.0822740390195,3650.05401737797,-14.023304780434,31.1711878508042,19.0822740390179,0.000757223877185911,"sig"
"54","uncon_v_errcon","lh_entorhinal",3575.25154819374,10.6085858530664,3675.67386347156,-14.4969929663866,23.6854551249409,18.6085858530654,0.00093802652683903,"sig"
"64","errcon_v_con","lh_entorhinal",3574.73728091961,-0.514267274136728,3650.05401737797,-25.6198460935902,31.1711878508042,7.48573272586329,0.112340067381896,"nonsig"
"84","uncon_v_con","lh_entorhinal",3574.73728091961,10.0943185789297,3650.05401737797,-40.1168390599769,31.1711878508042,26.0943185789287,0.00101196773227209,"sig"
"15","uncon","lh_fusiform",19172.3323114761,NA,19297.8602055734,NA,4.26283736541935,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",19176.7637715956,4.43146011950012,19277.1860868734,-20.6741186999534,16.6942974849342,12.4314601195149,0.0144152776589948,"sig"
"35","timecon_v_con","lh_fusiform",19228.9195519119,52.1557803162686,19304.2362883702,27.0502014968151,76.8500778012046,60.1557803162704,2.69023243450128e-12,"sig"
"55","uncon_v_errcon","lh_fusiform",19224.4755529466,52.1432414705487,19324.8978682245,27.0376626510952,64.4060788359727,60.1432414705534,2.70660549989665e-12,"sig"
"65","errcon_v_con","lh_fusiform",19228.9195519119,4.44399896522009,19304.2362883702,-20.6615798542334,76.8500778012046,12.4439989652318,0.0143376314055961,"sig"
"85","uncon_v_con","lh_fusiform",19228.9195519119,56.5872404357688,19304.2362883702,6.37608279686174,76.8500778012046,72.5872404357852,1.49825546512532e-12,"sig"
"16","uncon","lh_inferiorparietal",26724.5295819645,NA,26850.0574760617,NA,2.4258386884478,NA,NA,NA
"26","uncon_v_timecon","lh_inferiorparietal",26725.2974007008,0.767818736352638,26825.7197159786,-24.3377600831009,11.193657424808,8.76781873636023,0.0671722804720641,"nonsig"
"36","timecon_v_con","lh_inferiorparietal",26833.4361538578,108.138753157022,26908.7528903162,83.0331743375682,127.332410581816,116.138753157008,3.56576380037317e-24,"sig"
"56","uncon_v_errcon","lh_inferiorparietal",26831.7739960306,107.244414066088,26932.1963113084,82.1388352466347,117.670252754531,115.244414066083,5.53420975283966e-24,"sig"
"66","errcon_v_con","lh_inferiorparietal",26833.4361538578,1.66215782728614,26908.7528903162,-23.4434209921674,127.332410581816,9.662157827285,0.046519817795659,"sig"
"86","uncon_v_con","lh_inferiorparietal",26833.4361538578,108.906571893374,26908.7528903162,58.6954142544673,127.332410581816,124.906571893368,3.20937530018517e-23,"sig"
"17","uncon","lh_inferiortemporal",23865.8118368801,NA,23991.3397309773,NA,1.76395150701967,NA,NA,NA
"27","uncon_v_timecon","lh_inferiortemporal",23866.6408334558,0.828996575703059,23967.0631487336,-24.2765822437505,10.5929480827332,8.82899657571358,0.0655188059385164,"nonsig"
"37","timecon_v_con","lh_inferiortemporal",23904.0614938892,37.4206604334759,23979.3782303476,12.3150816140223,56.0136085162039,45.4206604334707,3.25062227586452e-09,"sig"
"57","uncon_v_errcon","lh_inferiortemporal",23902.9775525218,37.1657156417496,24003.3998677996,12.060136822296,46.9296671487686,45.165715641749,3.67270372504829e-09,"sig"
"67","errcon_v_con","lh_inferiortemporal",23904.0614938892,1.08394136742936,23979.3782303476,-24.0216374520242,56.0136085162039,9.0839413674353,0.0590352516959155,"nonsig"
"87","uncon_v_con","lh_inferiortemporal",23904.0614938892,38.2496570091789,23979.3782303476,-11.9615006297281,56.0136085162039,54.2496570091843,6.17501414486836e-09,"sig"
"18","uncon","lh_isthmuscingulate",2324.0452114717,NA,2449.57310556897,NA,7.42061359297906,NA,NA,NA
"28","uncon_v_timecon","lh_isthmuscingulate",2333.23245702423,9.18724555253129,2433.65477230205,-15.9183332669218,24.6078591455254,17.1872455525463,0.00177754124489205,"sig"
"38","timecon_v_con","lh_isthmuscingulate",2346.41908056274,13.1866235385037,2421.7358170211,-11.9189552809498,45.794482684025,21.1866235384996,0.000290797500081577,"sig"
"58","uncon_v_errcon","lh_isthmuscingulate",2337.29894708118,13.2537356094813,2437.721262359,-11.8518432099718,28.6743492024673,21.2537356094882,0.000282015310823088,"sig"
"68","errcon_v_con","lh_isthmuscingulate",2346.41908056274,9.12013348155369,2421.7358170211,-15.9854453378998,45.794482684025,17.1201334815577,0.00183177097812219,"sig"
"88","uncon_v_con","lh_isthmuscingulate",2346.41908056274,22.373869091035,2421.7358170211,-27.8372885478716,45.794482684025,38.3738690910459,6.42052187231022e-06,"sig"
"19","uncon","lh_lateraloccipital",23924.436407917,NA,24049.9643020143,NA,4.27219286195664,NA,NA,NA
"29","uncon_v_timecon","lh_lateraloccipital",23929.0172836307,4.58087571365832,24029.4395989085,-20.5247031057952,16.8530685756115,12.5808757136549,0.0135160927225715,"sig"
"39","timecon_v_con","lh_lateraloccipital",24064.9974090141,135.980125383467,24140.3141454725,110.874546564013,160.833193959084,143.980125383472,3.9662196128578e-30,"sig"
"59","uncon_v_errcon","lh_lateraloccipital",24057.9170461912,133.480638274163,24158.339361469,108.375059454709,145.752831136114,141.480638274157,1.36029485359945e-29,"sig"
"69","errcon_v_con","lh_lateraloccipital",24064.9974090141,7.08036282296234,24140.3141454725,-18.0252159964912,160.833193959084,15.0803628229699,0.00453740887903831,"sig"
"89","uncon_v_con","lh_lateraloccipital",24064.9974090141,140.561001097125,24140.3141454725,90.3498434582179,160.833193959084,156.561001097127,8.37080936048822e-30,"sig"
"110","uncon","lh_lateralorbitofrontal",14820.2404022083,NA,14945.7682963055,NA,3.91862353592652,NA,NA,NA
