"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",2840.59606857519,NA,2906.31373714915,NA,7.44813713690125,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",2847.99386757073,7.39779899554014,2902.75859138237,-3.55514576678752,18.8459361324394,11.3977989955382,0.00334964972682323,"sig"
"3","timecon_v_con","lh_bankssts",2886.34624750702,38.3523799362979,2930.15802655634,27.3994351739698,61.1983160687369,42.3523799362974,6.35766366626557e-10,"sig"
"5","uncon_v_errcon","lh_bankssts",2879.65878740112,39.0627188259359,2934.42351121276,28.1097740636083,50.5108559628378,43.0627188259365,4.45706963228961e-10,"sig"
"6","errcon_v_con","lh_bankssts",2886.34624750702,6.68746010590212,2930.15802655634,-4.265484656426,61.1983160687369,10.6874601058991,0.00477801518034633,"sig"
"8","uncon_v_con","lh_bankssts",2886.34624750702,45.750178931838,2930.15802655634,23.8442894071823,61.1983160687369,53.7501789318356,5.93626410128353e-11,"sig"
"11","uncon","lh_caudalanteriorcingulate",1703.33323765831,NA,1769.05090623227,NA,1.79012353664212,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",1702.14277962488,-1.19045803342169,1756.90750343652,-12.1434027957496,4.59966550321208,2.80954196656995,0.245423256045247,"nonsig"
"31","timecon_v_con","lh_caudalanteriorcingulate",1714.41807396409,12.2752943392027,1758.2298530134,1.32234957687501,20.8749598424169,16.2752943392048,0.000292324178958294,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",1715.80238936624,12.4691517079311,1770.56711317788,1.51620694560324,18.259275244572,16.4691517079299,0.000265319485105116,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",1714.41807396409,-1.38431540215015,1758.2298530134,-12.3372601644778,20.8749598424169,2.61568459784494,0.270402875960182,"nonsig"
"81","uncon_v_con","lh_caudalanteriorcingulate",1714.41807396409,11.084836305781,1758.2298530134,-10.8210532188746,20.8749598424169,19.0848363057748,0.000756346306099883,"sig"
"12","uncon","lh_caudalmiddlefrontal",8938.43763323924,NA,9004.15530181321,NA,0.8674736043664,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",8940.7109832576,2.27335001836036,8995.47570706924,-8.67959474396775,7.14082362272419,6.27335001835779,0.0434269523309694,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",8942.30338883731,1.59240557970588,8986.11516788662,-9.36053918262223,12.7332292024332,5.59240557970901,0.0610414101716122,"nonsig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",8940.47688624682,2.03925300758237,8995.24161005846,-8.91369175474574,6.906726611948,6.0392530075816,0.0488194488363702,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",8942.30338883731,1.82650259048387,8986.11516788662,-9.12644217184425,12.7332292024332,5.8265025904852,0.0542989008053465,"nonsig"
"82","uncon_v_con","lh_caudalmiddlefrontal",8942.30338883731,3.86575559806624,8986.11516788662,-18.04013392659,12.7332292024332,11.8657555980668,0.0183779664912071,"sig"
"13","uncon","lh_cuneus",3081.49595431974,NA,3147.21362289371,NA,1.99945216715075,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",3088.26753253622,6.7715782164787,3143.03225634786,-4.18136654584896,12.7710303836229,10.7715782164722,0.00458122381407688,"sig"
"33","timecon_v_con","lh_cuneus",3097.0092348697,8.74170233348195,3140.82101391902,-2.21124242884616,25.5127327171164,12.7417023334934,0.00171070251260841,"sig"
"53","uncon_v_errcon","lh_cuneus",3089.7681135021,8.27215918235788,3144.53283731374,-2.68078557996978,14.2716113495075,12.2721591823567,0.00216338838168561,"sig"
"63","errcon_v_con","lh_cuneus",3097.0092348697,7.24112136760277,3140.82101391902,-3.71182339472534,25.5127327171164,11.2411213676089,0.00362260940102513,"sig"
"83","uncon_v_con","lh_cuneus",3097.0092348697,15.5132805499607,3140.82101391902,-6.39260897469512,25.5127327171164,23.5132805499656,9.99752069646313e-05,"sig"
"14","uncon","lh_entorhinal",2243.814198099,NA,2309.53186667297,NA,1.76634586349664,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",2255.7134592728,11.8992611737945,2310.47818308444,0.946316411466796,17.665607037291,15.8992611737943,0.000352792466718912,"sig"
"34","timecon_v_con","lh_entorhinal",2269.57011857161,13.85665929881,2313.38189762092,2.90371453648186,35.5222663360993,17.8566592988083,0.000132579293582081,"sig"
"54","uncon_v_errcon","lh_entorhinal",2254.69739574891,10.8831976499009,2309.46211956055,-0.0697471124267395,16.6495435133969,14.8831976499003,0.000586346981540736,"sig"
"64","errcon_v_con","lh_entorhinal",2269.57011857161,14.8727228227035,2313.38189762092,3.91977806037539,35.5222663360993,18.8727228227024,7.97701318351948e-05,"sig"
"84","uncon_v_con","lh_entorhinal",2269.57011857161,25.7559204726044,2313.38189762092,3.85003094794865,35.5222663360993,33.7559204726027,8.36205405395311e-07,"sig"
