"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",9866.66711972469,NA,10235.1933118175,NA,19.3086163138966,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",9924.40549420475,57.7383744800572,10207.88718043,-27.3061313875223,101.046990793969,81.7383744800726,1.92142477282185e-12,"sig"
"3","timecon_v_con","lh_bankssts",9948.37913487147,23.9736406667198,10146.8163152292,-61.0708652008616,149.020631460684,47.9736406667152,3.1588558172423e-06,"sig"
"5","uncon_v_errcon","lh_bankssts",9891.36111833883,24.6939986141369,10174.8428045641,-60.3505072534426,68.0026149280449,48.6939986141483,2.36572905369976e-06,"sig"
"6","errcon_v_con","lh_bankssts",9948.37913487147,57.0180165326401,10146.8163152292,-28.0264893349413,149.020631460684,81.0180165326394,2.63835055049901e-12,"sig"
"8","uncon_v_con","lh_bankssts",9948.37913487147,81.712015146777,10146.8163152292,-88.3769965883839,149.020631460684,129.712015146788,1.74916557134378e-16,"sig"
"11","uncon","lh_caudalanteriorcingulate",4818.34891592545,NA,5186.8751080183,NA,6.88729461018239,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",4849.24096372946,30.8920478040072,5132.72264995472,-54.1524580635732,61.7793424141611,54.8920478039787,1.89237481228049e-07,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",5415.38264353851,566.141679809054,5613.8198238962,481.097173941474,651.921022223228,590.141679809066,1.34961305325135e-118,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",5384.15891280884,565.809996883391,5667.64059903411,480.765491015811,596.697291493549,589.809996883366,1.58860778496417e-118,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",5415.38264353851,31.22373072967,5613.8198238962,-53.8207751379105,651.921022223228,55.2237307296789,1.65020448875202e-07,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",5415.38264353851,597.033727613061,5613.8198238962,426.9447158779,651.921022223228,645.033727613045,8.72265474397251e-121,"sig"
"12","uncon","lh_caudalmiddlefrontal",38754.9102639099,NA,39123.4364560028,NA,15.5839518961326,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",38759.5053461401,4.59508223014564,39042.9870323654,-80.4494236374303,44.1790341262851,28.5950822301525,0.00452313183383812,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",39003.0454339711,243.540087830996,39201.4826143288,158.495581963412,311.719121957301,267.540087831015,2.97465317481861e-50,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",38999.6821137793,244.771849869343,39283.1638000046,159.727344001767,284.355801765493,268.77184986936,1.6438459752262e-50,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",39003.0454339711,3.36332019179827,39201.4826143288,-81.6811856757849,311.719121957301,27.3633201918076,0.00684795425238794,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",39003.0454339711,248.135170061141,39201.4826143288,78.0461583259821,311.719121957301,296.135170061168,1.00518041391811e-48,"sig"
"13","uncon","lh_cuneus",8806.90479167258,NA,9175.43098376542,NA,3.97729423438297,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",8804.27179299366,-2.63299867892056,9087.75347921892,-87.6775045465001,25.344295555471,21.367001321088,0.0452577503824621,"sig"
"33","timecon_v_con","lh_cuneus",9378.46914773101,574.197354737351,9576.90632808869,489.15284886977,623.541650292817,598.197354737346,2.57206878780052e-120,"sig"
"53","uncon_v_errcon","lh_cuneus",9380.01523940525,573.110447732677,9663.49692563052,488.065941865098,601.087741967058,597.110447732675,4.38900114662186e-120,"sig"
"63","errcon_v_con","lh_cuneus",9378.46914773101,-1.54609167424678,9576.90632808869,-86.5905975418282,623.541650292817,22.4539083257584,0.0327364969366635,"sig"
"83","uncon_v_con","lh_cuneus",9378.46914773101,571.56435605843,9576.90632808869,401.475344323269,623.541650292817,619.564356058434,1.9029311992206e-115,"sig"
"14","uncon","lh_entorhinal",7396.33068384019,NA,7764.85687593303,NA,12.9536812742887,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",7423.29950578283,26.9688219426434,7706.7811920081,-58.075683924937,63.9225032169297,50.968821942641,9.43366590477592e-07,"sig"
