"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-44815.0463350085,NA,-44724.0337316876,NA,0.295329363495927,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-44803.0520434526,11.994291555915,-44727.2082073518,-3.17447566423652,16.2896209193424,15.9942915558464,0.000336421480479154,"sig"
"3","timecon_v_con","lh_bankssts",-42375.6841466102,2427.36789684233,-42315.0090777296,2412.19912962217,2447.65751776174,2431.3678968424,0,"sig"
"5","uncon_v_errcon","lh_bankssts",-42401.0557718407,2413.99056316783,-42325.2119357399,2398.82179594768,2418.28589253136,2417.99056316787,0,"sig"
"6","errcon_v_con","lh_bankssts",-42375.6841466102,25.3716252304148,-42315.0090777296,10.2028580102633,2447.65751776174,29.3716252303802,4.18825021015257e-07,"sig"
"8","uncon_v_con","lh_bankssts",-42375.6841466102,2439.36218839824,-42315.0090777296,2409.02465395794,2447.65751776174,2447.36218839825,0,"sig"
"11","uncon","lh_caudalanteriorcingulate",-63956.5464870211,NA,-63865.5338837002,NA,1.08846726270404,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-63953.2762981298,3.27018889131432,-63877.432462029,-11.8985783288372,8.35865615395495,7.27018889125091,0.0263814426579073,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-63939.0827961086,14.193502021204,-63878.407727228,-0.975265198947454,26.5521581751588,18.1935020212039,0.000112029199525174,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-63942.5200948995,14.0263921216174,-63866.6762587987,-1.1423750985341,19.1148593842854,18.0263921215813,0.000121791978747288,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-63939.0827961086,3.43729879090097,-63878.407727228,-11.7314684292505,26.5521581751588,7.43729879087346,0.0242667204661903,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-63939.0827961086,17.4636909125184,-63878.407727228,-12.8738435277846,26.5521581751588,25.4636909124548,4.05843580630359e-05,"sig"
"12","uncon","lh_caudalmiddlefrontal",-1183.66133171983,NA,-1092.64872839892,NA,0.269175755661344,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-1182.18903810436,1.47229361547079,-1106.3452020036,-13.6964736046814,5.74146937114933,5.47229361548798,0.0648196288109367,"nonsig"
