"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-8269.25496346369,NA,-8143.72706936642,NA,2.25260487309167,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-8270.7862208231,-1.53125735941467,-8170.36390554529,-26.6368361788673,8.72134751368034,6.46874264058867,0.166770535260179,"nonsig"
"3","timecon_v_con","lh_bankssts",-8249.13891516162,21.6473056614795,-8173.82217870326,-3.45827315797396,38.3686531751656,29.6473056614853,5.7739912305042e-06,"sig"
"5","uncon_v_errcon","lh_bankssts",-8247.33029463157,21.92466883212,-8146.90797935375,-3.1809099873326,32.1772737052177,29.924668832126,5.07034057497167e-06,"sig"
"6","errcon_v_con","lh_bankssts",-8249.13891516162,-1.80862053005512,-8173.82217870326,-26.9141993495086,38.3686531751656,6.19137946994795,0.185304548668228,"nonsig"
"8","uncon_v_con","lh_bankssts",-8249.13891516162,20.1160483020649,-8173.82217870326,-30.0951093368412,38.3686531751656,36.116048302074,1.6721644286717e-05,"sig"
"11","uncon","lh_caudalanteriorcingulate",-17709.084673524,NA,-17583.5567794267,NA,4.64624346769433,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-17652.9446056186,56.1400679053986,-17552.5222903407,31.0344890859451,68.7863113731111,64.1400679054168,3.90477362046563e-13,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-17653.0640855119,-0.119479893361131,-17577.7473490536,-25.2250587128146,76.6668314797246,7.8805201066134,0.0960542559396311,"nonsig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-17709.3525369148,-0.267863390861748,-17608.930221637,-25.3734422103153,12.3783800768405,7.73213660914615,0.10189809607257,"nonsig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-17653.0640855119,56.2884514028992,-17577.7473490536,31.1828725834457,76.6668314797246,64.2884514028841,3.63369131201027e-13,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-17653.0640855119,56.0205880120375,-17577.7473490536,5.80943037313045,76.6668314797246,72.0205880120302,1.94406869605427e-12,"sig"
"12","uncon","lh_caudalmiddlefrontal",4098.02667418047,NA,4223.55456827774,NA,15.5044839879415,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",4098.77543268692,0.748758506444574,4199.19774796473,-24.356820313008,24.2532424943822,8.74875850644071,0.0676954592028897,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",4365.91537812283,267.13994543591,4441.23211458119,242.034366616456,299.393187930293,275.139945435911,2.48764901038063e-58,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",4361.02284841532,262.996174234852,4461.44516369314,237.8905954154,286.500658222789,270.996174234847,1.94560655898335e-57,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",4365.91537812283,4.89252970750204,4441.23211458119,-20.2130491119515,299.393187930293,12.8925297075043,0.0118130277608035,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",4365.91537812283,267.888703942354,4441.23211458119,217.677546303448,299.393187930293,283.888703942352,1.1009434392083e-56,"sig"
"13","uncon","lh_cuneus",-11077.7268969536,NA,-10952.1990028563,NA,2.2094996818884,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-11080.6046961727,-2.8777992191699,-10980.1823808949,-27.9833780386234,7.33170046271387,5.12220078082547,0.274987181568723,"nonsig"
"33","timecon_v_con","lh_cuneus",-10980.9195557451,99.6851404275967,-10905.6028192868,74.579561608145,115.016840890315,107.685140427601,2.26770555855229e-22,"sig"
"53","uncon_v_errcon","lh_cuneus",-10978.7480716677,98.9788252858998,-10878.3257563898,73.8732464664463,109.188324967793,106.978825285905,3.2074166213976e-22,"sig"
"63","errcon_v_con","lh_cuneus",-10980.9195557451,-2.171484077473,-10905.6028192868,-27.2770628969247,115.016840890315,5.8285159225216,0.212326055720741,"nonsig"
"83","uncon_v_con","lh_cuneus",-10980.9195557451,96.8073412084268,-10905.6028192868,46.5961835695216,115.016840890315,112.807341208427,1.00754542780335e-20,"sig"
"14","uncon","lh_entorhinal",-20353.7435280432,NA,-20228.2156339459,NA,4.42753294122999,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",-20356.2522809029,-2.50875285968505,-20255.8299656251,-27.6143316791386,9.91878008154434,5.49124714031435,0.240499935010321,"nonsig"
"34","timecon_v_con","lh_entorhinal",-20186.0593833053,170.192897597612,-20110.7426468469,145.087318778158,188.111677679162,178.192897597618,1.82226528970803e-37,"sig"
"54","uncon_v_errcon","lh_entorhinal",-20182.2538552539,171.489672789281,-20081.8315399761,146.384093969828,183.917205730514,179.489672789284,9.59698235871453e-38,"sig"
"64","errcon_v_con","lh_entorhinal",-20186.0593833053,-3.80552805135449,-20110.7426468469,-28.911106870808,188.111677679162,4.19447194864878,0.380326234872922,"nonsig"
"84","uncon_v_con","lh_entorhinal",-20186.0593833053,167.684144737927,-20110.7426468469,117.47298709902,188.111677679162,183.684144737932,1.73272723835626e-35,"sig"
"15","uncon","lh_fusiform",-1306.03348777761,NA,-1180.50559368034,NA,5.28337075341216,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",-1300.88158971714,5.15189806046396,-1200.45927443933,-19.9536807589893,18.4352688138801,13.151898060468,0.0105569549196784,"sig"
"35","timecon_v_con","lh_fusiform",-1287.99509089512,12.8864988220248,-1212.67835443676,-12.2190799974285,39.3217676358962,20.886498822016,0.000333506091981564,"sig"
"55","uncon_v_errcon","lh_fusiform",-1293.14192644241,12.8915613351976,-1192.7196111646,-12.2140174842557,26.1749320886228,20.8915613352107,0.000332736555349849,"sig"
"65","errcon_v_con","lh_fusiform",-1287.99509089512,5.14683554729118,-1212.67835443676,-19.9587432721621,39.3217676358962,13.1468355472734,0.0105801749282665,"sig"
"85","uncon_v_con","lh_fusiform",-1287.99509089512,18.0383968824888,-1212.67835443676,-32.1727607564178,39.3217676358962,34.038396882484,3.99808954308867e-05,"sig"
"16","uncon","lh_inferiorparietal",11794.0182801504,NA,11919.5461742477,NA,0.642840400159129,NA,NA,NA
"26","uncon_v_timecon","lh_inferiorparietal",11812.7026930339,18.6844128834364,11913.1250083117,-6.42116593601713,27.3272532835936,26.6844128834345,2.30233934560398e-05,"sig"
"36","timecon_v_con","lh_inferiorparietal",11872.877823677,60.1751306431488,11948.1945601354,35.0695518236971,95.5023839267435,68.1751306431499,5.50949398780993e-14,"sig"
"56","uncon_v_errcon","lh_inferiorparietal",11851.6592512517,57.6409711012711,11952.0815665295,32.5353922818176,66.2838115014301,65.6409711012709,1.88548929198636e-13,"sig"
"66","errcon_v_con","lh_inferiorparietal",11872.877823677,21.2185724253141,11948.1945601354,-3.88700639413764,95.5023839267435,29.2185724253134,7.05749626910106e-06,"sig"
"86","uncon_v_con","lh_inferiorparietal",11872.877823677,78.8595435265852,11948.1945601354,28.64838588768,95.5023839267435,94.8595435265843,4.77815946389139e-17,"sig"
"17","uncon","lh_inferiortemporal",4451.24620885658,NA,4576.77410295384,NA,5.28219081555925,NA,NA,NA
"27","uncon_v_timecon","lh_inferiortemporal",4455.01234443154,3.76613557495966,4555.43465970935,-21.3394432444929,17.048326390515,11.7661355749558,0.0191777728317441,"sig"
"37","timecon_v_con","lh_inferiortemporal",4474.28163695729,19.269292525757,4549.59837341565,-5.8362862936965,44.3176189162742,27.2692925257592,1.7536002341831e-05,"sig"
"57","uncon_v_errcon","lh_inferiortemporal",4470.42595039854,19.1797415419605,4570.84826567635,-5.92583727749206,32.4619323575146,27.1797415419553,1.82829200260568e-05,"sig"
"67","errcon_v_con","lh_inferiortemporal",4474.28163695729,3.85568655875613,4549.59837341565,-21.2498922606974,44.3176189162742,11.8556865587597,0.0184573109466793,"sig"
"87","uncon_v_con","lh_inferiortemporal",4474.28163695729,23.0354281007167,4549.59837341565,-27.1757295381894,44.3176189162742,39.035428100715,4.84154447761679e-06,"sig"
"18","uncon","lh_isthmuscingulate",-15485.5238215291,NA,-15359.9959274318,NA,2.87195270698038,NA,NA,NA
"28","uncon_v_timecon","lh_isthmuscingulate",-15457.2342271136,28.2895944155243,-15356.8119118358,3.18401559607082,39.1615471225209,36.2895944155405,2.52269919046107e-07,"sig"
"38","timecon_v_con","lh_isthmuscingulate",-15410.0999377753,47.1342893383098,-15334.7832013169,22.0287105188581,94.2958364608155,55.1342893382946,3.04514531786057e-11,"sig"
"58","uncon_v_errcon","lh_isthmuscingulate",-15437.6755998394,47.8482216896864,-15337.2532845616,22.7426428702329,58.7201743966769,55.8482216896965,2.15760910040398e-11,"sig"
"68","errcon_v_con","lh_isthmuscingulate",-15410.0999377753,27.5756620641478,-15334.7832013169,2.47008324469607,94.2958364608155,35.5756620641386,3.53769007727234e-07,"sig"
"88","uncon_v_con","lh_isthmuscingulate",-15410.0999377753,75.4238837538342,-15334.7832013169,25.212726114929,94.2958364608155,91.4238837538352,2.38942610698883e-16,"sig"
"19","uncon","lh_lateraloccipital",7829.74768683329,NA,7955.27558093056,NA,6.60293784880131,NA,NA,NA
"29","uncon_v_timecon","lh_lateraloccipital",7836.60658560343,6.85889877013869,7937.02890088124,-18.2466800493139,21.4618366189358,14.8588987701345,0.00500299807466845,"sig"
"39","timecon_v_con","lh_lateraloccipital",7909.6356295177,73.0290439142718,7984.95236597606,47.9234650948183,102.490880533211,81.0290439142749,1.05430609795296e-16,"sig"
"59","uncon_v_errcon","lh_lateraloccipital",7901.79835717603,72.0506703427436,8002.22067245385,46.945091523291,86.6536081915448,80.0506703427435,1.69929952733579e-16,"sig"
"69","errcon_v_con","lh_lateraloccipital",7909.6356295177,7.8372723416669,7984.95236597606,-17.2683064777866,102.490880533211,15.8372723416658,0.00324547639203808,"sig"
"89","uncon_v_con","lh_lateraloccipital",7909.6356295177,79.8879426844105,7984.95236597606,29.6767850455044,102.490880533211,95.8879426844094,2.94913813486364e-17,"sig"
"110","uncon","lh_lateralorbitofrontal",-3813.61887122492,NA,-3688.09097712766,NA,3.82116168304288,NA,NA,NA
"210","uncon_v_timecon","lh_lateralorbitofrontal",-3814.02004584981,-0.401174624890245,-3713.597730572,-25.5067534443438,11.4199870581567,7.59882537511381,0.107429642518187,"nonsig"
"310","timecon_v_con","lh_lateralorbitofrontal",-3777.24487984199,36.7751660078225,-3701.92814338363,11.6695871883694,56.195153065969,44.7751660078123,4.42773458858283e-09,"sig"
"510","uncon_v_errcon","lh_lateralorbitofrontal",-3777.30281967522,36.3160515497025,-3676.88050439741,11.210472730249,48.1372132327532,44.3160515497104,5.51560566615281e-09,"sig"
"610","errcon_v_con","lh_lateralorbitofrontal",-3777.24487984199,0.0579398332297387,-3701.92814338363,-25.0476389862233,56.195153065969,8.05793983321573,0.0894786936857676,"nonsig"
"810","uncon_v_con","lh_lateralorbitofrontal",-3777.24487984199,36.3739913829322,-3701.92814338363,-13.8371662559744,56.195153065969,52.3739913829261,1.42517067517094e-08,"sig"
"111","uncon","lh_lingual",-2003.95046058614,NA,-1878.42256648887,NA,7.34509201997097,NA,NA,NA
"211","uncon_v_timecon","lh_lingual",-1976.64590928362,27.3045513025156,-1876.22359400581,2.19897248306233,42.6496433224789,35.3045513025079,4.02203565854249e-07,"sig"
"311","timecon_v_con","lh_lingual",-1711.86330082148,264.782608462142,-1636.54656436312,239.677029642688,315.43225178463,272.782608462151,8.01619806208397e-58,"sig"
"511","uncon_v_errcon","lh_lingual",-1739.89110053587,264.059360050268,-1639.46878525806,238.953781230814,279.404452070244,272.059360050273,1.1478238213621e-57,"sig"
"611","errcon_v_con","lh_lingual",-1711.86330082148,28.0277997143894,-1636.54656436312,2.92222089493612,315.43225178463,36.027799714386,2.85584016105781e-07,"sig"
"811","uncon_v_con","lh_lingual",-1711.86330082148,292.087159764657,-1636.54656436312,241.876002125751,315.43225178463,308.087159764659,7.81605894565968e-62,"sig"
"112","uncon","lh_medialorbitofrontal",-4973.24647700586,NA,-4847.7185829086,NA,8.24242130872366,NA,NA,NA
