"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-5877.61444425957,NA,-5811.89677568561,NA,0.613396332344553,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-5865.2055254157,12.4089188438702,-5810.44080160407,1.45597408154208,17.0223151762176,16.4089188438731,0.000273431500703727,"sig"
"3","timecon_v_con","lh_bankssts",-5845.96771856994,19.2378068457683,-5802.15593952062,8.28486208344111,40.2601220219816,23.2378068457639,8.99444473491902e-06,"sig"
"5","uncon_v_errcon","lh_bankssts",-5857.6352903707,19.9791538888712,-5802.87056655906,9.02620912654311,24.5925502212246,23.97915388888,6.20858873654853e-06,"sig"
"6","errcon_v_con","lh_bankssts",-5845.96771856994,11.6675718007673,-5802.15593952062,0.714627038440085,40.2601220219816,15.667571800757,0.000396122955831803,"sig"
"8","uncon_v_con","lh_bankssts",-5845.96771856994,31.6467256896385,-5802.15593952062,9.74083616498319,40.2601220219816,39.646725689637,5.12122398064819e-08,"sig"
"11","uncon","lh_caudalanteriorcingulate",-7894.40672349365,NA,-7828.68905491968,NA,2.31513998963301,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-7896.45677753246,-2.05005403881569,-7841.69205372082,-13.0029988011438,4.26508595081508,1.94994596118207,0.377202545215302,"nonsig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-7895.58235152918,0.87442600328086,-7851.77057247987,-10.0785187590463,9.13951195409876,4.87442600328368,0.0874041074314405,"nonsig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-7893.53852672124,0.868196772406009,-7838.7738029096,-10.0847479899221,7.18333676203048,4.86819677239748,0.087676762000889,"nonsig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-7895.58235152918,-2.04382480794084,-7851.77057247987,-12.996769570268,9.13951195409876,1.95617519206828,0.376029532033548,"nonsig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-7895.58235152918,-1.17562803553483,-7851.77057247987,-23.0815175601902,9.13951195409876,6.82437196446575,0.1454655881351,"nonsig"
"12","uncon","lh_caudalmiddlefrontal",-370.292177277256,NA,-304.574508703289,NA,2.4231875651683,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-372.951984022859,-2.65980674560279,-318.18726021122,-13.6127515079306,3.76338081956266,1.34019325439435,0.511659135209687,"nonsig"
"32","timecon_v_con","lh_caudalmiddlefrontal",-373.481027565024,-0.5290435421648,-329.669248515712,-11.4819883044926,7.23433727739679,3.47095645783413,0.17631586077799,"nonsig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",-370.782267242726,-0.490089965469679,-316.017543431087,-11.4430347277975,5.93309759969962,3.50991003453132,0.172915020307199,"nonsig"
"62","errcon_v_con","lh_caudalmiddlefrontal",-373.481027565024,-2.69876032229791,-329.669248515712,-13.6517050846257,7.23433727739679,1.30123967769717,0.521722292772169,"nonsig"
"82","uncon_v_con","lh_caudalmiddlefrontal",-373.481027565024,-3.18885028776759,-329.669248515712,-25.0947398124233,7.23433727739679,4.81114971222849,0.307229238843801,"nonsig"
"13","uncon","lh_cuneus",-4622.14859385014,NA,-4556.43092527617,NA,2.75072701109621,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-4625.93620425545,-3.78761040531117,-4571.17148044381,-14.7405551676393,2.9631166057898,0.212389594693597,0.899249459604512,"nonsig"
