"","comparison","ROI","AIC","AICdiff","BIC","BICdiff","Chisq","Chisq diff","Pr(>Chisq)","LRT_p05"
"1","uncon","lh_bankssts",-30832.914788444,NA,-30464.3885963512,NA,18.123710422217,NA,NA,NA
"2","uncon_v_timecon","lh_bankssts",-30765.3533596738,67.561428770201,-30481.8716734486,-17.4830770973786,109.685139192425,91.5614287702075,2.45985744291986e-14,"sig"
"3","timecon_v_con","lh_bankssts",-30686.9779143699,78.375445303911,-30488.5407340122,-6.66906056366861,212.060584496326,102.375445303901,1.90445280011883e-16,"sig"
"5","uncon_v_errcon","lh_bankssts",-30752.882015875,80.0327725690149,-30469.4003296498,-5.01173329856465,122.156482991244,104.032772569027,8.99586240975964e-17,"sig"
"6","errcon_v_con","lh_bankssts",-30686.9779143699,65.9041015050971,-30488.5407340122,-19.1404043624825,212.060584496326,89.9041015050814,5.1530107977874e-14,"sig"
"8","uncon_v_con","lh_bankssts",-30686.9779143699,145.936874074112,-30488.5407340122,-24.1521376610472,212.060584496326,193.936874074109,1.55089793450691e-28,"sig"
"11","uncon","lh_caudalanteriorcingulate",-39071.09305036,NA,-38702.5668582672,NA,7.62355837923383,NA,NA,NA
"21","uncon_v_timecon","lh_caudalanteriorcingulate",-38998.7527427096,72.3403076504401,-38715.2710564843,-12.7041982171359,103.963866029693,96.3403076504593,2.8917673376263e-15,"sig"
"31","timecon_v_con","lh_caudalanteriorcingulate",-38375.5589582017,623.193784507937,-38177.121777844,538.149278640354,751.157650537617,647.193784507923,8.734485880107e-131,"sig"
"51","uncon_v_errcon","lh_caudalanteriorcingulate",-38451.8537845954,619.239265764612,-38168.3720983702,534.194759897036,650.862824143859,643.239265764625,6.11903403481795e-130,"sig"
"61","errcon_v_con","lh_caudalanteriorcingulate",-38375.5589582017,76.2948263937651,-38177.121777844,-8.74967947381811,751.157650537617,100.294826393758,4.87435098045825e-16,"sig"
"81","uncon_v_con","lh_caudalanteriorcingulate",-38375.5589582017,695.534092158377,-38177.121777844,525.445080423218,751.157650537617,743.534092158383,1.69221269531171e-141,"sig"
"12","uncon","lh_caudalmiddlefrontal",-5746.64693121618,NA,-5378.12073912333,NA,6.70097633956958,NA,NA,NA
"22","uncon_v_timecon","lh_caudalmiddlefrontal",-5745.40790161079,1.23902960538544,-5461.92621538552,-83.805476262195,31.9400059449753,25.2390296054058,0.0137299283161639,"sig"
"32","timecon_v_con","lh_caudalmiddlefrontal",-5147.02874684006,598.379154770726,-4948.59156648238,513.334648903146,654.319160715722,622.379154770746,1.75808275603276e-125,"sig"
"52","uncon_v_errcon","lh_caudalmiddlefrontal",-5148.04757750076,598.599353715418,-4864.56589127549,513.554847847838,629.300330055019,622.599353715449,1.57757263548961e-125,"sig"
"62","errcon_v_con","lh_caudalmiddlefrontal",-5147.02874684006,1.01883066069331,-4948.59156648238,-84.0256752068872,654.319160715722,25.0188306607026,0.0147338936506628,"sig"
"82","uncon_v_con","lh_caudalmiddlefrontal",-5147.02874684006,599.618184376111,-4948.59156648238,429.52917264095,654.319160715722,647.618184376152,2.50312741030538e-121,"sig"
"13","uncon","lh_cuneus",-27994.615974206,NA,-27626.0897821131,NA,12.7803782705053,NA,NA,NA
"23","uncon_v_timecon","lh_cuneus",-27950.1260272709,44.4899469350894,-27666.6443410456,-40.5545589324938,81.2703252056108,68.4899469351055,6.1318779864374e-10,"sig"
"33","timecon_v_con","lh_cuneus",-27494.094799961,456.031227309901,-27295.6576196033,370.986721442321,561.301552515522,480.031227309912,3.92340777423477e-95,"sig"
"53","uncon_v_errcon","lh_cuneus",-27539.6570005832,454.958973622786,-27256.1753143579,369.914467755203,491.739351893301,478.958973622796,6.6323128935913e-95,"sig"
"63","errcon_v_con","lh_cuneus",-27494.094799961,45.5622006222038,-27295.6576196033,-39.4823052453758,561.301552515522,69.5622006222209,3.86746597934876e-10,"sig"
"83","uncon_v_con","lh_cuneus",-27494.094799961,500.52117424499,-27295.6576196033,330.432162509827,561.301552515522,548.521174245017,1.33810833870799e-100,"sig"
"14","uncon","lh_entorhinal",-44666.3525473173,NA,-44297.8263552244,NA,11.9742512871049,NA,NA,NA
"24","uncon_v_timecon","lh_entorhinal",-44664.1599288357,2.19261848158203,-44380.6782426104,-82.8518873859939,38.1668697686844,26.1926184815795,0.0100799324084536,"sig"
"34","timecon_v_con","lh_entorhinal",-44585.4577973214,78.7021315142338,-44387.0206169638,-6.34237435334944,140.869001282919,102.702131514234,1.64288291829155e-16,"sig"
"54","uncon_v_errcon","lh_entorhinal",-44583.042016243,83.3105310742612,-44299.5603300177,-1.7339747933147,119.284782361359,107.310531074254,2.03376006453138e-17,"sig"
"64","errcon_v_con","lh_entorhinal",-44585.4577973214,-2.41578107844543,-44387.0206169638,-87.4602869460286,140.869001282919,21.5842189215596,0.0424526813736505,"sig"
"84","uncon_v_con","lh_entorhinal",-44585.4577973214,80.8947499958158,-44387.0206169638,-89.1942617393433,140.869001282919,128.894749995814,2.45834183671097e-16,"sig"
"15","uncon","lh_fusiform",-9254.55774355867,NA,-8886.03155146583,NA,14.6295418260258,NA,NA,NA
"25","uncon_v_timecon","lh_fusiform",-9238.37585039482,16.1818931638591,-8954.89416416955,-68.8626127037205,54.8114349898479,40.1818931638221,6.70767982595841e-05,"sig"
"35","timecon_v_con","lh_fusiform",-9038.49043065605,199.885419738765,-8840.05325029836,114.840913871183,278.696854728641,223.885419738794,3.70983897945865e-41,"sig"
"55","uncon_v_errcon","lh_fusiform",-9055.60169396272,198.956049595958,-8772.12000773745,113.911543728378,237.585591421947,222.956049595921,5.78382978732094e-41,"sig"
"65","errcon_v_con","lh_fusiform",-9038.49043065605,17.1112633066659,-8840.05325029836,-67.9332425609155,278.696854728641,41.1112633066947,4.69475929073895e-05,"sig"
"85","uncon_v_con","lh_fusiform",-9038.49043065605,216.067312902624,-8840.05325029836,45.9783011674626,278.696854728641,264.067312902616,2.64451014144612e-42,"sig"
"16","uncon","lh_inferiorparietal",8270.45940542804,NA,8638.98559752089,NA,13.7578693873522,NA,NA,NA
"26","uncon_v_timecon","lh_inferiorparietal",8293.80580273106,23.346397303023,8577.28748895633,-61.6981085645566,61.1042666903607,47.3463973030085,4.05980298422029e-06,"sig"
"36","timecon_v_con","lh_inferiorparietal",8601.29471768475,307.488914953687,8799.73189804244,222.444409086105,392.593181644028,331.488914953667,1.12029028870751e-63,"sig"
"56","uncon_v_errcon","lh_inferiorparietal",8577.21624590253,306.756840474491,8860.6979321278,221.712334606911,344.514709861819,330.756840474466,1.59781749320774e-63,"sig"
"66","errcon_v_con","lh_inferiorparietal",8601.29471768475,24.0784717822189,8799.73189804244,-60.9660340853625,392.593181644028,48.0784717822092,3.02889311138311e-06,"sig"
"86","uncon_v_con","lh_inferiorparietal",8601.29471768475,330.83531225671,8799.73189804244,160.746300521549,392.593181644028,378.835312256676,1.63403301395478e-65,"sig"
"17","uncon","lh_inferiortemporal",-1726.12709947032,NA,-1357.60090737747,NA,6.54752529169101,NA,NA,NA
"27","uncon_v_timecon","lh_inferiortemporal",-1708.94606394832,17.1810355220023,-1425.46437772305,-67.863470345578,47.7285608136647,41.1810355219737,4.57024854797728e-05,"sig"
"37","timecon_v_con","lh_inferiortemporal",-1543.82840664032,165.117657308,-1345.39122628263,80.0731514404201,236.8462181217,189.117657308035,5.70533122398854e-34,"sig"
"57","uncon_v_errcon","lh_inferiortemporal",-1561.46941612857,164.657683341754,-1277.9877299033,79.6131774741739,195.205208633422,188.657683341731,7.09467983618868e-34,"sig"
"67","errcon_v_con","lh_inferiortemporal",-1543.82840664032,17.6410094882485,-1345.39122628263,-67.4034963793317,236.8462181217,41.6410094882781,3.82688390561389e-05,"sig"
"87","uncon_v_con","lh_inferiortemporal",-1543.82840664032,182.298692830003,-1345.39122628263,12.2096810948422,236.8462181217,230.298692830009,1.2798779663341e-35,"sig"
"18","uncon","lh_isthmuscingulate",-34320.8722076361,NA,-33952.3460155432,NA,17.0694559838178,NA,NA,NA
"28","uncon_v_timecon","lh_isthmuscingulate",-34301.3093469396,19.5628606965183,-34017.8276607143,-65.4816451710576,60.6323166802905,43.5628606964727,1.81238876812801e-05,"sig"
"38","timecon_v_con","lh_isthmuscingulate",-34044.5403646341,256.768982305446,-33846.1031842764,171.724476437863,341.401298985761,280.76898230547,5.0680173662398e-53,"sig"
"58","uncon_v_errcon","lh_isthmuscingulate",-34064.6676738627,256.204533773358,-33781.1859876375,171.160027905782,297.273989757148,280.20453377333,6.65378116710245e-53,"sig"
"68","errcon_v_con","lh_isthmuscingulate",-34044.5403646341,20.1273092286065,-33846.1031842764,-64.9171966389767,341.401298985761,44.1273092286132,1.45274548437733e-05,"sig"
"88","uncon_v_con","lh_isthmuscingulate",-34044.5403646341,276.331843001964,-33846.1031842764,106.242831266805,341.401298985761,324.331843001943,2.04613625040722e-54,"sig"
"19","uncon","lh_lateraloccipital",5919.79461835304,NA,6288.32081044589,NA,9.45866463943771,NA,NA,NA
"29","uncon_v_timecon","lh_lateraloccipital",5940.0231479559,20.2285296028595,6223.50483418117,-64.815976264721,53.6871942422594,44.2285296028217,1.39614150476173e-05,"sig"
